Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2680.9,2693.8,3217200,15400,1590,2026-06-30,3000.0,407750,2700.0,104650,0.3844,0.3004
2026-06-09,2866.4,2885.8,3394650,177450,11008,2026-06-30,3200.0,378875,2700.0,141050,0.4449,0.3301
2026-06-10,2807.7,2814.5,3426500,31850,3758,2026-06-30,3200.0,283325,2700.0,116725,0.4525,0.3066
2026-06-11,2801.2,2804.4,3454150,27650,1415,2026-06-30,2900.0,301700,2700.0,113575,0.4358,0.3003
2026-06-12,2841.7,2858.1,3464125,9975,2181,2026-06-30,3200.0,326900,2700.0,111475,0.423,0.2865
2026-06-15,2834.5,2840.2,3403225,-60900,3062,2026-06-30,3200.0,400050,2800.0,109375,0.3869,0.2973
2026-06-16,2878.0,2882.4,3412850,9625,2626,2026-06-30,2900.0,260925,2800.0,106225,0.4433,0.296
2026-06-17,2835.3,2848.8,3413900,1050,1147,2026-06-30,2900.0,313075,2800.0,101325,0.3892,0.2898
2026-06-18,2846.0,2857.1,3375225,-38675,853,2026-06-30,2900.0,343350,2800.0,100975,0.3901,0.2875
2026-06-19,2803.6,2815.2,3327800,-47425,1316,2026-06-30,2900.0,432250,2800.0,99050,0.3628,0.2914
2026-06-22,2805.6,2815.7,3348275,20475,1283,2026-06-30,2900.0,432950,2800.0,97475,0.3767,0.3145
2026-06-23,2767.0,2769.6,3277400,-70875,2185,2026-06-30,2900.0,287350,2800.0,91000,0.4361,0.2741
2026-06-24,2746.8,2757.9,2615025,-662375,5143,2026-06-30,2900.0,232225,2800.0,88200,0.4641,0.2591
2026-06-25,2684.9,2694.5,1548400,-1066625,9921,2026-06-30,3200.0,180950,2800.0,63525,0.4676,0.2403
