Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1511.9,1519.4,6867000,-197050,1783,2026-06-30,1800.0,662550,1600.0,463400,0.8162,0.4119
2026-06-09,1497.3,1507.7,7344400,477400,5347,2026-06-30,1800.0,620550,1600.0,327250,0.6098,0.399
2026-06-10,1509.6,1511.3,6866300,-478100,4262,2026-06-30,1800.0,595000,1600.0,326200,0.5921,0.3926
2026-06-11,1504.2,1506.3,6754650,-111650,1908,2026-06-30,1800.0,570850,1600.0,326900,0.561,0.3773
2026-06-12,1547.8,1551.3,6666450,-88200,4140,2026-06-30,1800.0,574350,1600.0,288750,0.5915,0.3681
2026-06-15,1581.1,1581.3,6421450,-245000,4854,2026-06-30,1480.0,526050,1600.0,294350,0.6094,0.3758
2026-06-16,1596.8,1597.3,6332200,-89250,2469,2026-06-30,1480.0,525700,1500.0,280350,0.6076,0.3605
2026-06-17,1624.6,1619.8,6321000,-11200,3424,2026-06-30,1480.0,525700,1480.0,369250,0.6756,0.3667
2026-06-18,1617.8,1620.5,6363350,42350,1382,2026-06-30,1480.0,525700,1480.0,361550,0.698,0.354
2026-06-19,1636.7,1634.5,6455750,92400,2442,2026-06-30,1480.0,525700,1480.0,361200,0.6822,0.361
2026-06-22,1669.7,1663.1,6752900,297150,6900,2026-06-30,1480.0,525700,1600.0,429800,0.7534,0.3802
2026-06-23,1622.4,1617.8,6696550,-56350,4736,2026-06-30,1800.0,550200,1480.0,365750,0.7075,0.3648
2026-06-24,1636.3,1641.7,4267200,-2429350,10521,2026-06-30,1480.0,525000,1480.0,357350,0.7475,0.3399
2026-06-25,1616.0,1614.6,2399250,-1867950,6725,2026-06-30,1800.0,538300,1480.0,357350,0.7063,0.2964
2026-06-29,1623.1,1623.1,917000,-1482250,8338,2026-06-30,1800.0,437850,1480.0,243250,0.818,0.0
2026-07-01,1684.2,1693.7,7037450,-151900,2152,2026-07-28,1640.0,147000,1600.0,120050,0.7192,0.3705
2026-07-02,1682.0,1688.8,7177450,140000,2677,2026-07-28,1700.0,200550,1660.0,123550,0.8696,0.3827
2026-07-03,1591.2,1590.8,8204000,1026550,21316,2026-07-28,1600.0,356300,1560.0,305200,0.8321,0.3735
2026-07-06,1580.7,1575.4,9167550,963550,7258,2026-07-28,1600.0,409500,1560.0,335650,0.804,0.3743
2026-07-07,1608.0,1616.0,9149700,-17850,14190,2026-07-28,1700.0,410550,1560.0,333200,0.7925,0.356
2026-07-13,1594.6,1602.3,9272900,66150,2122,2026-07-28,1700.0,432950,1560.0,273700,0.7592,0.3785
2026-07-15,1610.8,1616.2,9236150,-138600,2072,2026-07-28,1600.0,416500,1600.0,357700,0.7841,0.3902
2026-07-16,1561.1,1567.2,9426550,190400,4035,2026-07-28,1600.0,416150,1560.0,282450,0.7207,0.3976
2026-07-21,1563.6,1569.3,10391500,113750,2246,2026-07-28,1600.0,475300,1560.0,269150,0.7315,0.4342
2026-07-23,1526.7,1528.7,8928500,-1463350,6741,2026-07-28,1600.0,487900,1560.0,216300,0.7425,0.3928
2026-07-27,1552.7,1553.3,2498300,-2810150,8656,2026-07-28,1600.0,349300,1480.0,191100,0.7951,0.0
2026-07-29,1611.2,1617.1,9335200,-44450,1676,2026-08-25,1600.0,270900,1600.0,254450,0.9446,0.3872
2026-07-31,1601.5,1605.5,9173850,-90300,1556,2026-08-25,1600.0,273700,1600.0,262150,1.0563,0.3851
2026-08-03,1649.97,1632.6,9155300,-18375,1671,2026-08-25,1600.0,290500,1500.0,320250,1.0159,0.4072
2026-08-04,1597.01,1610.4,9239300,84000,2002,2026-08-25,1600.0,297500,1500.0,366100,1.057,0.4407
2026-08-06,1598.99,1602.8,9180150,-216650,9452,2026-08-25,1640.0,547050,1600.0,305900,0.6323,0.3402
2026-08-07,1604.52,1611.7,9069550,-110600,1941,2026-08-25,1640.0,511000,1600.0,326900,0.6517,0.3417
2026-08-11,1733.0,1728.4,8590050,-340200,5946,2026-08-25,1700.0,319200,1700.0,306600,0.7501,0.3566
2026-08-12,1738.5,1718.0,8497650,-92400,2131,2026-08-25,1840.0,284550,1500.0,282100,0.7769,0.3429
2026-08-13,1743.99,1736.5,8305850,-191800,1724,2026-08-25,1840.0,277550,1700.0,250950,0.6479,0.3341
