Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,290.3,291.2,71740200,-2204000,3692,2026-06-30,300.0,7524000,300.0,2152700,0.4928,0.2093
2026-06-09,285.7,287.45,71791500,51300,3637,2026-06-30,300.0,7850800,275.0,2485200,0.5133,0.2213
2026-06-10,287.2,287.85,70811100,-980400,3924,2026-06-30,300.0,7767200,275.0,2479500,0.5169,0.2238
2026-06-11,286.65,287.25,70015000,-796100,4101,2026-06-30,300.0,8021800,275.0,2736000,0.5127,0.2225
2026-06-12,284.8,285.55,69927600,-87400,3309,2026-06-30,300.0,7905900,270.0,3936800,0.5327,0.2233
2026-06-15,285.7,286.45,70252500,324900,3770,2026-06-30,295.0,9167500,270.0,3169200,0.4958,0.231
2026-06-16,285.15,286.2,70518500,266000,2302,2026-06-30,300.0,8346700,270.0,2984900,0.5164,0.22
2026-06-17,286.35,287.2,70322800,-195700,1804,2026-06-30,300.0,8204200,270.0,2886100,0.513,0.2132
2026-06-18,288.7,289.35,71082800,760000,3469,2026-06-30,300.0,7786200,270.0,2259100,0.518,0.2001
2026-06-19,292.25,292.35,68618500,-2464300,5442,2026-06-30,300.0,7579100,270.0,2023500,0.5482,0.1931
2026-06-22,289.75,290.55,68276500,-342000,2460,2026-06-30,300.0,7478400,290.0,1852500,0.4887,0.2093
2026-06-23,291.95,291.8,64752000,-3524500,3444,2026-06-30,300.0,7605700,270.0,1829700,0.491,0.2091
2026-06-24,290.9,290.95,46892000,-17860000,10749,2026-06-30,300.0,6952100,270.0,1787900,0.4815,0.1831
2026-06-25,283.9,284.35,29600100,-17291900,10878,2026-06-30,300.0,6203500,270.0,1628300,0.4496,0.2253
2026-06-29,286.25,286.6,9889500,-19710600,11814,2026-06-30,300.0,5787400,270.0,1497200,0.4186,0.0
2026-07-01,287.55,287.95,74519900,-104500,1822,2026-07-28,300.0,2893700,300.0,1352800,0.7309,0.2039
2026-07-02,288.2,288.7,74685200,165300,1741,2026-07-28,300.0,3332600,300.0,1350900,0.6292,0.1967
2026-07-03,287.85,287.95,72878300,-1806900,3643,2026-07-28,300.0,3598600,300.0,1326200,0.5604,0.1981
2026-07-06,285.4,286.8,73043600,165300,1662,2026-07-28,300.0,4117300,300.0,1326200,0.5307,0.2053
2026-07-07,284.35,285.15,72703500,-340100,1583,2026-07-28,300.0,4383300,285.0,1396500,0.5338,0.2034
2026-07-13,286.0,286.35,71080900,-558600,1716,2026-07-28,300.0,4706300,300.0,1311000,0.492,0.1986
