Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,35010.0,35065.0,436750,5675,6005,2026-06-30,40000.0,81825,31000.0,60900,0.7882,0.4144
2026-06-09,34610.0,34860.0,467850,31100,5498,2026-06-30,40000.0,96075,31000.0,62675,0.7357,0.4078
2026-06-10,33265.0,33395.0,487300,19450,5652,2026-06-30,40000.0,120325,31000.0,62900,0.6152,0.4078
2026-06-11,33250.0,33425.0,497775,10475,4893,2026-06-30,40000.0,127650,31000.0,63975,0.5822,0.3987
2026-06-12,34325.0,34470.0,479975,-17800,4519,2026-06-30,40000.0,121150,31000.0,73375,0.6228,0.3832
2026-06-15,34695.0,34755.0,459500,-20475,3561,2026-06-30,40000.0,126175,31000.0,72875,0.6557,0.3879
2026-06-16,34740.0,34835.0,455200,-4300,1283,2026-06-30,40000.0,130050,31000.0,70950,0.6673,0.3767
2026-06-17,35950.0,36020.0,437025,-18175,5085,2026-06-30,40000.0,108625,31000.0,69150,0.7877,0.3944
2026-06-18,36300.0,36455.0,438625,1600,4336,2026-06-30,40000.0,105700,31000.0,68650,0.8263,0.372
2026-06-19,36880.0,36930.0,425500,-13125,4060,2026-06-30,40000.0,93275,31000.0,68200,0.8469,0.3574
2026-06-22,36760.0,36860.0,412125,-13375,2528,2026-06-30,40000.0,96400,31000.0,67750,0.7391,0.3853
2026-06-23,36090.0,36155.0,398025,-14100,3800,2026-06-30,40000.0,110850,32000.0,49275,0.6291,0.3825
2026-06-24,33955.0,34050.0,307025,-91000,9167,2026-06-30,40000.0,116425,32000.0,51625,0.4693,0.388
2026-06-25,33965.0,33980.0,162025,-145000,8637,2026-06-30,40000.0,78975,32000.0,60250,0.511,0.3355
2026-06-29,34975.0,34660.0,57775,-104250,8022,2026-06-30,40000.0,57350,32000.0,52225,0.6022,0.0
2026-07-01,34250.0,34475.0,410900,10200,4496,2026-07-28,35000.0,46175,35000.0,35925,0.7231,0.4014
2026-07-02,33775.0,33880.0,419825,8925,3636,2026-07-28,35000.0,48675,35000.0,36025,0.6484,0.4123
2026-07-03,31040.0,31230.0,476925,57100,18592,2026-07-28,35000.0,91725,30000.0,42425,0.4477,0.4613
2026-07-06,32360.0,32530.0,466675,-10250,9719,2026-07-28,35000.0,78700,32000.0,41775,0.514,0.4272
2026-07-07,31915.0,31940.0,459850,-6825,3539,2026-07-28,35000.0,83700,30000.0,40700,0.4838,0.4407
2026-07-13,31915.0,32070.0,456425,8500,2615,2026-07-28,35000.0,72150,30000.0,37275,0.5179,0.4442
2026-07-15,33980.0,34100.0,476225,11475,6040,2026-07-28,35000.0,58100,32000.0,46725,0.7148,0.425
2026-07-16,33545.0,33555.0,468350,-7875,4552,2026-07-28,35000.0,59600,30000.0,71375,0.7503,0.4317
2026-07-21,32185.0,32330.0,496125,13925,2142,2026-07-28,35000.0,86750,30000.0,92350,0.6748,0.4501
2026-07-23,32065.0,32115.0,374275,-107850,6095,2026-07-28,35000.0,70875,30000.0,90850,0.7224,0.3818
2026-07-27,31545.0,31580.0,93650,-122625,6344,2026-07-28,35000.0,41725,30000.0,56525,0.61,0.0
2026-07-29,31675.0,31860.0,530775,16600,4790,2026-08-25,31000.0,24175,28000.0,37050,1.1162,0.4257
2026-07-31,32175.0,32350.0,578800,25100,6369,2026-08-25,35000.0,26050,27000.0,43625,1.1062,0.4323
2026-08-03,31997.59,32175.0,579550,750,1749,2026-08-25,35000.0,27325,27000.0,43925,1.0799,0.4534
2026-08-04,32005.25,32300.0,588050,8500,3183,2026-08-25,34000.0,32450,27000.0,43425,0.9917,0.4698
2026-08-06,31906.63,32135.0,584800,-5750,4395,2026-08-25,34000.0,36550,27000.0,54325,0.9743,0.4696
2026-08-07,32597.92,32625.0,568600,-16200,4366,2026-08-25,35000.0,44900,27000.0,54275,0.9154,0.4502
2026-08-11,35000.0,34915.0,554475,-21600,8130,2026-08-25,39000.0,85575,31500.0,87200,0.9684,0.3579
2026-08-12,35798.32,35870.0,566150,11675,4216,2026-08-25,39500.0,108500,31500.0,86850,1.0615,0.3524
2026-08-13,35361.27,35420.0,564275,-1875,1420,2026-08-25,39500.0,106650,31500.0,86750,0.9858,0.3476
2026-08-14,35699.4,35650.0,555550,-8725,2890,2026-08-25,39500.0,105125,31500.0,86050,0.9688,0.3362
2026-08-19,33797.72,33580.0,510350,-34675,5345,2026-08-25,36000.0,135475,31500.0,86950,0.7161,0.3292
2026-08-27,33880.0,33950.0,485150,2525,3709,2026-09-29,34000.0,35400,33000.0,33175,0.6973,0.3061
