Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1090.5,1086.7,10316075,-28175,2516,2026-06-30,1100.0,736575,1000.0,274275,0.4749,0.3422
2026-06-09,1086.7,1086.5,10258575,-57500,1769,2026-06-30,1100.0,770500,1000.0,267375,0.4602,0.3418
2026-06-10,1065.8,1069.1,10170025,-88550,1578,2026-06-30,1100.0,795225,1000.0,265075,0.4792,0.3353
2026-06-11,1057.7,1057.9,10042950,-127075,2339,2026-06-30,1100.0,748650,1080.0,288650,0.4858,0.319
2026-06-12,1034.6,1035.0,9929675,-113275,2732,2026-06-30,1100.0,879750,1080.0,271400,0.453,0.316
2026-06-15,1045.3,1049.1,9927375,-2300,1725,2026-06-30,1100.0,757275,1080.0,272550,0.461,0.3136
2026-06-16,1055.3,1059.4,9847450,-79925,3157,2026-06-30,1100.0,679075,1080.0,272550,0.4731,0.3133
2026-06-17,1055.8,1058.1,9408725,-438725,4726,2026-06-30,1100.0,710700,1080.0,273700,0.5038,0.3064
2026-06-18,1057.7,1062.7,9253475,-155250,1140,2026-06-30,1100.0,736575,1080.0,274275,0.5481,0.2935
2026-06-19,1079.6,1084.3,8799800,-453675,3162,2026-06-30,1100.0,684825,1060.0,354200,0.624,0.2712
2026-06-22,1062.8,1063.7,8700900,-98900,2317,2026-06-30,1100.0,846975,1060.0,281175,0.4796,0.3042
2026-06-23,1046.0,1046.0,8443875,-257025,1837,2026-06-30,1100.0,750950,1080.0,248975,0.445,0.3241
2026-06-24,1053.4,1055.2,5538975,-2904900,9131,2026-06-30,1100.0,599725,1000.0,228275,0.4996,0.3241
2026-06-25,1050.6,1049.4,3617900,-1921075,7361,2026-06-30,1100.0,450225,930.0,255300,0.6138,0.3733
2026-06-29,1029.3,1029.2,1731900,-1886000,5104,2026-06-30,1070.0,480125,1000.0,198375,0.5042,0.0
2026-07-01,1051.6,1056.3,8216000,-79950,900,2026-07-28,1000.0,285350,1000.0,184600,0.6286,0.3208
2026-07-02,1050.1,1053.6,8203000,-13000,507,2026-07-28,1000.0,285350,1000.0,189800,0.6206,0.3283
2026-07-03,1046.8,1045.0,8303750,100750,1264,2026-07-28,1100.0,312650,1000.0,200200,0.5284,0.3329
2026-07-06,1022.9,1017.8,8327150,23400,1867,2026-07-28,1100.0,441350,1000.0,213850,0.4871,0.3652
2026-07-07,1024.5,1019.0,8021000,-306150,2486,2026-07-28,1100.0,420550,1000.0,226200,0.4663,0.3516
2026-07-13,1109.5,1110.6,6958900,20150,924,2026-07-28,1120.0,347750,1000.0,310050,0.6543,0.3862
2026-07-15,1090.7,1094.1,6915350,-60450,1171,2026-07-28,1120.0,385450,1000.0,293150,0.6641,0.3804
2026-07-16,1100.6,1103.8,6965400,50050,1604,2026-07-28,1120.0,409500,1000.0,289250,0.6665,0.3696
2026-07-21,1048.4,1047.6,6651450,-47450,901,2026-07-28,1120.0,751400,1000.0,361400,0.5444,0.3939
2026-07-23,1024.7,1024.3,4370600,-2205450,5054,2026-07-28,1070.0,382850,950.0,295750,0.7586,0.2836
2026-07-27,1039.9,1040.5,639600,-1266200,3441,2026-07-28,1070.0,375700,980.0,292500,0.8407,0.0
2026-07-29,1036.2,1030.6,6423950,-74750,1176,2026-08-25,1100.0,239850,1000.0,198900,0.6762,0.364
2026-07-31,1022.1,1024.9,7450300,-360100,3224,2026-08-25,1000.0,426400,1000.0,232050,0.7828,0.3684
2026-08-03,1020.7,1031.8,7440550,-9750,1067,2026-08-25,1000.0,412100,1000.0,245050,0.7557,0.402
2026-08-04,1036.3,1044.9,7289100,-151450,1721,2026-08-25,1000.0,370500,1000.0,250900,0.7542,0.4094
2026-08-06,1041.86,1035.4,7222150,-35750,1141,2026-08-25,1100.0,451100,1000.0,221000,0.6346,0.3777
