Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,228.21,229.3,39094900,-768600,4371,2026-06-30,280.0,4286775,230.0,1880325,0.4798,0.4289
2026-06-09,233.9,235.44,38809725,-285175,2829,2026-06-30,280.0,4369125,230.0,1910825,0.477,0.3936
2026-06-10,228.17,228.48,39613400,803675,2354,2026-06-30,280.0,4353875,230.0,2318000,0.4669,0.3948
2026-06-11,222.19,222.76,39964150,350750,2156,2026-06-30,250.0,4227300,230.0,2339350,0.4691,0.3912
2026-06-12,233.26,234.43,39921450,-42700,3368,2026-06-30,250.0,4276100,230.0,2243275,0.5263,0.3597
2026-06-15,239.7,240.09,39248925,-672525,2976,2026-06-30,250.0,4064125,230.0,2635200,0.535,0.3465
2026-06-16,241.15,241.69,39233675,-15250,1612,2026-06-30,250.0,4157150,230.0,2934100,0.5174,0.3426
2026-06-17,245.15,246.28,39521900,288225,3144,2026-06-30,260.0,4276100,230.0,2915800,0.508,0.3405
2026-06-18,247.58,247.45,39776575,254675,6061,2026-06-30,250.0,6090850,230.0,2895975,0.4445,0.3698
2026-06-19,244.0,244.29,39608825,-167750,2050,2026-06-30,250.0,6110675,230.0,2903600,0.4352,0.3513
2026-06-22,246.19,246.1,39518850,-89975,4329,2026-06-30,250.0,7114125,230.0,1723250,0.3862,0.3765
2026-06-23,240.13,240.04,38834125,-684725,2187,2026-06-30,250.0,6386700,230.0,1828475,0.4037,0.3315
2026-06-24,239.94,240.54,27748900,-11085225,10912,2026-06-30,260.0,6116775,230.0,1921500,0.4045,0.2928
2026-06-25,240.84,241.32,18389975,-9358925,11611,2026-06-30,260.0,5435100,230.0,1720200,0.4234,0.2448
