Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,183.82,184.86,178435500,4037300,4964,2026-06-30,210.0,3257100,190.0,2162000,0.5706,0.3963
2026-06-09,185.99,187.34,178980700,545200,1464,2026-06-30,210.0,3308800,190.0,2133800,0.5544,0.3781
2026-06-10,181.72,182.34,177829200,-1151500,1628,2026-06-30,210.0,3440400,190.0,2199600,0.5615,0.4032
2026-06-11,181.36,182.55,179098200,1269000,1841,2026-06-30,210.0,3534400,190.0,2227800,0.5627,0.3708
2026-06-12,184.09,185.06,179328500,230300,1385,2026-06-30,210.0,3539100,180.0,2378200,0.5809,0.3485
2026-06-15,182.51,183.41,181025200,1696700,2710,2026-06-30,210.0,3576700,190.0,2119700,0.5139,0.3769
2026-06-16,180.99,181.24,169439700,-11585500,5608,2026-06-30,210.0,3402800,190.0,2162000,0.5064,0.3587
2026-06-17,179.58,180.27,164565800,-4873900,3269,2026-06-30,210.0,3355800,190.0,2166700,0.4927,0.3464
2026-06-18,182.16,182.42,162704600,-1861200,2195,2026-06-30,190.0,3515600,180.0,2218400,0.4829,0.3826
2026-06-19,180.05,180.16,159917500,-2787100,5111,2026-06-30,190.0,3962100,180.0,2321800,0.4745,0.3926
2026-06-22,174.84,174.67,155194000,-4723500,5594,2026-06-30,180.0,4338100,180.0,2458100,0.4657,0.4427
2026-06-23,169.18,169.27,149192100,-6001900,3439,2026-06-30,180.0,3407500,180.0,2072700,0.4796,0.4055
2026-06-24,171.42,171.34,138974300,-10217800,5266,2026-06-30,180.0,2768300,180.0,1941100,0.51,0.4212
2026-06-25,170.79,170.73,123821500,-15152800,4542,2026-06-30,180.0,2406400,180.0,1804800,0.541,0.379
2026-06-29,175.23,174.6,30456000,-93365500,23925,2026-06-30,180.0,2265400,180.0,1320700,0.4502,0.0
2026-07-01,168.27,169.13,184141300,7238000,5182,2026-07-28,180.0,2641400,155.0,1649700,0.8101,0.3725
2026-07-02,168.09,169.24,189475800,5334500,4282,2026-07-28,170.0,3355800,170.0,1917600,0.692,0.3673
2026-07-03,169.9,170.59,188770800,-705000,5090,2026-07-28,170.0,3130200,170.0,2063300,0.6717,0.369
2026-07-06,169.22,170.09,191454500,2683700,2855,2026-07-28,180.0,3586100,170.0,2232500,0.6635,0.3789
2026-07-07,165.66,166.04,193057200,1602700,2420,2026-07-28,180.0,4591900,170.0,2185500,0.6282,0.3819
2026-07-13,167.01,167.47,195764400,1706100,1600,2026-07-28,180.0,4610700,170.0,2209000,0.6183,0.4089
2026-07-15,164.63,164.77,196196800,-136300,1021,2026-07-28,180.0,4996100,170.0,2241900,0.5807,0.4186
2026-07-16,163.63,164.28,195628100,-568700,1207,2026-07-28,180.0,4996100,170.0,2213700,0.5578,0.4036
2026-07-21,164.07,164.34,194518900,-324300,1439,2026-07-28,170.0,5315700,170.0,2157300,0.5286,0.3907
2026-07-23,160.91,160.84,134029900,-47206800,11477,2026-07-28,170.0,3976200,170.0,1983400,0.5409,0.4436
2026-07-27,162.6,162.77,22545900,-94451200,21128,2026-07-28,180.0,3092600,155.0,1555700,0.5218,0.0
2026-07-29,170.96,171.14,182040400,-9428200,8023,2026-08-25,180.0,4441500,160.0,2166700,0.5996,0.3631
2026-07-31,169.03,169.32,180146300,-263200,3545,2026-08-25,180.0,4427400,160.0,2382900,0.6198,0.3434
2026-08-03,165.01,170.28,179389600,-756700,1706,2026-08-25,180.0,4272300,160.0,2397000,0.6399,0.3782
2026-08-04,173.5,174.56,177363900,-2025700,5358,2026-08-25,180.0,4286400,170.0,2486300,0.6909,0.3591
2026-08-06,176.8,177.66,179953600,897700,6057,2026-08-25,180.0,6048900,170.0,2481600,0.6691,0.3514
2026-08-07,176.57,176.12,173885900,-6067700,4876,2026-08-25,180.0,6363800,170.0,2740100,0.6397,0.3389
2026-08-11,173.0,171.4,169204700,-1847100,588,2026-08-25,180.0,9009900,170.0,3144300,0.6267,0.3448
2026-08-12,174.0,172.55,166746600,-2458100,659,2026-08-25,180.0,8441200,170.0,3106700,0.6531,0.3588
2026-08-13,168.67,169.58,166215500,-531100,313,2026-08-25,180.0,8178000,170.0,2975100,0.6603,0.4378
2026-08-14,169.51,169.87,161299300,-4916200,2481,2026-08-25,180.0,7853700,170.0,2843500,0.6701,0.3433
2026-08-19,172.75,171.69,154672300,-5640000,2425,2026-08-25,180.0,7313200,170.0,2773000,0.6974,0.2181
2026-08-27,192.99,197.43,181673800,-3468600,1138,2026-09-29,200.0,3402800,170.0,3510900,1.0829,0.318
