Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,574.55,573.1,26288800,499200,3216,2026-06-30,640.0,2745600,620.0,760000,0.5455,0.284
2026-06-09,584.95,587.2,25940000,-348800,2505,2026-06-30,640.0,2628800,620.0,753600,0.5465,0.2672
2026-06-10,580.7,579.95,25797600,-142400,1598,2026-06-30,640.0,2604000,620.0,755200,0.5797,0.2738
2026-06-11,568.25,570.5,25960800,163200,1839,2026-06-30,640.0,2534400,620.0,755200,0.5525,0.2707
2026-06-12,589.45,592.35,25078400,-882400,3619,2026-06-30,640.0,2324800,620.0,750400,0.6046,0.2582
2026-06-15,600.9,603.2,24005600,-1072800,4754,2026-06-30,640.0,2135200,600.0,820000,0.6676,0.25
2026-06-16,621.65,621.45,22682400,-1323200,5767,2026-06-30,640.0,1516000,600.0,993600,0.6916,0.2492
2026-06-17,625.7,626.4,21813600,-868800,3546,2026-06-30,640.0,1452800,600.0,976800,0.6943,0.255
2026-06-18,624.95,626.7,21509600,-304000,2244,2026-06-30,640.0,1432800,600.0,932000,0.6761,0.2417
2026-06-19,616.9,618.4,21580000,70400,2225,2026-06-30,640.0,1435200,580.0,836000,0.6676,0.2344
2026-06-22,627.8,626.5,21674400,94400,3130,2026-06-30,640.0,1325600,600.0,754400,0.628,0.2587
2026-06-23,607.2,606.8,21215200,-459200,4154,2026-06-30,640.0,1432800,600.0,687200,0.6001,0.271
2026-06-24,607.6,607.8,13665600,-7549600,12062,2026-06-30,640.0,1322400,590.0,599200,0.6201,0.2414
2026-06-25,624.85,623.3,6732000,-6933600,15063,2026-06-30,640.0,1070400,600.0,636800,0.6594,0.2296
2026-06-29,601.9,606.0,2401600,-4330400,9509,2026-06-30,640.0,864800,590.0,639200,0.6868,0.0
2026-07-01,596.15,597.15,25853600,601600,2737,2026-07-28,690.0,3069600,600.0,974400,0.4709,0.3192
