Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1764.4,1769.7,7649625,30750,1497,2026-06-30,1900.0,409875,1700.0,333750,0.664,0.2339
2026-06-09,1769.1,1781.2,7588125,-61500,1747,2026-06-30,1900.0,445125,1700.0,335250,0.6804,0.2193
2026-06-10,1728.7,1733.7,7468125,-120000,2607,2026-06-30,1900.0,516750,1700.0,340875,0.5445,0.2166
2026-06-11,1722.0,1722.7,7408125,-60000,2220,2026-06-30,1900.0,534750,1700.0,345000,0.5375,0.2039
2026-06-12,1706.0,1715.5,7702875,294750,3277,2026-06-30,1900.0,642375,1700.0,370875,0.4548,0.2128
2026-06-15,1759.5,1768.2,7729875,27000,3580,2026-06-30,1900.0,604500,1700.0,364875,0.5251,0.2122
2026-06-16,1767.6,1774.7,7714125,-15750,1594,2026-06-30,1900.0,586875,1700.0,400500,0.5898,0.207
2026-06-17,1793.6,1799.9,7663875,-50250,1649,2026-06-30,1900.0,550875,1700.0,456375,0.6694,0.2039
2026-06-18,1807.6,1814.8,7767000,103125,1932,2026-06-30,1900.0,582000,1700.0,457500,0.674,0.1977
2026-06-19,1800.2,1805.8,7848750,81750,1698,2026-06-30,1900.0,576000,1700.0,368625,0.6219,0.1998
2026-06-22,1805.5,1811.0,7797375,-51375,1680,2026-06-30,1900.0,583875,1700.0,364500,0.6204,0.2127
2026-06-23,1786.2,1784.6,7594875,-202500,2503,2026-06-30,1900.0,482250,1700.0,363000,0.6298,0.2048
2026-06-24,1767.7,1770.4,5877375,-1717500,6379,2026-06-30,1900.0,408000,1700.0,293625,0.5666,0.1971
2026-06-25,1744.9,1744.7,2907000,-2970375,9107,2026-06-30,1760.0,379500,1700.0,138375,0.4995,0.1772
2026-06-29,1755.5,1760.5,885375,-2021625,6775,2026-06-30,1760.0,375750,1700.0,127500,0.4315,0.0
2026-07-01,1790.9,1800.9,8404500,31875,1820,2026-07-28,1960.0,165375,1580.0,210750,0.9586,0.2402
2026-07-02,1784.4,1795.3,8426625,22125,1781,2026-07-28,1800.0,231000,1580.0,220500,0.8279,0.2365
2026-07-03,1788.7,1793.6,8359875,-66750,1412,2026-07-28,1900.0,242250,1580.0,220500,0.8573,0.2287
2026-07-06,1787.7,1791.8,8392500,32625,695,2026-07-28,1800.0,319125,1580.0,219750,0.7487,0.2443
2026-07-07,1832.3,1846.5,8030250,-362250,4799,2026-07-28,1900.0,295500,1580.0,222750,0.6932,0.2358
2026-07-13,1855.9,1859.3,7556625,-27750,1738,2026-07-28,1860.0,367875,1580.0,209250,0.7334,0.2596
2026-07-15,1866.4,1867.4,7078875,-192000,2349,2026-07-28,1900.0,585000,1580.0,198750,0.686,0.2703
