Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,18115.0,18202.0,746750,3850,1656,2026-06-30,20500.0,49350,18000.0,33900,0.7322,0.3483
2026-06-09,18267.0,18394.0,742350,-4400,1205,2026-06-30,20500.0,47950,18000.0,37850,0.7647,0.3328
2026-06-10,17697.0,17752.0,744050,1700,2150,2026-06-30,20500.0,49850,18000.0,34550,0.7313,0.3429
2026-06-11,17141.0,17228.0,759600,15550,3805,2026-06-30,20500.0,52100,18000.0,34100,0.7378,0.3597
2026-06-12,17143.0,17191.0,741450,-18150,2196,2026-06-30,20500.0,52050,18000.0,32600,0.7011,0.3373
2026-06-15,17277.0,17330.0,739350,-2100,1447,2026-06-30,20500.0,52250,18000.0,32050,0.7438,0.343
2026-06-16,16899.0,16965.0,723500,-15850,1654,2026-06-30,20500.0,52650,17000.0,32000,0.6419,0.3461
2026-06-17,17458.0,17543.0,726250,2750,2916,2026-06-30,20500.0,51950,17000.0,33050,0.7697,0.3344
2026-06-18,17764.0,17817.0,737500,11250,2036,2026-06-30,19000.0,53950,18000.0,31250,0.6813,0.3253
2026-06-19,18052.0,18110.0,756200,18700,3555,2026-06-30,18000.0,64550,18000.0,46550,0.6231,0.3341
2026-06-22,18441.0,18458.0,753150,-3050,2220,2026-06-30,18000.0,57050,18000.0,42350,0.6967,0.3587
2026-06-23,18227.0,18220.0,718350,-34800,2429,2026-06-30,18500.0,64000,18000.0,38150,0.6103,0.3583
2026-06-24,17864.0,17887.0,581950,-136400,4044,2026-06-30,18000.0,60250,18000.0,31800,0.5599,0.3598
2026-06-25,17428.0,17423.0,350500,-231450,5714,2026-06-30,18000.0,74050,18000.0,26050,0.5429,0.3228
2026-06-29,17798.0,17775.0,91750,-258750,6583,2026-06-30,18000.0,54300,18000.0,21750,0.6189,0.0
2026-07-01,18610.0,18702.0,674200,-9600,2139,2026-07-28,18000.0,37700,17000.0,27850,0.6769,0.3593
2026-07-02,18658.0,18721.0,676500,2300,1266,2026-07-28,18000.0,35450,18000.0,25900,0.6508,0.3493
2026-07-03,18514.0,18589.0,677300,800,2030,2026-07-28,19000.0,36100,17000.0,27750,0.6348,0.3546
2026-07-06,18539.0,18561.0,692000,14700,2579,2026-07-28,19000.0,59050,17000.0,28250,0.5829,0.3535
2026-07-07,18268.0,18289.0,693750,1750,3934,2026-07-28,19000.0,63800,17000.0,28950,0.5566,0.3552
2026-07-13,18155.0,18171.0,773150,13100,1988,2026-07-28,19000.0,74850,17000.0,38800,0.6411,0.4084
2026-07-15,18285.0,18328.0,773800,-1200,1770,2026-07-28,20000.0,71350,17000.0,38300,0.7087,0.4025
2026-07-16,18400.0,18448.0,769900,-3900,1119,2026-07-28,20000.0,65200,17000.0,40300,0.7433,0.3982
2026-07-21,19046.0,19094.0,741350,-44150,2124,2026-07-28,20000.0,64350,17250.0,45800,0.9512,0.3808
2026-07-23,18621.0,18601.0,551800,-165950,4192,2026-07-28,20000.0,58750,18000.0,33100,0.8587,0.3134
2026-07-27,18627.0,18643.0,122300,-204050,4877,2026-07-28,19000.0,34500,17500.0,22800,0.9436,0.0
