Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,3491.1,3490.2,2007250,15925,1273,2026-06-30,3600.0,97300,3600.0,60025,0.6696,0.2695
2026-06-09,3499.7,3500.8,2065350,58100,1495,2026-06-30,3600.0,121100,3600.0,85750,0.6117,0.2551
2026-06-10,3488.4,3469.7,2082325,16975,838,2026-06-30,3600.0,109375,3600.0,81725,0.5425,0.2663
2026-06-11,3443.8,3433.7,2088800,6475,592,2026-06-30,3600.0,101675,3600.0,80500,0.538,0.2661
2026-06-12,3483.9,3475.6,2084250,-4550,754,2026-06-30,3600.0,103775,3600.0,79100,0.5333,0.2476
2026-06-15,3550.0,3533.1,2101575,17325,1033,2026-06-30,3600.0,109025,3600.0,77000,0.5636,0.2664
2026-06-16,3566.7,3547.5,2156000,54425,1070,2026-06-30,3600.0,125300,3600.0,80675,0.5551,0.2452
2026-06-17,3517.5,3513.0,2170350,14350,1209,2026-06-30,3600.0,165200,3600.0,79450,0.465,0.2492
2026-06-18,3524.5,3506.0,2205700,35350,999,2026-06-30,3600.0,167125,3600.0,78400,0.477,0.2503
2026-06-19,3525.6,3512.7,2205875,175,1423,2026-06-30,3600.0,154525,3600.0,78050,0.4871,0.2561
2026-06-22,3587.6,3574.8,2186450,-19425,814,2026-06-30,3600.0,148750,3600.0,84700,0.5608,0.281
2026-06-23,3540.4,3513.7,2152150,-34300,1029,2026-06-30,3600.0,136500,3600.0,75775,0.4633,0.2928
2026-06-24,3560.4,3539.9,1632925,-519225,3810,2026-06-30,3700.0,111825,3600.0,72100,0.5276,0.2616
2026-06-25,3422.0,3417.3,928200,-704725,5076,2026-06-30,3600.0,166775,3400.0,69125,0.5089,0.25
2026-06-29,3194.0,3190.2,456400,-471800,4599,2026-06-30,3600.0,191450,3600.0,57575,0.536,0.0
2026-07-01,3221.2,3239.2,2403975,-46200,1946,2026-07-28,3500.0,163625,3000.0,108675,0.7318,0.3327
2026-07-02,3275.5,3285.4,2399950,-4025,2006,2026-07-28,3500.0,154700,3000.0,192150,0.858,0.3226
2026-07-03,3228.7,3246.8,2385600,-14350,879,2026-07-28,3500.0,143850,3000.0,191800,0.8439,0.3156
2026-07-06,3234.0,3239.9,2381575,-4025,2173,2026-07-28,3500.0,144200,3000.0,192675,0.7683,0.3256
2026-07-07,3181.3,3196.1,2383325,1750,1828,2026-07-28,3500.0,143500,3000.0,192325,0.7453,0.3225
2026-07-13,3334.6,3338.7,2251375,-30800,1311,2026-07-28,3500.0,158725,3000.0,190050,0.762,0.338
2026-07-15,3457.8,3467.3,2087050,-49000,2601,2026-07-28,3600.0,147000,3200.0,84875,0.8013,0.307
2026-07-16,3522.6,3523.5,2060800,-26250,1932,2026-07-28,3700.0,219800,3300.0,92400,0.7269,0.3004
2026-07-21,3399.1,3399.9,2079175,22050,1682,2026-07-28,3700.0,178150,3200.0,148225,0.6979,0.3059
2026-07-23,3416.9,3420.5,1277325,-727300,4732,2026-07-28,3550.0,152950,3200.0,90475,0.721,0.2629
2026-07-27,3338.2,3333.6,384825,-343700,2675,2026-07-28,3600.0,91175,3000.0,45325,0.6732,0.0
2026-07-29,3483.3,3501.0,2260125,-3325,3237,2026-08-25,3500.0,165025,3000.0,93100,0.8621,0.3027
2026-07-31,3465.4,3480.9,2288300,14350,876,2026-08-25,3500.0,175350,3450.0,95725,0.7597,0.299
2026-08-03,3530.0,3537.5,2286375,-1925,1288,2026-08-25,3500.0,163100,3500.0,100800,0.8136,0.3037
2026-08-04,3501.02,3518.9,2282875,-3500,823,2026-08-25,3700.0,240625,3500.0,124775,0.762,0.312
2026-08-06,3476.99,3474.1,2287600,-24850,1167,2026-08-25,3700.0,318850,3500.0,142975,0.6596,0.3178
2026-08-07,3441.98,3434.6,2276400,-11200,851,2026-08-25,3700.0,329000,3500.0,140875,0.6489,0.3217
