Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2151.4,2163.6,42236775,-47775,25233,2026-06-30,2300.0,4021150,2300.0,1615775,0.5761,0.3175
2026-06-09,2150.9,2160.4,42531125,294350,13497,2026-06-30,2300.0,4268775,2300.0,1603175,0.5632,0.3024
2026-06-10,2153.9,2151.9,42297150,-233975,18116,2026-06-30,2300.0,4313925,2300.0,1570450,0.5626,0.2963
2026-06-11,2135.6,2138.9,42199675,-97475,18923,2026-06-30,2300.0,4519900,2300.0,1541750,0.5615,0.2928
2026-06-12,2161.4,2167.9,41454875,-744800,16079,2026-06-30,2300.0,4249875,2300.0,1511825,0.5672,0.2836
2026-06-15,2162.0,2172.9,41775650,320775,16841,2026-06-30,2300.0,4356450,2300.0,1493100,0.5562,0.2933
2026-06-16,2199.0,2201.7,41500900,-274750,16147,2026-06-30,2300.0,4027275,2300.0,1437275,0.5821,0.2796
2026-06-17,2223.0,2223.8,40802650,-698250,13910,2026-06-30,2300.0,3518725,2300.0,1346800,0.6038,0.2662
2026-06-18,2203.4,2203.3,41036625,233975,16826,2026-06-30,2300.0,3477775,2200.0,1311450,0.584,0.2921
2026-06-19,2125.0,2123.0,40814375,-222250,72440,2026-06-30,2300.0,4114950,2300.0,1240050,0.5364,0.2609
2026-06-22,2127.8,2123.4,40378275,-436100,20994,2026-06-30,2300.0,4503625,2100.0,1234275,0.5116,0.2604
2026-06-23,2059.6,2062.3,37578800,-2799475,46403,2026-06-30,2300.0,3943450,2300.0,1206800,0.5142,0.301
2026-06-24,2109.0,2116.9,21209650,-16369150,146657,2026-06-30,2300.0,3922275,2100.0,1252650,0.5938,0.2798
2026-06-25,2094.8,2096.9,11731300,-9478350,85821,2026-06-30,2300.0,3488100,2100.0,1137675,0.5633,0.2307
2026-06-29,2097.9,2098.8,5339075,-6392225,61407,2026-06-30,2300.0,2453325,2300.0,741825,0.5164,0.0
2026-07-01,1982.6,1980.1,49046400,1168200,21145,2026-07-28,2100.0,2839725,2100.0,1893375,0.7321,0.3578
2026-07-02,2068.0,2066.7,47629125,-1417275,33241,2026-07-28,2100.0,3090600,2000.0,1921050,0.7393,0.318
2026-07-03,2093.5,2079.2,46468575,-1160550,21208,2026-07-28,2100.0,3089700,2100.0,2010600,0.6816,0.2996
2026-07-06,2057.6,2054.1,46085850,-382725,12386,2026-07-28,2100.0,3206475,2100.0,2003850,0.6642,0.3306
2026-07-07,2096.1,2092.0,45299700,-786150,23345,2026-07-28,2100.0,3302325,2100.0,2130975,0.6466,0.3237
2026-07-13,2181.5,2173.4,44916075,-1341450,56528,2026-07-28,2100.0,3568275,2000.0,2465100,0.7308,0.2626
2026-07-15,2189.2,2176.7,42178050,-606150,26150,2026-07-28,2100.0,3402675,2100.0,2293200,0.6993,0.2562
2026-07-16,2201.0,2198.6,39976875,-2201175,34464,2026-07-28,2100.0,2614725,2000.0,2203425,0.7613,0.2632
2026-07-21,2221.1,2226.1,37421100,-572400,15368,2026-07-28,2100.0,2178225,2000.0,2358450,0.8146,0.2633
2026-07-23,2242.9,2244.2,25417125,-10742850,62370,2026-07-28,2100.0,2104425,2100.0,2508300,0.8181,0.2799
2026-07-27,2295.6,2293.8,5768550,-8361000,52480,2026-07-28,2100.0,1985625,2100.0,1741500,0.7903,0.0
2026-07-29,2446.6,2442.4,33613650,-569250,29332,2026-08-25,2500.0,976500,2800.0,1136700,0.9445,0.2698
2026-07-31,2365.6,2377.0,31698900,-378675,23031,2026-08-25,2500.0,1386675,2800.0,1126575,0.8722,0.2771
2026-08-03,2473.34,2464.6,31437675,-261225,15605,2026-08-25,2500.0,1817100,2800.0,1049400,0.8742,0.2625
2026-08-04,2459.98,2457.4,30752775,-684900,12129,2026-08-25,2500.0,1795500,2800.0,1038375,0.892,0.2577
2026-08-06,2372.92,2386.8,31501575,305550,11991,2026-08-25,2500.0,1993725,2800.0,1038375,0.8058,0.2769
2026-08-07,2452.71,2451.7,31365900,-135675,14512,2026-08-25,2500.0,1851750,2800.0,1028250,0.7764,0.2595
2026-08-11,2444.87,2444.3,31065750,-153675,3383,2026-08-25,2500.0,1965825,2800.0,1017450,0.7462,0.2566
2026-08-12,2349.7,2342.2,31008375,-57375,28733,2026-08-25,2500.0,2256975,2800.0,1019475,0.6473,0.2877
2026-08-13,2374.53,2374.0,30868650,-139725,8544,2026-08-25,2500.0,2260350,2800.0,1016550,0.6409,0.2613
2026-08-14,2360.99,2369.6,30910050,41400,8550,2026-08-25,2500.0,2321100,2800.0,1008450,0.6183,0.2528
2026-08-19,2288.99,2293.0,29822175,-1143675,11216,2026-08-25,2500.0,1934100,2800.0,774675,0.5817,0.2515
