Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1503.4,1505.8,21923400,474600,4248,2026-06-30,1560.0,1720200,1300.0,1128000,0.6497,0.2867
2026-06-09,1483.8,1489.8,21741600,-181800,2616,2026-06-30,1560.0,2071800,1300.0,1126800,0.596,0.2841
2026-06-10,1478.9,1483.4,21645600,-96000,1820,2026-06-30,1560.0,2020800,1300.0,1134600,0.6281,0.2858
2026-06-11,1465.1,1466.0,21677400,31800,4153,2026-06-30,1560.0,2026200,1300.0,1170600,0.6124,0.283
2026-06-12,1429.2,1436.6,21330600,-346800,5289,2026-06-30,1560.0,2005800,1300.0,1145400,0.5724,0.2969
2026-06-15,1425.6,1432.3,20966400,-364200,5547,2026-06-30,1560.0,2028600,1300.0,1073400,0.5292,0.3128
2026-06-16,1446.8,1449.5,20961000,-5400,3791,2026-06-30,1560.0,2019600,1300.0,1108800,0.5492,0.2892
2026-06-17,1462.4,1465.1,20827800,-133200,2674,2026-06-30,1560.0,2002200,1300.0,1101000,0.5718,0.2858
2026-06-18,1447.6,1449.1,20954400,126600,3814,2026-06-30,1560.0,1990800,1300.0,1375200,0.5639,0.2992
2026-06-19,1409.6,1408.9,21275400,321000,10753,2026-06-30,1560.0,2049600,1360.0,771600,0.4992,0.2753
2026-06-22,1435.2,1439.1,21324600,49200,4518,2026-06-30,1560.0,1977600,1300.0,676800,0.5005,0.2752
2026-06-23,1415.6,1412.5,21289800,-34800,6281,2026-06-30,1560.0,1950600,1300.0,659400,0.5167,0.298
2026-06-24,1461.6,1466.9,14578200,-6711600,18718,2026-06-30,1560.0,2029800,1440.0,798600,0.6176,0.2797
2026-06-25,1437.1,1442.7,9976200,-4602000,15188,2026-06-30,1560.0,2038800,1300.0,592800,0.5266,0.1944
2026-06-29,1433.8,1442.5,7150800,-2825400,12205,2026-06-30,1560.0,2001600,1300.0,573000,0.5413,0.0
2026-07-01,1362.2,1353.8,22183800,286200,5196,2026-07-28,1500.0,652200,1400.0,393600,0.7603,0.3572
2026-07-02,1421.3,1414.6,22225200,41400,5716,2026-07-28,1500.0,713400,1400.0,462000,0.7397,0.3331
2026-07-03,1410.1,1406.6,22246800,21600,4796,2026-07-28,1464.0,542400,1364.0,418200,0.7761,0.3273
2026-07-06,1406.4,1405.7,21996000,-250800,2390,2026-07-28,1464.0,502200,1364.0,397800,0.7802,0.339
2026-07-07,1447.5,1444.1,21698400,-297600,5215,2026-07-28,1344.0,473400,1364.0,393600,0.814,0.3354
2026-07-13,1504.5,1498.1,21729600,84000,7486,2026-07-28,1500.0,519600,1400.0,345000,0.777,0.372
