Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,4192.4,4193.4,6711600,-180950,3303,2026-06-30,4200.0,426475,4000.0,228025,0.6311,0.2205
2026-06-09,4104.9,4121.0,6569325,-142275,6186,2026-06-30,4200.0,593425,3500.0,293125,0.551,0.2193
2026-06-10,4042.0,4041.6,6886600,317275,5722,2026-06-30,4200.0,615650,3500.0,295925,0.5082,0.2228
2026-06-11,4025.2,4030.5,6951875,65275,5884,2026-06-30,4200.0,593425,3500.0,341775,0.5463,0.2202
2026-06-12,4184.1,4187.9,7118475,166600,7482,2026-06-30,4300.0,629300,3500.0,389900,0.6602,0.2006
2026-06-15,4283.4,4293.4,7133875,15400,7386,2026-06-30,4300.0,818475,3500.0,387975,0.692,0.2184
2026-06-16,4338.0,4339.0,7398475,264600,4695,2026-06-30,4500.0,581875,4000.0,397075,0.8514,0.2001
2026-06-17,4380.5,4389.6,7648200,249725,4538,2026-06-30,4200.0,482825,4200.0,438375,1.0324,0.2007
2026-06-18,4387.9,4391.7,7669550,21350,3215,2026-06-30,4200.0,483000,4200.0,457975,0.9821,0.1976
2026-06-19,4419.9,4422.8,7706475,36925,5374,2026-06-30,4200.0,475825,4200.0,515025,0.9916,0.1977
2026-06-22,4372.5,4372.2,7461300,-245175,3107,2026-06-30,4200.0,467600,4200.0,568050,0.928,0.2155
2026-06-23,4305.3,4308.8,6888525,-572775,7928,2026-06-30,4400.0,497175,4200.0,476525,0.8484,0.2054
2026-06-24,4324.2,4321.5,5573400,-1315125,9753,2026-06-30,4400.0,494200,4200.0,453425,0.8334,0.1847
2026-06-25,4291.1,4294.8,3732925,-1840475,12942,2026-06-30,4400.0,552825,4200.0,443800,0.8328,0.1517
2026-06-29,4277.2,4286.9,1870575,-1862350,11932,2026-06-30,4400.0,496650,3500.0,384825,0.8335,0.0
2026-07-01,4398.5,4410.5,8120700,64050,6717,2026-07-28,4500.0,536200,4000.0,220675,0.7215,0.2419
2026-07-02,4481.2,4491.6,8254225,133525,5730,2026-07-28,4500.0,424550,4400.0,297850,0.8236,0.2423
2026-07-03,4461.1,4471.6,8223950,-30275,3298,2026-07-28,4500.0,467075,4400.0,332850,0.832,0.2583
2026-07-06,4484.4,4484.2,8281525,57575,2490,2026-07-28,4500.0,543200,4400.0,401625,0.8473,0.2673
2026-07-07,4604.1,4598.0,7928725,-352800,15936,2026-07-28,4600.0,700175,4400.0,473725,0.7175,0.2181
2026-07-13,4602.4,4605.7,6317850,-224175,4548,2026-07-28,4600.0,671475,4400.0,445550,0.7501,0.2326
2026-07-15,4579.3,4580.6,5882275,-194075,2789,2026-07-28,4600.0,874300,4450.0,474950,0.7179,0.228
