Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,4410.4,4435.5,3075250,-20500,3060,2026-06-30,4700.0,111250,4400.0,52500,0.4709,0.2509
2026-06-09,4472.9,4501.4,3033125,-42125,1704,2026-06-30,4800.0,115375,4400.0,49750,0.4786,0.2328
2026-06-10,4463.7,4470.9,2991125,-42000,3029,2026-06-30,4800.0,108875,4400.0,49000,0.4791,0.2297
2026-06-11,4572.2,4577.0,2891750,-99375,6308,2026-06-30,4800.0,114750,4400.0,50625,0.5096,0.2429
2026-06-12,4571.2,4598.9,2901000,9250,4069,2026-06-30,4700.0,92000,4400.0,54750,0.6021,0.2335
2026-06-15,4504.0,4516.4,2782875,-118125,3369,2026-06-30,4600.0,117625,4400.0,57750,0.5242,0.2495
2026-06-16,4466.7,4473.9,2811625,28750,1867,2026-06-30,4600.0,149375,4400.0,54375,0.4633,0.2341
2026-06-17,4443.5,4461.1,2821375,9750,1523,2026-06-30,4600.0,158125,4400.0,52625,0.4575,0.2381
2026-06-18,4445.5,4464.1,2863250,41875,1912,2026-06-30,4600.0,190750,4400.0,56875,0.4404,0.2286
2026-06-19,4429.8,4446.6,2967375,104125,4198,2026-06-30,4600.0,190500,4400.0,60625,0.4514,0.2268
2026-06-22,4457.0,4474.9,2942125,-25250,4515,2026-06-30,4600.0,181375,4500.0,59000,0.4469,0.2511
2026-06-23,4514.1,4527.4,2753875,-188250,4448,2026-06-30,4600.0,151625,4400.0,56125,0.4786,0.2455
2026-06-24,4504.4,4511.8,1800250,-953625,9275,2026-06-30,4600.0,136625,4500.0,54750,0.4623,0.2197
2026-06-25,4516.2,4521.6,964000,-836250,8464,2026-06-30,4600.0,100750,4500.0,46250,0.4771,0.1763
2026-06-29,4657.7,4630.0,270500,-693500,8863,2026-06-30,4600.0,139750,4400.0,56375,0.4834,0.0
2026-07-01,4640.8,4660.9,2934625,28625,2195,2026-07-28,4800.0,101125,4400.0,43500,0.5388,0.2641
2026-07-02,4661.4,4690.4,2931125,-3500,1599,2026-07-28,4800.0,91875,4400.0,42000,0.5017,0.2548
2026-07-03,4768.2,4778.4,2879500,-51625,2230,2026-07-28,4800.0,106000,4400.0,39875,0.5662,0.2496
2026-07-06,4822.7,4830.2,2846875,-32625,2466,2026-07-28,4800.0,74000,4500.0,40875,0.6473,0.249
2026-07-07,4856.7,4855.7,2670625,-176250,4390,2026-07-28,5000.0,89250,4800.0,63875,0.7295,0.2387
2026-07-13,4951.1,4904.3,2659750,62625,4283,2026-07-28,5000.0,97875,4800.0,77500,0.8504,0.2744
2026-07-15,5017.8,4974.0,2941500,180000,6309,2026-07-28,5000.0,197625,4900.0,119375,0.9264,0.2721
2026-07-16,4987.6,4845.5,3374500,433000,25348,2026-07-28,5000.0,183875,4900.0,73125,0.7649,0.3454
2026-07-21,5040.6,5032.7,3590750,19000,4120,2026-07-28,5000.0,108625,5000.0,99875,0.9039,0.2586
2026-07-23,5065.2,5030.3,2481000,-1105875,12065,2026-07-28,5100.0,103875,4900.0,113250,1.04,0.2161
2026-07-27,5019.4,5032.7,297875,-982125,11355,2026-07-28,5050.0,66750,4900.0,79500,1.1176,0.0
2026-07-29,4878.5,4903.4,4232250,-51875,3190,2026-08-25,5000.0,191250,5000.0,70125,0.6665,0.3045
2026-07-31,5117.3,5145.4,3801375,-165375,10321,2026-08-25,5000.0,133125,5000.0,116750,0.7639,0.2528
2026-08-03,5049.92,5046.0,3730625,-70750,3717,2026-08-25,5100.0,178000,5000.0,95750,0.5659,0.2598
