Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,2724.1,2712.1,9803850,-61350,4295,2026-06-30,3000.0,556350,2600.0,220350,0.4555,0.3211
2026-06-09,2771.3,2769.0,9878850,75000,6061,2026-06-30,2800.0,529050,2600.0,222150,0.4658,0.3008
2026-06-10,2754.6,2749.2,9991050,112200,7149,2026-06-30,2800.0,514350,2600.0,220050,0.482,0.3106
2026-06-11,2710.9,2707.6,10072050,81000,5944,2026-06-30,2800.0,554850,2600.0,213150,0.4629,0.3105
2026-06-12,2755.3,2767.1,9985050,-87000,4487,2026-06-30,2800.0,537600,2600.0,195750,0.4629,0.2932
2026-06-15,2901.1,2907.2,9872400,-112650,11155,2026-06-30,3000.0,568200,2800.0,309900,0.6159,0.3058
2026-06-16,2897.8,2895.3,10033950,161550,4370,2026-06-30,3000.0,590400,2800.0,321000,0.5957,0.2825
2026-06-17,3102.8,3101.2,10132650,98700,21959,2026-06-30,3100.0,587850,3000.0,565800,0.8655,0.3359
2026-06-18,3179.7,3174.5,10423800,291150,16447,2026-06-30,3200.0,638400,3000.0,661650,0.9091,0.2998
2026-06-19,3205.7,3192.7,10945200,521400,10925,2026-06-30,3200.0,603150,3000.0,625800,0.8573,0.2847
2026-06-22,3180.5,3175.4,10926750,-18450,8232,2026-06-30,3200.0,713250,3000.0,686400,0.7759,0.3111
2026-06-23,3142.9,3151.6,9421650,-1505100,17142,2026-06-30,3200.0,824550,3000.0,608850,0.721,0.305
2026-06-24,3247.0,3259.1,5826600,-3595050,44681,2026-06-30,3300.0,415200,3000.0,541500,0.838,0.2925
2026-06-25,3216.3,3215.4,3523650,-2302950,22148,2026-06-30,3300.0,472650,3000.0,513300,0.7772,0.1972
