Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1238.5,1240.2,9572400,-107600,2009,2026-06-30,1400.0,603200,1400.0,484400,0.7589,0.2256
2026-06-09,1257.2,1267.0,9746800,174400,2694,2026-06-30,1400.0,602800,1400.0,484000,0.7802,0.2222
2026-06-10,1259.9,1263.5,9588400,-158400,2081,2026-06-30,1400.0,606000,1400.0,484800,0.7945,0.2186
2026-06-11,1257.8,1263.7,9564800,-23600,1309,2026-06-30,1400.0,606400,1400.0,484800,0.758,0.213
2026-06-12,1272.4,1278.9,9545200,-19600,1846,2026-06-30,1400.0,610000,1400.0,482800,0.7221,0.2166
2026-06-15,1271.5,1274.0,9509600,-35600,2688,2026-06-30,1300.0,654800,1400.0,481600,0.6918,0.2223
2026-06-16,1299.0,1302.8,9355600,-154000,3902,2026-06-30,1400.0,642400,1400.0,372000,0.6973,0.2212
2026-06-17,1308.0,1310.5,9056400,-299200,2302,2026-06-30,1300.0,604800,1400.0,322400,0.6661,0.2236
2026-06-18,1350.3,1352.1,8450000,-606400,7158,2026-06-30,1400.0,578800,1300.0,374800,0.8372,0.2319
2026-06-19,1320.5,1324.3,8413600,-36400,2335,2026-06-30,1400.0,618400,1300.0,311600,0.7982,0.2278
2026-06-22,1343.1,1342.8,8208800,-204800,2133,2026-06-30,1400.0,548000,1400.0,304000,0.7221,0.2511
2026-06-23,1337.7,1337.0,7656400,-552400,2151,2026-06-30,1400.0,535600,1400.0,300000,0.7768,0.2374
2026-06-24,1359.1,1357.9,5563200,-2093200,6410,2026-06-30,1400.0,638000,1400.0,281200,0.7909,0.2289
2026-06-25,1384.9,1383.7,3347600,-2215600,8968,2026-06-30,1400.0,543200,1300.0,210800,0.8104,0.2024
2026-06-29,1341.5,1339.7,1653600,-1694000,6767,2026-06-30,1400.0,309600,1300.0,195600,0.8459,0.0
