Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1053.1,1058.4,4757500,-11000,1188,2026-06-30,1200.0,193050,1100.0,118250,0.6753,0.341
2026-06-09,1094.0,1102.1,4838900,81400,1458,2026-06-30,1200.0,179850,1100.0,125400,0.7075,0.3256
2026-06-10,1080.4,1081.3,4750350,-88550,986,2026-06-30,1200.0,191400,1100.0,128150,0.6217,0.3334
2026-06-11,1067.3,1071.2,4774550,24200,710,2026-06-30,1200.0,184800,1100.0,116600,0.5885,0.3224
2026-06-12,1057.7,1064.0,4984650,210100,2083,2026-06-30,1100.0,261800,1000.0,129250,0.5695,0.3093
2026-06-15,1125.7,1128.3,4949450,-35200,2154,2026-06-30,1200.0,349250,1060.0,215600,0.7615,0.6759
2026-06-16,1089.5,1093.8,4945050,-4400,912,2026-06-30,1180.0,377850,1040.0,289850,0.634,0.2967
2026-06-17,1088.0,1089.8,4893900,-51150,1240,2026-06-30,1180.0,374550,1040.0,267850,0.5539,0.296
2026-06-18,1097.9,1101.2,4923050,29150,505,2026-06-30,1180.0,377850,1040.0,267850,0.5661,0.2936
2026-06-19,1116.6,1116.7,4781150,-141900,852,2026-06-30,1160.0,415800,1040.0,254100,0.5626,0.2683
2026-06-22,1116.7,1116.8,4599650,-181500,910,2026-06-30,1160.0,438900,1040.0,226050,0.5275,0.2876
2026-06-23,1118.3,1120.4,4501200,-98450,519,2026-06-30,1160.0,436700,1040.0,204600,0.5897,0.2643
2026-06-24,1103.5,1102.7,3045900,-1455300,3631,2026-06-30,1160.0,377850,1060.0,245850,0.6095,0.2376
2026-06-25,1136.5,1137.6,1359600,-1686300,4465,2026-06-30,1180.0,565400,1100.0,285450,0.6619,0.2251
2026-06-29,1091.3,1095.4,481250,-878350,2054,2026-06-30,1180.0,535150,1060.0,125950,0.4927,0.0
2026-07-01,1088.1,1091.5,5008850,-35750,1028,2026-07-28,1200.0,290400,1080.0,136400,0.6221,0.3351
2026-07-02,1121.0,1125.4,4981350,-27500,1269,2026-07-28,1200.0,278850,1080.0,138050,0.6647,0.3304
2026-07-03,1126.1,1129.7,5007750,26400,1106,2026-07-28,1200.0,238150,1080.0,146300,0.599,0.3221
2026-07-06,1138.0,1143.9,5427950,420200,3176,2026-07-28,1200.0,288200,1080.0,134200,0.5502,0.3475
2026-07-07,1129.2,1130.8,5596800,168850,1502,2026-07-28,1200.0,322850,1080.0,137500,0.516,0.3533
2026-07-13,1152.3,1157.4,4838350,-1100,840,2026-07-28,1200.0,279400,1080.0,246950,0.6653,0.3469
2026-07-15,1157.7,1161.8,4761900,-55550,1039,2026-07-28,1200.0,560450,1080.0,182600,0.5069,0.3655
2026-07-16,1150.6,1154.4,4745950,-15950,1007,2026-07-28,1200.0,444950,1080.0,176000,0.5074,0.3476
2026-07-21,1147.4,1147.6,4692050,31900,1547,2026-07-28,1200.0,530200,1080.0,234850,0.5049,0.3336
2026-07-23,1129.9,1130.6,2895200,-1637350,3797,2026-07-28,1180.0,345950,1080.0,353100,0.5963,0.301
2026-07-27,1162.4,1162.9,460350,-883300,2450,2026-07-28,1200.0,266750,1080.0,342650,0.7476,0.0
2026-07-29,1168.7,1175.3,4476450,-188100,1435,2026-08-25,1200.0,387750,1160.0,80300,0.757,0.368
