Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,624.95,626.25,24658290,-168020,1761,2026-06-30,650.0,1214080,650.0,666660,0.7567,0.271
2026-06-09,628.35,632.9,24700295,42005,1324,2026-06-30,650.0,1191045,650.0,650400,0.7147,0.2558
2026-06-10,611.0,612.35,25094600,394305,2272,2026-06-30,650.0,1388875,650.0,654465,0.7015,0.2763
2026-06-11,593.75,596.3,25329015,234415,1401,2026-06-30,650.0,1455270,650.0,647690,0.6644,0.2587
2026-06-12,610.1,613.3,25636600,307585,2567,2026-06-30,650.0,1440365,650.0,615170,0.7485,0.2575
2026-06-15,616.6,619.65,25742290,105690,1852,2026-06-30,650.0,1345515,650.0,615170,0.74,0.2693
2026-06-16,615.35,616.8,25969930,227640,1320,2026-06-30,650.0,1369905,650.0,615170,0.698,0.2601
2026-06-17,614.4,615.35,26240930,271000,1122,2026-06-30,650.0,1380745,650.0,615170,0.6881,0.2566
2026-06-18,610.8,613.45,26426565,185635,777,2026-06-30,650.0,1495920,650.0,612460,0.6427,0.2532
2026-06-19,608.65,610.75,26674530,247965,1688,2026-06-30,650.0,1578575,650.0,616525,0.618,0.2537
2026-06-22,605.5,606.35,26761250,86720,598,2026-06-30,650.0,1920035,650.0,611105,0.5515,0.2629
2026-06-23,596.8,596.7,26713825,-47425,2235,2026-06-30,650.0,2104315,650.0,590780,0.482,0.2623
2026-06-24,599.25,599.95,20762665,-5951160,7521,2026-06-30,650.0,2055535,650.0,567745,0.5157,0.2359
2026-06-25,590.5,590.7,10255995,-10506670,11294,2026-06-30,650.0,1941715,650.0,556905,0.5007,0.2146
2026-06-29,568.4,572.9,4550090,-5705905,7897,2026-06-30,650.0,1841445,650.0,495930,0.4992,0.0
2026-07-01,565.05,562.35,29705665,220865,1399,2026-07-28,600.0,1420040,600.0,875330,0.6407,0.2915
2026-07-02,588.75,585.4,29445505,-260160,3489,2026-07-28,600.0,1349580,600.0,890235,0.6764,0.2829
2026-07-03,607.4,602.8,28448225,-997280,3740,2026-07-28,600.0,1399715,600.0,1058255,0.7298,0.2143
2026-07-06,608.65,604.15,28471260,23035,1572,2026-07-28,600.0,1399715,600.0,1010830,0.7044,0.2861
2026-07-07,600.85,596.45,28437385,-33875,2103,2026-07-28,600.0,1609740,600.0,1079935,0.7135,0.2721
2026-07-13,591.75,586.8,28948220,98915,817,2026-07-28,600.0,1985075,600.0,1135490,0.6618,0.2919
2026-07-15,597.3,592.7,28847950,-254740,3875,2026-07-28,600.0,1830605,600.0,1184270,0.7275,0.2982
2026-07-16,625.85,621.35,28235490,-612460,5107,2026-07-28,600.0,1459335,600.0,1231695,0.7556,0.3074
2026-07-21,618.15,618.05,26908945,-1432235,3117,2026-07-28,620.0,1350935,600.0,1002700,0.6172,0.2951
2026-07-23,607.0,606.25,20016060,-4234375,4103,2026-07-28,630.0,1188335,600.0,895655,0.6463,0.2174
2026-07-27,608.5,609.85,6869850,-5639510,5252,2026-07-28,630.0,754735,600.0,476960,0.6209,0.0
2026-07-29,609.15,612.75,30277475,-163955,1910,2026-08-25,600.0,670725,600.0,821130,0.8543,0.3254
2026-07-31,604.3,607.55,30651455,222220,1297,2026-08-25,600.0,716795,600.0,836035,0.8419,0.3298
2026-08-03,620.15,619.45,30991560,340105,6162,2026-08-25,620.0,1642260,620.0,1058255,0.6293,0.375
2026-08-04,581.9,585.05,33452240,2460680,9225,2026-08-25,600.0,3060945,600.0,1502695,0.5036,0.2973
2026-08-06,572.76,577.45,34736780,769640,1878,2026-08-25,600.0,3548745,580.0,1581285,0.4789,0.2981
2026-08-07,573.0,573.8,35187995,451215,1234,2026-08-25,600.0,3589395,580.0,1544700,0.486,0.2742
2026-08-11,568.01,569.95,35956280,547420,1289,2026-08-25,600.0,3990475,580.0,1493210,0.482,0.2833
2026-08-12,570.5,568.3,35990155,33875,1694,2026-08-25,600.0,4048740,580.0,1451205,0.4735,0.2811
2026-08-13,568.15,566.6,35926470,-63685,931,2026-08-25,600.0,4120555,580.0,1443075,0.4703,0.266
