Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1276.2,1274.7,9012375,-445500,5419,2026-06-30,1300.0,627375,1300.0,297000,0.6698,0.3647
2026-06-09,1304.4,1307.1,8607000,-405375,3554,2026-06-30,1300.0,581625,1300.0,332625,0.6946,0.3453
2026-06-10,1289.9,1290.8,8327625,-279375,3053,2026-06-30,1300.0,566250,1300.0,331125,0.6886,0.3425
2026-06-11,1277.3,1279.1,8230500,-97125,2227,2026-06-30,1300.0,546000,1240.0,319125,0.6708,0.3369
2026-06-12,1285.4,1292.1,8140125,-90375,2848,2026-06-30,1300.0,542250,1240.0,341625,0.669,0.3226
2026-06-15,1326.4,1332.7,7793625,-346500,6006,2026-06-30,1400.0,452250,1240.0,327375,0.7289,0.3389
2026-06-16,1327.6,1333.3,7516500,-277125,3293,2026-06-30,1400.0,454875,1240.0,330750,0.7177,0.3267
2026-06-17,1352.9,1358.5,7370625,-145875,5794,2026-06-30,1400.0,510375,1300.0,388875,0.7233,0.3301
2026-06-18,1357.6,1364.0,7397250,26625,3143,2026-06-30,1400.0,523125,1300.0,375375,0.7291,0.32
2026-06-19,1343.3,1348.8,7218375,-178875,2533,2026-06-30,1400.0,534000,1300.0,373500,0.7093,0.319
2026-06-22,1354.0,1355.0,7510875,292500,8018,2026-06-30,1400.0,1315875,1300.0,526500,0.5227,0.3614
2026-06-23,1327.4,1327.0,7348500,-162375,3837,2026-06-30,1400.0,1253625,1280.0,491250,0.5012,0.3359
2026-06-24,1310.1,1312.6,5848500,-1500000,6916,2026-06-30,1400.0,1212375,1280.0,486375,0.4981,0.3213
2026-06-25,1302.4,1306.8,3455250,-2393250,9451,2026-06-30,1400.0,973500,1280.0,377250,0.5382,0.2686
2026-06-29,1295.8,1297.7,1615125,-1840125,7852,2026-06-30,1400.0,687000,1260.0,447375,0.5984,0.0
2026-07-01,1281.1,1286.8,8383500,135375,2328,2026-07-28,1400.0,604875,1200.0,319500,0.7383,0.3247
2026-07-02,1290.6,1298.6,8325750,-57750,2551,2026-07-28,1400.0,650250,1200.0,321375,0.7121,0.324
2026-07-03,1280.2,1287.1,8495250,169500,2997,2026-07-28,1400.0,709125,1200.0,338625,0.6922,0.3182
2026-07-06,1284.5,1291.6,8644500,149250,3622,2026-07-28,1400.0,813000,1200.0,376125,0.6828,0.3279
2026-07-07,1288.0,1293.7,8694375,49875,4043,2026-07-28,1400.0,770625,1300.0,379875,0.6554,0.3217
2026-07-13,1349.5,1355.8,8308875,-162750,7820,2026-07-28,1400.0,642000,1300.0,503625,0.8529,0.336
2026-07-15,1377.4,1380.2,8139000,-115125,2355,2026-07-28,1400.0,525000,1300.0,563625,0.9152,0.3217
2026-07-16,1373.9,1379.0,7906875,-232125,3038,2026-07-28,1400.0,559500,1300.0,571875,0.8957,0.3188
2026-07-21,1359.2,1360.9,7901625,-31125,960,2026-07-28,1400.0,640500,1300.0,505125,0.8123,0.2993
2026-07-23,1310.2,1312.3,6233625,-1594875,6644,2026-07-28,1400.0,670500,1260.0,367500,0.6957,0.2865
2026-07-27,1319.3,1321.2,1732875,-1749375,5534,2026-07-28,1400.0,553875,1260.0,321375,0.7601,0.0
