Date,Spot_Price,Fut_Close,Fut_OI,Fut_OI_Chg,Fut_Volume,Near_Expiry,Max_Call_OI_Strike,Max_Call_OI,Max_Put_OI_Strike,Max_Put_OI,PCR_OI,ATM_IV
2026-06-08,1087.6,1093.2,10584000,-9000,1374,2026-06-30,1100.0,738900,1050.0,291600,0.6437,0.2574
2026-06-09,1105.6,1112.7,10728900,144900,2021,2026-06-30,1100.0,675900,1100.0,337500,0.6648,0.2443
2026-06-10,1098.3,1101.3,10614600,-114300,1694,2026-06-30,1100.0,558000,1040.0,286200,0.6436,0.2419
2026-06-11,1105.9,1110.2,10700100,85500,809,2026-06-30,1100.0,590400,1040.0,288000,0.6733,0.2352
2026-06-12,1104.7,1110.8,10791900,91800,928,2026-06-30,1100.0,560700,1060.0,277200,0.6658,0.2241
2026-06-15,1088.1,1092.5,10734300,-57600,1215,2026-06-30,1100.0,663300,1080.0,336600,0.6358,0.2439
2026-06-16,1078.7,1084.1,10778400,44100,890,2026-06-30,1100.0,729000,1080.0,300600,0.6074,0.2402
2026-06-17,1061.4,1066.2,10729800,-48600,2251,2026-06-30,1100.0,1050300,1050.0,258300,0.5207,0.2524
2026-06-18,1074.4,1078.8,10660500,-69300,1322,2026-06-30,1100.0,738900,1050.0,299700,0.59,0.2466
2026-06-19,1070.8,1074.7,10311300,-349200,1609,2026-06-30,1100.0,726300,1050.0,338400,0.5841,0.2324
2026-06-22,1085.5,1085.8,9751500,-559800,1570,2026-06-30,1100.0,727200,1050.0,344700,0.5972,0.2468
2026-06-23,1112.2,1114.3,9068400,-683100,2701,2026-06-30,1120.0,639000,1050.0,278100,0.5941,0.2719
2026-06-24,1099.3,1101.2,6724800,-2343600,3513,2026-06-30,1120.0,540900,1050.0,268200,0.6514,0.2533
2026-06-25,1101.4,1100.7,3573900,-3150900,4244,2026-06-30,1150.0,434700,1050.0,254700,0.6714,0.2108
2026-06-29,1121.3,1120.2,1665900,-1908000,3235,2026-06-30,1150.0,394200,1050.0,238500,0.7205,0.0
