Timestamp,Nifty_Spot,BankNifty_Spot,India_VIX,Nifty_PCR,BankNifty_PCR
2026-09-03 09:15:12,23994.85,57532.35,10.92,0.7418,1.0129
2026-09-03 09:16:31,24003.00,57633.75,10.87,0.7418,0.9488
2026-09-03 09:17:35,23983.65,57647.15,10.97,0.7418,0.9488
2026-09-03 09:18:40,23974.85,57601.25,10.95,0.8094,0.9488
2026-09-03 09:19:45,23966.30,57562.95,11.01,0.8094,0.9488
2026-09-03 09:20:49,23976.70,57557.90,10.99,0.7418,0.9488
2026-09-03 09:21:54,23982.55,57578.45,10.97,0.7418,0.9488
2026-09-03 09:22:58,23977.35,57618.05,10.99,0.7418,0.9488
2026-09-03 09:24:04,23963.10,57604.45,10.99,0.8094,0.9488
2026-09-03 09:25:13,23963.75,57618.20,11.03,0.8094,0.9488
2026-09-03 09:26:18,23966.75,57617.35,11.01,0.8678,0.9785
2026-09-03 09:27:25,23959.55,57555.00,11.08,0.8651,0.9809
2026-09-03 09:28:31,23972.50,57587.60,11.07,0.8758,0.9890
2026-09-03 09:29:38,23976.80,57576.50,11.08,0.8157,0.9946
2026-09-03 09:30:42,23985.40,57590.10,11.03,0.8337,0.9996
2026-09-03 09:31:46,23986.60,57586.20,11.02,0.8466,1.0006
2026-09-03 09:32:51,23986.20,57602.05,11.02,0.8595,1.0000
2026-09-03 09:33:56,23991.30,57637.45,11.00,0.8697,1.0023
2026-09-03 09:35:01,23994.60,57655.25,11.00,0.8757,0.9999
2026-09-03 09:36:05,23996.60,57629.60,11.04,0.8857,1.0061
2026-09-03 09:37:15,23993.50,57641.90,11.07,0.8992,1.0086
2026-09-03 09:38:19,23995.25,57672.25,11.06,0.9062,1.0023
2026-09-03 09:39:23,23999.60,57678.60,11.04,0.9166,1.0056
2026-09-03 09:40:26,24011.55,57697.65,11.00,0.9223,1.0079
2026-09-03 09:41:31,24014.70,57711.30,11.01,0.9347,1.0119
2026-09-03 09:42:39,24016.15,57709.90,11.06,0.9481,1.0147
2026-09-03 09:43:44,24013.85,57715.10,11.05,0.9857,1.0207
2026-09-03 09:44:49,24017.00,57718.10,10.98,0.9942,1.0267
2026-09-03 09:45:53,24021.05,57749.20,10.96,1.0044,1.0287
2026-09-03 09:46:59,24017.15,57716.45,11.06,1.0116,1.0327
2026-09-03 09:48:04,24020.40,57746.95,11.12,1.0188,1.0340
2026-09-03 09:49:09,24011.45,57718.05,11.00,1.0270,1.0363
2026-09-03 09:50:15,24013.70,57695.60,11.05,1.0357,1.0394
2026-09-03 09:51:20,24014.75,57702.45,11.05,1.0402,1.0416
2026-09-03 09:52:25,24013.65,57719.95,11.14,1.0457,1.0430
2026-09-03 09:53:31,24009.70,57701.10,11.11,1.0496,1.0450
2026-09-03 09:54:35,24006.40,57683.65,11.11,1.0480,1.0461
2026-09-03 09:55:39,24008.00,57679.15,11.14,1.0503,1.0461
2026-09-03 09:56:43,24001.40,57651.90,11.12,1.0502,1.0473
2026-09-03 09:57:48,24008.15,57671.90,11.12,1.0477,1.0451
2026-09-03 09:58:51,24005.35,57677.60,11.11,1.0450,1.0453
2026-09-03 09:59:56,24006.25,57686.90,11.08,1.0425,1.0440
2026-09-03 10:01:01,23999.40,57698.95,11.08,1.0418,1.0447
2026-09-03 10:02:07,24000.20,57700.35,11.07,1.0410,1.0448
2026-09-03 10:03:13,23999.80,57701.90,11.06,1.0413,1.0448
2026-09-03 10:04:18,24005.65,57714.30,11.07,1.0385,1.0436
2026-09-03 10:05:23,24002.65,57710.05,11.07,1.0366,1.0427
2026-09-03 10:06:26,24002.90,57688.75,11.07,1.0363,1.0428
2026-09-03 10:07:32,23996.90,57669.10,11.10,1.0325,1.0429
2026-09-03 10:08:36,24003.20,57688.35,11.07,1.0334,1.0430
2026-09-03 10:09:42,24002.35,57675.50,11.07,1.0318,1.0434
2026-09-03 10:10:46,24004.05,57686.15,11.06,1.0306,1.0429
2026-09-03 10:11:51,24003.60,57679.90,11.04,1.0270,1.0422
2026-09-03 10:13:06,24001.00,57657.70,11.06,1.0259,1.0409
2026-09-03 10:14:14,23995.60,57664.50,11.06,1.0264,1.0407
2026-09-03 10:15:18,23990.70,57652.80,11.07,1.0275,1.0402
2026-09-03 10:16:21,23991.95,57670.60,11.03,1.0277,1.0409
2026-09-03 10:17:25,23991.20,57660.40,11.06,1.0287,1.0411
2026-09-03 10:18:29,23994.45,57673.50,11.03,1.0268,1.0409
2026-09-03 10:19:33,23999.30,57695.15,11.05,1.0244,1.0407
2026-09-03 10:20:37,23999.55,57691.95,11.05,1.0182,1.0409
2026-09-03 10:21:42,24003.95,57700.15,11.06,1.0167,1.0417
2026-09-03 10:22:47,24000.70,57710.45,11.07,1.0131,1.0416
2026-09-03 10:23:51,23998.15,57722.80,11.07,1.0082,1.0417
2026-09-03 10:24:55,24000.25,57732.35,11.10,1.0076,1.0431
2026-09-03 10:25:59,23995.70,57709.85,11.12,1.0036,1.0447
2026-09-03 10:27:04,23987.10,57677.80,11.09,1.0073,1.0447
2026-09-03 10:28:09,23991.50,57675.15,11.10,1.0091,1.0447
2026-09-03 10:29:13,23986.15,57659.50,11.11,1.0027,1.0441
2026-09-03 10:30:18,23984.15,57660.05,11.12,0.9992,1.0428
2026-09-03 10:31:23,23984.65,57652.15,11.14,0.9995,1.0424
2026-09-03 10:32:29,23977.85,57631.05,11.12,0.9922,1.0481
2026-09-03 10:33:34,23984.45,57632.65,11.13,0.9898,1.0478
2026-09-03 10:34:40,23982.05,57610.20,11.08,0.9869,1.0459
2026-09-03 10:35:45,23976.20,57607.65,11.10,0.9773,1.0418
2026-09-03 10:36:53,23969.30,57576.25,11.15,1.0529,1.0416
2026-09-03 10:38:02,23968.45,57575.65,11.15,1.0151,1.0348
2026-09-03 10:39:06,23972.15,57587.85,11.10,0.9976,1.0327
2026-09-03 10:40:11,23971.60,57586.25,11.17,0.9839,1.0323
2026-09-03 10:41:17,23971.50,57593.80,11.18,0.9737,1.0322
2026-09-03 10:42:25,23959.20,57572.25,11.20,0.9636,1.0313
2026-09-03 10:43:31,23964.30,57568.80,11.21,0.9444,1.0305
2026-09-03 10:44:36,23960.50,57572.05,11.23,0.9351,1.0286
2026-09-03 10:45:41,23965.85,57587.55,11.20,0.9278,1.0283
2026-09-03 10:46:46,23967.00,57581.50,11.20,0.9195,1.0282
2026-09-03 10:47:52,23969.15,57575.85,11.18,0.9176,1.0278
2026-09-03 10:48:57,23974.30,57585.90,11.08,0.9131,1.0271
2026-09-03 10:50:02,23971.80,57569.20,11.09,0.9027,1.0256
2026-09-03 10:51:07,23970.40,57566.80,11.11,0.8997,1.0245
2026-09-03 10:52:11,23968.70,57577.95,11.14,0.8987,1.0242
2026-09-03 10:53:14,23965.90,57577.65,11.26,0.8960,1.0227
2026-09-03 10:54:20,23963.55,57572.65,11.24,0.8899,1.0221
2026-09-03 10:55:25,23956.75,57574.90,11.24,0.8842,1.0248
2026-09-03 10:56:28,23958.20,57587.25,11.24,0.8761,1.0251
2026-09-03 10:57:33,23963.55,57593.90,11.26,0.8688,1.0244
2026-09-03 10:58:40,23963.60,57598.75,11.25,0.8643,1.0241
2026-09-03 10:59:45,23965.75,57605.00,11.25,0.8616,1.0234
2026-09-03 11:00:51,23964.20,57610.45,11.22,0.8616,1.0225
2026-09-03 11:01:55,23961.65,57605.05,11.22,0.8607,1.0222
2026-09-03 11:03:00,23960.40,57596.40,11.14,0.8580,1.0216
2026-09-03 11:04:04,23956.65,57584.85,11.13,0.8560,1.0211
2026-09-03 11:05:09,23950.55,57576.45,11.15,0.8522,1.0208
2026-09-03 11:06:15,23947.55,57565.85,11.15,0.8525,1.0205
2026-09-03 11:07:20,23947.85,57561.65,11.18,0.8499,1.0195
2026-09-03 11:08:24,23946.00,57561.35,11.14,0.8428,1.0169
2026-09-03 11:09:30,23941.15,57534.95,11.18,0.8393,1.0686
2026-09-03 11:10:37,23936.15,57516.90,11.22,0.8268,1.0641
2026-09-03 11:11:42,23934.95,57499.20,11.27,0.8188,1.0611
2026-09-03 11:12:47,23938.25,57539.75,11.26,0.8129,1.0596
2026-09-03 11:13:51,23934.15,57531.60,11.23,0.8111,1.0579
2026-09-03 11:14:55,23926.05,57527.05,11.26,0.8042,1.0575
2026-09-03 11:16:00,23926.15,57507.20,11.27,0.7994,1.0561
2026-09-03 11:17:04,23935.80,57525.90,11.27,0.7897,1.0562
2026-09-03 11:18:09,23939.10,57534.30,11.30,0.7853,1.0563
2026-09-03 11:19:13,23944.35,57546.80,11.21,0.7808,1.0547
2026-09-03 11:20:18,23951.80,57567.75,11.17,0.7814,1.0002
2026-09-03 11:21:22,23948.70,57565.40,11.17,0.7814,0.9996
2026-09-03 11:22:31,23951.85,57583.15,11.13,0.7836,0.9997
2026-09-03 11:23:38,23956.70,57590.90,11.13,0.7951,0.9996
2026-09-03 11:24:42,23951.00,57572.15,11.20,0.7974,0.9988
2026-09-03 11:25:47,23952.50,57566.15,11.20,0.8044,0.9990
2026-09-03 11:26:53,23956.70,57569.75,11.18,0.8133,0.9997
2026-09-03 11:27:58,23961.45,57593.85,11.17,0.8145,1.0002
2026-09-03 11:29:03,23961.45,57588.05,11.15,0.8114,0.9998
2026-09-03 11:30:09,23964.70,57599.40,11.11,0.8149,0.9998
2026-09-03 11:31:13,23969.40,57619.70,11.12,0.8202,1.0001
2026-09-03 11:32:19,23966.70,57602.20,11.12,0.8209,0.9983
2026-09-03 11:33:24,23966.45,57601.00,11.13,0.8236,0.9982
2026-09-03 11:34:29,23968.95,57612.10,11.12,0.8275,0.9986
2026-09-03 11:35:34,23972.20,57625.60,11.10,0.8292,1.0002
2026-09-03 11:36:50,23975.85,57632.95,11.05,0.7617,1.0004
2026-09-03 11:37:54,23972.10,57622.10,11.09,0.8333,0.9996
2026-09-03 11:39:10,23970.20,57606.95,11.22,0.8346,1.0002
2026-09-03 11:40:14,23970.75,57612.60,11.22,0.8368,1.0004
2026-09-03 11:41:20,23965.35,57608.00,11.23,0.8368,1.0008
2026-09-03 11:42:25,23962.55,57598.50,11.28,0.8460,1.0006
2026-09-03 11:43:31,23964.45,57606.55,11.27,0.8471,1.0013
2026-09-03 11:44:35,23965.15,57600.00,11.23,0.8488,1.0017
2026-09-03 11:45:39,23970.65,57611.75,11.19,0.8488,1.0021
2026-09-03 11:46:43,23966.30,57607.30,11.26,0.8443,1.0019
2026-09-03 11:47:46,23958.50,57582.95,11.24,0.8452,1.0014
2026-09-03 11:48:52,23967.50,57615.55,11.23,0.8536,1.0019
2026-09-03 11:49:56,23964.10,57610.95,11.18,0.8532,1.0026
2026-09-03 11:51:01,23964.20,57612.20,11.21,0.8526,1.0023
2026-09-03 11:52:05,23960.40,57599.50,11.22,0.8523,1.0018
2026-09-03 11:53:08,23966.65,57637.85,11.21,0.8538,1.0019
2026-09-03 11:54:12,23959.00,57605.85,11.21,0.8522,1.0019
2026-09-03 11:55:15,23958.80,57620.60,11.21,0.8518,1.0020
2026-09-03 11:56:19,23954.45,57601.90,11.21,0.8511,1.0022
2026-09-03 11:57:23,23955.25,57608.40,11.20,0.8527,1.0017
2026-09-03 11:58:27,23958.10,57622.10,11.21,0.8561,1.0023
2026-09-03 11:59:31,23958.80,57614.35,11.21,0.8560,1.0028
2026-09-03 12:00:35,23957.60,57607.75,11.23,0.8544,1.0030
2026-09-03 12:01:39,23941.10,57572.95,11.24,0.8510,1.0020
2026-09-03 12:02:43,23947.25,57588.10,11.25,0.8547,1.0022
2026-09-03 12:03:48,23939.60,57572.60,11.28,0.8470,1.0019
2026-09-03 12:04:53,23934.70,57565.10,11.27,1.8375,1.0017
2026-09-03 12:06:22,23936.10,57579.90,11.33,0.8331,1.0027
2026-09-03 12:07:32,23934.70,57573.30,11.30,0.8320,1.0020
2026-09-03 12:08:38,23931.55,57575.25,11.33,0.8275,1.0020
2026-09-03 12:44:09,23908.85,57527.95,11.44,0.7573,1.0480
2026-09-03 12:45:16,23909.80,57535.20,11.44,0.7552,1.0484
2026-09-03 12:46:20,23912.35,57547.85,11.41,0.7552,1.0482
2026-09-03 12:47:25,23912.15,57540.35,11.42,0.7524,1.0483
2026-09-03 12:48:32,23911.40,57540.95,11.42,0.7516,1.0475
2026-09-03 12:49:38,23912.65,57539.95,11.42,0.7484,1.0472
2026-09-03 12:50:45,23914.65,57548.15,11.45,0.7446,1.0469
2026-09-03 12:51:50,23915.50,57552.60,11.46,0.7429,0.9925
2026-09-03 12:53:02,23923.00,57561.15,11.44,0.7403,0.9921
2026-09-03 12:54:08,23925.70,57569.10,11.40,0.7209,0.9916
2026-09-03 12:55:15,23923.70,57554.35,11.40,0.7335,0.9905
2026-09-03 12:56:22,23916.70,57535.80,11.39,0.7325,1.0429
2026-09-03 12:57:26,23921.80,57523.70,11.39,0.7341,1.0384
2026-09-03 12:58:31,23920.60,57527.85,11.21,0.7319,1.0384
2026-09-03 12:59:37,23922.65,57522.00,11.21,0.7289,1.0376
2026-09-03 13:00:52,23915.75,57511.70,11.20,0.7294,1.0396
2026-09-03 13:01:57,23914.10,57513.25,11.22,0.7285,1.0379
2026-09-03 13:03:05,23916.95,57514.70,11.22,0.7290,1.0360
2026-09-03 13:04:15,23918.15,57513.45,11.41,0.7292,1.0361
2026-09-03 13:05:22,23923.00,57521.90,11.21,0.7305,1.0369
2026-09-03 13:06:27,23926.65,57526.35,11.37,0.7142,1.0371
2026-09-03 13:07:33,23924.65,57519.10,11.41,0.7284,1.0363
2026-09-03 13:08:38,23923.75,57515.10,11.41,0.7276,1.0356
2026-09-03 13:09:44,23920.90,57519.10,11.40,0.7275,1.0351
2026-09-03 13:10:50,23922.15,57524.75,11.38,0.7282,1.0355
2026-09-03 13:11:56,23930.35,57541.05,11.35,0.7119,1.0358
