date,open,high,low,close,volume,delivery_qty,delivery_pct
2022-01-03,23303.759356143768,23708.7920097623,23221.84710102175,23623.53515625,4475,,
2022-01-04,23535.441080212,23781.775217038467,23358.565486337262,23454.3515625,5996,,
2022-01-05,23479.580223704503,23479.580223704503,23296.43217203754,23402.337890625,1128,,
2022-01-06,23387.089911491214,23471.291510856798,23255.543468742173,23434.6171875,4247,,
2022-01-07,23219.51254703202,23479.582809035375,23219.51254703202,23397.486328125,3393,,
2022-01-10,23172.809115634824,23651.65009324573,23172.809115634824,23410.490234375,1480,,
2022-01-11,23370.607763059004,23572.895149290085,22742.089777516434,23152.294921875,1787,,
2022-01-12,23273.081418147678,23280.040686586188,22873.589719760264,23066.857421875,2633,,
2022-01-13,23185.628001553065,23185.628001553065,22665.5787421444,23138.55859375,3078,,
2022-01-14,22893.506400308717,23049.54889764426,22785.677985163264,22979.310546875,2642,,
2022-01-17,23007.88348292803,23021.710803543694,22801.93313477478,22904.771484375,1740,,
2022-01-18,22919.28675746302,23259.804442345903,22806.51297781987,23091.26171875,3365,,
2022-01-19,23166.39736371679,23166.4885800328,22756.099220086417,22970.017578125,1806,,
2022-01-20,22970.018920305116,22985.08213321332,22805.6435321413,22891.21875,1665,,
2022-01-21,22934.487033311976,22934.487033311976,22391.04166402895,22621.76171875,1778,,
2022-01-24,22536.368539734023,22893.507252878935,21794.618904740746,22292.828125,3270,,
2022-01-25,22253.406051235,22902.66595372155,21905.24228862416,22889.25,3356,,
2022-01-27,22864.203222763957,22864.203222763957,21886.192607499943,22033.306640625,3198,,
2022-01-28,22163.664108101817,22787.236795745885,21915.498468582107,22350.841796875,2971,,
2022-01-31,22527.21225113677,22893.508385301593,22118.24297505281,22884.259765625,5778,,
2022-02-01,22884.260211277637,22989.661568225103,22630.004544487983,22911.732421875,3379,,
2022-02-02,23053.622322950352,23065.024361824002,22802.938437690616,22877.708984375,2637,,
2022-02-03,23096.34320573664,23096.34320573664,22454.68471436057,22773.224609375,3570,,
2022-02-04,22545.528223749756,22715.947151271805,22482.433353665947,22659.35546875,1695,,
2022-02-07,22864.206015064126,22864.206015064126,22520.025347832816,22704.8671875,1664,,
2022-02-08,22820.248954377206,24672.791636347716,20262.266069042143,22591.22265625,3503,,
2022-02-09,22845.887753634808,22845.887753634808,21968.60859426403,22053.91015625,3089,,
2022-02-10,21978.68352930639,22295.52968159754,21663.302203823434,21765.26953125,2447,,
2022-02-11,21673.695664879706,21826.624300249918,20696.647233545867,21118.62109375,4972,,
2022-02-14,21112.39316002432,21112.39316002432,20564.780446526398,20682.728515625,1830,,
2022-02-15,20656.353273754165,20918.759363587487,20489.642042151427,20548.158203125,2142,,
2022-02-16,20585.84347347026,20694.67885850037,20055.62980037688,20115.244140625,4627,,
2022-02-17,20115.24341654711,20320.278035281135,19880.769176884744,20150.408203125,3378,,
2022-02-18,20182.91599841515,20182.91599841515,19715.888450357448,19817.03125,1548,,
2022-02-21,19871.56494528486,20366.842739677817,19688.463383711143,20289.41796875,3559,,
2022-02-22,19689.33176362922,19980.537172718752,19416.80781396591,19523.994140625,3253,,
2022-02-23,19679.2582426663,19688.36914285681,19258.200154513743,19425.96484375,2423,,
2022-02-24,19230.546282859672,19332.69782865573,18589.528073431014,18835.12890625,4518,,
2022-02-25,19221.344486374404,19688.41859264204,19044.377654140542,19610.671875,2490,,
2022-02-28,19688.41424954974,19916.800212555532,19206.963840633423,19421.384765625,2052,,
2022-03-02,19670.101117120947,19670.101117120947,18983.29591051756,19160.125,1823,,
2022-03-03,19143.55036852305,19445.698155568996,18984.898366545218,19304.99609375,1066,,
2022-03-04,19084.027525948975,19272.074435630137,18511.781064544764,18662.19140625,5957,,
2022-03-07,18497.35788847018,18497.35788847018,17948.50931466369,18246.994140625,15772,,
2022-03-08,18406.197013581528,18406.197013581528,17996.127804825388,18225.109375,8537,,
2022-03-09,18479.639630450743,18479.639630450743,18155.971930244385,18271.904296875,19116,,
2022-03-10,18837.41832642651,19047.35179078814,18287.33384210148,18322.58984375,6149,,
2022-03-11,18322.58995300992,18404.68642933493,18204.96382586692,18220.8515625,5390,,
2022-03-14,18314.758609780172,18314.758609780172,17796.26719247544,18044.615234375,4640,,
2022-03-15,18140.815649960063,18477.579150983427,17812.064876697284,17914.169921875,6314,,
2022-03-16,17994.297998407063,18140.76995295159,17838.622137861046,18020.9921875,20653,,
2022-03-17,18223.230706274106,18543.557356422534,18075.567593139098,18339.30078125,12906,,
2022-03-21,18507.109988721862,18534.535693100017,18090.494687846585,18134.3125,4324,,
2022-03-22,18268.104820210934,18497.77322268052,17948.511427947982,18352.26171875,6677,,
2022-03-23,18496.12384971363,19046.483807812347,18433.8535050369,18544.0625,5094,,
2022-03-24,18507.112433739057,18612.10242235207,18223.09520708567,18293.5625,2642,,
2022-03-25,18313.88918543177,18543.693484814645,18104.184669032755,18173.140625,3398,,
2022-03-28,18469.56626876934,18469.56626876934,17856.936002826227,17876.533203125,4060,,
2022-03-29,17948.96639091837,18864.24875145626,17741.642444987454,18022.087890625,7450,,
2022-03-30,18233.306806635963,18313.891960519944,17767.194950647932,17883.173828125,3066,,
2022-03-31,18019.02108543584,18313.79823266773,17866.09246210567,18037.611328125,5993,,
2022-04-01,18049.24137835943,18704.682500457897,18021.76916925995,18289.943359375,4284,,
2022-04-04,18313.888417836984,18823.03997343063,18313.84191540455,18697.8125,4761,,
2022-04-05,18697.813789504333,19814.787985125793,18697.813789504333,19491.302734375,6074,,
2022-04-06,19505.268155840535,19871.564271443174,19322.211314357064,19708.5625,3534,,
2022-04-07,19738.782621607814,19738.782621607814,19157.287517700555,19326.150390625,2781,,
2022-04-08,19433.841583408015,19679.259995638407,19285.49164765681,19634.11328125,1338,,
2022-04-11,19508.017045403947,19734.204916136463,19504.674235352082,19682.876953125,2125,,
2022-04-12,19596.84213247874,19636.218964801013,19276.33303218119,19577.0625,1948,,
2022-04-13,19442.99811221874,19596.842483114215,19413.69442252436,19541.8515625,1099,,
2022-04-18,19505.2663637942,19963.136466230684,18983.156728274862,19778.84375,3299,,
2022-04-19,19871.47402435798,19963.13927404747,19239.70441044667,19466.716796875,4248,,
2022-04-20,19578.527215575978,19595.650843415402,18956.006256882203,19059.8515625,1922,,
2022-04-21,19017.180003619014,19595.012169183785,19017.180003619014,19422.486328125,1384,,
2022-04-22,19231.46447420581,19527.386347313302,18508.533918299894,18755.599609375,4562,,
2022-04-25,18992.452993274237,18992.452993274237,18314.805200843046,18465.90234375,2509,,
2022-04-26,18670.113880135326,18726.84327825422,18269.019614905817,18322.681640625,1700,,
2022-04-27,18406.379410330068,18406.379410330068,18259.49431344405,18286.05078125,1072,,
2022-04-28,18397.225633393886,18629.823707604046,18223.234947961093,18330.330078125,1111,,
2022-04-29,18488.796685531484,18543.741103616274,18160.045917324165,18282.34375,1191,,
2022-05-02,18137.703032589994,18407.29735787273,17948.511428003854,18160.138671875,5191,,
2022-05-04,18269.01589747387,18269.01589747387,17225.301066940243,17536.69921875,4062,,
2022-05-05,17737.889744838107,17805.608025111957,16945.77437936134,16983.228515625,3516,,
2022-05-06,16986.981856742066,17032.722367397848,16574.898738923526,16895.361328125,5955,,
2022-05-09,16977.823927434853,17379.83388990216,16442.06938845585,17157.080078125,4659,,
2022-05-10,17348.700842062593,17348.700842062593,16574.85374782889,16580.71484375,5618,,
2022-05-11,16584.973505222602,16792.846565003154,16162.817203201312,16280.5810546875,5971,,
2022-05-12,16263.548424660392,16803.606289719144,16190.289197522283,16465.240234375,5251,,
2022-05-13,16587.443091272,16941.19425759729,16357.592293506763,16473.11328125,2254,,
2022-05-16,16619.771036560884,16619.771036560884,16391.934129949364,16460.5234375,845,,
2022-05-17,16620.686700567094,17673.788061760053,16289.92201454322,17070.7265625,3629,,
2022-05-18,17289.17616305691,17289.17616305691,16794.858853735564,16960.37890625,4142,,
2022-05-19,16712.26398972248,16712.26398972248,16428.384437020344,16483.740234375,1974,,
2022-05-20,16831.307991837573,16831.307991837573,16437.53963294257,16479.6171875,1854,,
2022-05-23,16698.524324648883,16698.524324648883,16437.538339865503,16472.703125,1332,,
2022-05-24,16472.701956033965,16581.261887463887,16437.537173394896,16468.16796875,1615,,
2022-05-25,16592.300136984377,16592.300136984377,16373.438183634893,16416.111328125,1844,,
2022-05-26,16478.746729538878,16486.163868271797,15943.038653029835,15986.71875,11420,,
2022-05-27,16199.448213764246,16299.263920677775,15817.584454287724,16083.560546875,5984,,
2022-05-30,18131.658955478495,19138.05760154268,17446.685172715974,17834.08984375,59624,,
2022-05-31,17582.212053397423,18767.957908047945,17481.985002712983,18492.275390625,15248,,
2022-06-01,18497.951952342344,19642.627196917983,18497.951952342344,19426.330078125,12117,,
2022-06-02,19551.054564724967,19788.231292231467,19153.669794041078,19558.333984375,5538,,
2022-06-03,19779.991367514976,19950.319070957466,19021.162776160792,19496.478515625,6906,,
2022-06-06,19230.547486335505,19404.538154069018,18882.566150868483,19058.341796875,3660,,
2022-06-07,19019.01170288543,19528.163347490576,18774.64674339708,19402.111328125,4068,,
2022-06-08,19361.495985810954,19558.746792150076,18979.127931370047,19048.953125,2208,,
2022-06-09,19146.84654381877,19193.915951142822,18874.322598712057,18930.640625,1177,,
2022-06-10,18874.323149309243,18954.908294966375,18641.31374754432,18758.7109375,1037,,
2022-06-13,18703.079139725134,18703.079139725134,18131.657215362204,18623.638671875,5259,,
2022-06-14,18371.580483090725,18623.591478811457,18125.063928746655,18222.361328125,1136,,
2022-06-15,18314.806535307376,18722.173261957883,18106.979983570105,18569.88671875,2216,,
2022-06-16,18612.42317474958,18760.773115921016,17861.791502651835,18200.66015625,1454,,
2022-06-17,18200.659224365485,18460.08917547918,17775.435559509035,17989.443359375,8318,,
2022-06-20,18012.611093445823,18314.805382253,17787.018835860967,17943.197265625,5330,,
2022-06-21,18286.417599309876,18352.35089928235,18108.488547989848,18303.267578125,33745,,
2022-06-22,18223.229438941427,18223.229438941427,17980.420574409553,18099.466796875,54194,,
2022-06-23,18222.17964799235,18662.788478542017,17971.40450890025,18589.8046875,3103,,
2022-06-24,18635.317025441433,18888.70167714159,18386.555789599573,18732.796875,22800,,
2022-06-27,18955.823848299442,19207.65242599424,18406.379678783516,19082.8828125,20933,,
2022-06-28,18801.062795223927,20895.498434806097,18801.062795223927,20158.236328125,5840,,
2022-06-29,20164.604058358953,20931.90331436701,20160.071858699917,20547.794921875,12570,,
2022-06-30,20598.662047778973,20878.8785760363,19749.45064902128,20012.634765625,5861,,
2022-07-01,20100.498861322427,20145.370134406927,19345.97538372462,20059.794921875,4159,,
2022-07-04,20060.207095239733,20558.369820511823,20060.207095239733,20349.71875,3830,,
2022-07-05,20603.241986178466,20605.07346686527,20350.54415383911,20510.203125,2123,,
