date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,426.25,428.75,412.3500061035156,417.3999938964844,1270355,651022,51.25
2026-03-30,413.5,413.5,397.0,399.04998779296875,1152413,712163,61.8
2026-04-01,406.1499938964844,416.8999938964844,405.0,411.3999938964844,447997,166913,37.26
2026-04-02,404.3999938964844,410.6000061035156,395.8999938964844,408.70001220703125,981591,555843,56.63
2026-04-06,408.70001220703125,411.25,394.6000061035156,404.20001220703125,1123512,345492,30.75
2026-04-07,405.8500061035156,409.0,401.0,402.45001220703125,403617,187856,46.54
2026-04-08,420.0,427.70001220703125,412.79998779296875,421.70001220703125,649290,311427,47.96
2026-04-09,421.6000061035156,429.70001220703125,415.04998779296875,421.54998779296875,609290,215285,35.33
2026-04-10,425.0,432.0,422.25,423.75,723908,467025,64.51
2026-04-13,418.0,432.45001220703125,410.0,424.29998779296875,2312256,1339907,57.95
2026-04-15,433.0,433.79998779296875,420.8999938964844,431.70001220703125,3859281,2462712,63.81
2026-04-16,437.0,441.1000061035156,429.04998779296875,437.8999938964844,893351,347548,38.9
2026-04-17,438.0,442.5,433.25,440.8500061035156,784672,286025,36.45
2026-04-20,442.79998779296875,448.0,436.1000061035156,445.6499938964844,1043972,448004,42.91
2026-04-21,448.70001220703125,455.6000061035156,445.04998779296875,451.20001220703125,777552,391496,50.35
2026-04-22,450.1000061035156,472.6000061035156,448.5,470.3999938964844,1546893,774090,50.04
2026-04-23,468.0,480.20001220703125,463.6000061035156,465.8999938964844,1134203,442461,39.01
2026-04-24,470.29998779296875,476.3500061035156,458.54998779296875,472.75,1186898,466600,39.31
2026-04-27,478.0,498.3500061035156,477.1000061035156,488.75,2652810,1034692,39.0
2026-04-28,492.70001220703125,506.3999938964844,488.1000061035156,501.70001220703125,2532481,903814,35.69
2026-04-29,505.0,512.4000244140625,499.54998779296875,502.3500061035156,1281597,569601,44.44
2026-04-30,500.0,510.04998779296875,495.8999938964844,507.5,1493230,640423,42.89
2026-05-01,507.5,507.5,507.5,507.5,0,0,0.0
2026-05-04,513.0,523.0999755859375,509.0,513.0999755859375,1790712,743030,41.49
2026-05-05,513.0499877929688,513.0999755859375,475.54998779296875,488.0,5630640,1834211,32.58
2026-05-06,492.20001220703125,506.20001220703125,482.0,497.8500061035156,2449234,988340,40.35
2026-05-07,496.75,498.20001220703125,484.0,488.1499938964844,1279678,519547,40.6
2026-05-08,485.0,490.54998779296875,484.1000061035156,485.45001220703125,577067,258515,44.8
2026-05-11,482.0,498.0,475.0,487.45001220703125,1328699,542285,40.81
2026-05-12,487.0,489.29998779296875,461.1499938964844,468.5,977232,396817,40.61
2026-05-13,466.0,476.0,465.6000061035156,468.54998779296875,558217,240374,43.06
2026-05-14,469.04998779296875,472.54998779296875,458.25,468.0,816432,303157,37.13
2026-05-15,468.0,470.0,463.3999938964844,466.25,313785,143902,45.86
2026-05-18,461.0,463.0,440.6000061035156,461.20001220703125,1412238,638198,45.19
2026-05-19,460.0,471.6000061035156,458.0,469.25,432987,152373,35.19
2026-05-20,465.0,469.45001220703125,460.20001220703125,463.3500061035156,327354,108627,33.18
2026-05-21,465.70001220703125,484.79998779296875,465.70001220703125,482.75,1122452,393137,35.02
2026-05-22,482.0,482.04998779296875,473.25,476.20001220703125,583874,204928,35.1
2026-05-25,479.0,487.8999938964844,477.8999938964844,482.6000061035156,418896,176283,42.08
2026-05-26,482.3500061035156,501.29998779296875,480.5,491.0,1151979,460851,40.01
2026-05-27,491.95001220703125,501.3999938964844,490.0,500.75,736246,385738,52.39
2026-05-28,500.75,500.75,500.75,500.75,0,0,0.0
2026-05-29,500.75,501.3999938964844,470.6000061035156,475.0,807914,462644,57.26
2026-06-01,474.8999938964844,478.79998779296875,465.1499938964844,470.8999938964844,549432,237909,43.3
2026-06-02,469.0,472.45001220703125,463.3500061035156,469.75,347545,143273,41.22
2026-06-03,470.0,471.45001220703125,454.45001220703125,463.79998779296875,638355,294192,46.09
2026-06-04,463.75,465.45001220703125,458.6000061035156,460.1000061035156,410526,227115,55.32
2026-06-05,461.3999938964844,462.1000061035156,454.5,458.04998779296875,639930,273128,42.68
2026-06-08,452.0,454.95001220703125,430.0,432.54998779296875,782367,351347,44.91
2026-06-09,433.0,442.95001220703125,431.3500061035156,440.3999938964844,449383,198284,44.12
2026-06-10,440.3999938964844,442.3999938964844,431.0,433.6499938964844,333323,174680,52.41
2026-06-11,433.6499938964844,433.95001220703125,424.0,427.8500061035156,387454,165175,42.63
2026-06-12,430.8999938964844,443.95001220703125,427.79998779296875,440.6000061035156,492977,228209,46.29
2026-06-15,448.0,504.8999938964844,448.0,498.1499938964844,18246113,1614199,8.85
2026-06-16,495.54998779296875,502.0,482.5,496.70001220703125,3795978,628771,16.56
2026-06-17,496.70001220703125,497.45001220703125,477.29998779296875,479.20001220703125,1674997,487344,29.1
2026-06-18,481.20001220703125,494.3999938964844,479.3500061035156,486.45001220703125,1047043,292208,27.91
2026-06-19,485.0,489.0,478.04998779296875,484.5,665082,239742,36.05
2026-06-22,485.25,494.5,485.04998779296875,486.20001220703125,741419,307495,41.47
2026-06-23,486.20001220703125,492.0,472.0,473.6000061035156,776441,352227,45.36
2026-06-24,475.0,477.0,463.70001220703125,466.54998779296875,970827,488798,50.35
2026-06-25,466.5,471.0,461.5,466.04998779296875,958912,457486,47.7
