date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,6164.786586302212,6164.786586302212,5962.613455927519,6080.1328125,425645,154312,36.25
2026-03-30,5970.580909637192,6075.153219147101,5886.923062029265,5917.298828125,342351,120782,35.28
2026-04-01,6154.827137323726,6163.29251445435,5987.51144815376,6038.3037109375,339497,155995,45.95
2026-04-02,5996.972763454049,6132.916761164167,5892.400457523188,6116.98193359375,275527,102405,37.17
2026-04-06,6124.949646365645,6222.052506612906,6063.202186516105,6168.2724609375,259645,96101,37.01
2026-04-07,6149.847728530268,6254.420038084224,6056.728576689365,6243.46484375,253657,101069,39.84
2026-04-08,6372.935432707183,6557.679849454672,6344.053556234529,6538.25927734375,626418,302859,48.35
2026-04-09,6548.218426792362,6614.945519506445,6457.091128533579,6587.0595703125,591302,288630,48.81
2026-04-10,6614.945501277881,6877.37220100488,6585.565662029508,6831.5595703125,798909,389451,48.75
2026-04-13,6697.6071322742,6850.481882430941,6660.757843962802,6800.685546875,320237,131947,41.2
2026-04-15,6861.935148889904,6964.51560176881,6816.12251944884,6845.00439453125,499662,253345,50.7
2026-04-16,6845.502646373007,6878.866193132809,6705.076971951156,6855.4619140625,548523,274106,49.97
2026-04-17,6851.9761362828085,7054.149269373711,6805.66554175706,7000.8671875,558816,236513,42.32
2026-04-20,7025.765330312238,7289.685921783319,6965.013797935876,7128.84375,559841,198352,35.43
2026-04-21,7170.672273432116,7270.264943896451,7154.737446157822,7225.4482421875,260767,114426,43.88
2026-04-22,7223.456659584755,7790.636939142663,7131.831399322546,7556.09619140625,1729200,453344,26.22
2026-04-23,7556.096223988412,7618.839609003738,7502.8141430627,7544.64306640625,376857,150559,39.95
2026-04-24,7544.642824214486,7563.067468429121,7274.248721280787,7298.64892578125,343502,130130,37.88
2026-04-27,7300.640727709588,7444.55213691142,7252.83624576019,7400.2333984375,267337,90966,34.03
2026-04-28,7418.658167415079,7459.491163100945,7221.962639416089,7258.31396484375,296110,130187,43.97
2026-04-29,7310.1021354381755,7342.967717246003,7182.6235150926595,7234.90966796875,361430,173064,47.88
2026-04-30,7250.0,7305.0,7102.0,7230.0,327820,172840,52.72
2026-05-01,7230.0,7230.0,7230.0,7230.0,0,0,0.0
2026-05-04,7269.0,7363.0,7185.0,7236.5,364239,161400,44.31
2026-05-05,7248.0,7349.0,7215.0,7328.0,324323,171299,52.82
2026-05-06,7389.0,7389.0,7135.0,7182.5,282411,96347,34.12
2026-05-07,7183.0,7279.5,7000.0,7188.0,367185,106961,29.13
2026-05-08,7210.0,7210.0,6991.5,7012.5,443952,168621,37.98
2026-05-11,6662.0,6687.0,6323.5,6387.5,2419336,845568,34.95
2026-05-12,6360.0,6403.0,6171.5,6328.5,976463,364365,37.31
2026-05-13,6344.0,6395.0,6212.5,6305.0,367052,115794,31.55
2026-05-14,6350.0,6439.0,6220.0,6429.0,327209,102640,31.37
2026-05-15,6425.0,6433.5,6307.0,6381.0,249403,85813,34.41
2026-05-18,6310.0,6445.0,6225.0,6413.5,370285,178562,48.22
2026-05-19,6430.5,6463.5,6310.0,6329.0,344676,148061,42.96
2026-05-20,6260.0,6624.0,6259.5,6605.0,546490,245204,44.87
2026-05-21,6673.0,6718.0,6566.0,6598.0,498808,197216,39.54
2026-05-22,6600.5,6741.0,6594.0,6689.5,371775,171991,46.26
2026-05-25,6734.0,6826.0,6712.5,6755.0,263153,101916,38.73
2026-05-26,6755.0,6822.0,6722.0,6804.0,200573,86421,43.09
2026-05-27,6841.5,7244.0,6808.0,7219.0,636096,203188,31.94
2026-05-28,7219.0,7219.0,7219.0,7219.0,0,0,0.0
2026-05-29,7280.0,7340.0,7121.0,7253.0,1105117,612181,55.4
2026-06-01,7253.0,7254.0,7004.0,7027.5,452205,191674,42.39
2026-06-02,6970.0,7169.0,6957.0,7146.0,511846,241776,47.24
2026-06-03,7146.0,7247.0,7083.0,7196.0,309040,113057,36.58
2026-06-04,7192.0,7327.0,7122.5,7156.0,298566,98266,32.91
2026-06-05,7175.0,7217.0,7108.5,7167.5,249982,120725,48.29
2026-06-08,7105.5,7129.5,6893.0,6958.0,240753,105539,43.84
2026-06-09,7000.0,7063.5,6908.0,6931.0,254364,99446,39.1
2026-06-10,6905.5,6951.5,6769.0,6801.0,463997,213144,45.94
2026-06-11,6782.0,6815.5,6653.0,6719.0,262862,127738,48.6
2026-06-12,6783.0,6854.5,6722.0,6770.5,188800,65332,34.6
2026-06-15,6880.0,6977.5,6821.0,6922.5,227935,72096,31.63
2026-06-16,6955.0,7079.5,6939.0,7021.0,366666,183908,50.16
2026-06-17,7021.0,7187.5,6980.0,7164.0,298071,119474,40.08
2026-06-18,7175.0,7254.0,7089.5,7229.0,239735,76589,31.95
2026-06-19,7288.0,7304.0,7183.0,7248.0,241827,93275,38.57
2026-06-22,7250.0,7290.5,7200.0,7258.0,150159,70889,47.21
2026-06-23,7253.5,7285.0,7109.0,7158.5,186185,78933,42.39
2026-06-24,7174.5,7199.0,6935.0,6967.5,280561,110584,39.42
2026-06-25,7040.0,7098.0,6963.0,6993.0,231494,105955,45.77
2026-06-25,7040.0,7098.0,6963.0,6977.0,231494,0,0.0
2026-06-29,7000.0,7268.0,6886.5,7128.0,914600,550641,60.15
2026-06-30,7070.0,7100.0,6993.0,7031.0,367990,187108,50.85
2026-07-01,7046.0,7073.5,6915.0,6937.0,146494,0,0.0
2026-07-02,6950.0,6961.0,6830.5,6861.0,264790,95206,35.95
2026-07-03,6881.0,6975.0,6752.0,6950.5,345068,148886,43.15
2026-07-06,6985.5,7085.0,6891.0,7073.0,238090,85042,35.72
2026-07-07,7107.0,7107.0,6868.0,6978.0,229505,87893,38.3
2026-07-13,6800.0,6872.0,6715.5,6807.0,297845,153848,51.65
2026-07-15,6940.0,7270.0,6926.5,7204.5,763729,309219,40.48
