date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,3486.39990234375,3525.0,3411.300048828125,3458.39990234375,104428,68800,65.88
2026-03-30,3377.0,3697.5,3377.0,3636.60009765625,220600,46234,20.96
2026-04-01,3660.0,3700.0,3600.0,3681.0,48288,13766,28.51
2026-04-02,3611.300048828125,3690.699951171875,3555.199951171875,3676.0,26628,9001,33.8
2026-04-06,3642.10009765625,3707.800048828125,3612.199951171875,3680.5,36537,13272,36.32
2026-04-07,3651.10009765625,3719.10009765625,3644.0,3685.89990234375,19728,6768,34.31
2026-04-08,3769.0,3778.0,3661.10009765625,3674.5,78628,50876,64.7
2026-04-09,3662.800048828125,3704.699951171875,3616.0,3631.800048828125,40068,18666,46.59
2026-04-10,3670.10009765625,3792.0,3645.199951171875,3773.300048828125,73271,34657,47.3
2026-04-13,3660.10009765625,3864.89990234375,3641.5,3827.10009765625,41053,19078,46.47
2026-04-15,3894.800048828125,3929.0,3852.300048828125,3920.199951171875,94838,76599,80.77
2026-04-16,3950.0,4012.699951171875,3916.199951171875,3925.300048828125,50612,29808,58.9
2026-04-17,3873.199951171875,4012.0,3873.199951171875,3961.5,22355,8230,36.82
2026-04-20,4003.800048828125,4075.0,3930.199951171875,4001.199951171875,72036,39809,55.26
2026-04-21,4045.0,4095.0,4000.0,4007.199951171875,61143,30841,50.44
2026-04-22,4012.89990234375,4079.89990234375,3989.0,4058.60009765625,52152,35056,67.22
2026-04-23,4075.0,4110.0,4022.0,4079.60009765625,28883,13360,46.26
2026-04-24,4099.89990234375,4108.89990234375,4000.0,4014.300048828125,24872,12793,51.44
2026-04-27,4017.0,4100.0,4002.5,4027.10009765625,31111,15255,49.03
2026-04-28,4048.10009765625,4054.10009765625,3973.5,3993.800048828125,24406,14197,58.17
2026-04-29,4021.0,4025.39990234375,3921.39990234375,3937.199951171875,17514,9170,52.36
2026-04-30,3921.800048828125,3962.10009765625,3875.0,3949.60009765625,13099,7083,54.07
2026-05-04,3960.0,4020.300048828125,3912.60009765625,3958.10009765625,21430,9062,42.29
2026-05-05,3960.0,3967.699951171875,3844.199951171875,3876.39990234375,23157,10524,45.45
2026-05-06,3950.0,3957.0,3856.0,3912.0,25922,11429,44.09
2026-05-07,3935.0,4029.0,3920.10009765625,4005.5,17340,8216,47.38
2026-05-08,4021.39990234375,4049.89990234375,3955.0,3971.89990234375,24345,13308,54.66
2026-05-11,3973.5,3973.5,3880.0,3905.60009765625,10188,5688,55.83
2026-05-12,3905.0,3905.5,3700.0,3749.800048828125,29376,14320,48.75
2026-05-13,3770.0,3896.699951171875,3767.0,3794.800048828125,16513,8419,50.98
2026-05-14,3836.0,3877.0,3806.800048828125,3854.800048828125,20765,12794,61.61
2026-05-15,3861.89990234375,3935.39990234375,3840.0,3856.300048828125,10991,4450,40.49
2026-05-18,3856.300048828125,3921.0,3788.60009765625,3883.300048828125,24804,15093,60.85
2026-05-19,3876.0,4040.89990234375,3867.300048828125,4002.60009765625,35842,20334,56.73
2026-05-20,3982.800048828125,4020.699951171875,3921.10009765625,3962.199951171875,19072,11647,61.07
2026-05-21,3962.199951171875,4042.10009765625,3962.199951171875,3995.39990234375,31651,23323,73.69
2026-05-22,3981.0,4049.89990234375,3961.0,3994.0,41320,27985,67.73
2026-05-25,4036.10009765625,4090.0,3932.699951171875,3972.800048828125,28184,14687,52.11
2026-05-26,3987.89990234375,4194.0,3970.0,4143.39990234375,241336,60545,25.09
2026-05-27,4143.39990234375,4495.0,4122.2001953125,4428.10009765625,1149941,374629,32.58
2026-05-28,4428.10009765625,4428.10009765625,4428.10009765625,4428.10009765625,0,0,0.0
2026-05-29,4461.0,4551.7001953125,4376.5,4503.60009765625,212656,103892,48.85
2026-06-01,4525.7001953125,4607.39990234375,4481.0,4522.7001953125,192749,110037,57.09
2026-06-02,4504.7998046875,4562.89990234375,4428.7001953125,4552.2998046875,74628,41752,55.95
2026-06-03,4525.0,4574.7001953125,4483.2998046875,4521.2998046875,49880,28111,56.36
2026-06-04,4520.5,4664.0,4520.5,4596.5,96853,43337,44.75
2026-06-05,4690.0,4775.0,4602.5,4630.7001953125,206638,86048,41.64
2026-06-08,4602.5,4604.7998046875,4530.0,4545.5,54753,30725,56.12
2026-06-09,4548.5,4578.60009765625,4443.2998046875,4489.10009765625,79733,50649,63.52
2026-06-10,4475.7001953125,4555.0,4410.5,4439.0,167126,128710,77.01
2026-06-11,4400.0,4463.7001953125,4292.5,4318.5,63685,35817,56.24
2026-06-12,4357.0,4387.5,4290.5,4333.7001953125,49722,27439,55.18
2026-06-15,4429.89990234375,4519.0,4362.2998046875,4469.2001953125,58196,27155,46.66
2026-06-16,4509.0,4531.0,4465.0,4491.39990234375,42546,24024,56.47
2026-06-17,4527.5,4578.2998046875,4443.0,4501.60009765625,75880,56353,74.27
2026-06-18,4548.7998046875,4676.0,4510.5,4532.89990234375,51768,21534,41.6
2026-06-19,4521.0,4767.7998046875,4521.0,4687.0,184500,85248,46.2
2026-06-22,4750.0,4867.0,4705.10009765625,4848.0,245621,148376,60.41
2026-06-23,4860.0,5060.0,4822.2001953125,4886.10009765625,297045,133531,44.95
2026-06-24,4924.0,4929.7998046875,4832.5,4857.5,53007,21436,40.44
2026-06-25,4850.0,4892.0,4806.89990234375,4829.89990234375,55334,28582,51.65
2026-06-25,4850.0,4892.0,4806.89990234375,4847.5,55334,0,0.0
2026-06-29,4878.0,5019.2998046875,4807.10009765625,4951.39990234375,154746,90962,58.78
2026-06-30,4976.0,5180.0,4912.10009765625,5081.39990234375,205765,111184,54.01
2026-07-01,5080.0,5144.0,4841.0,4996.0,128769,0,0.0
2026-07-02,5019.0,5038.5,4760.0,4800.0,131291,75119,57.19
2026-07-03,4812.0,4839.0,4718.0,4754.5,102598,63402,61.79
2026-07-06,4710.0,4828.0,4688.0,4813.0,69883,31550,45.15
2026-07-07,4815.0,4842.5,4725.0,4756.5,41532,21109,50.83
2026-07-13,4690.0,4765.0,4640.0,4732.0,113536,58486,51.51
