date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,7510.0,7621.0,7510.0,7549.0,533512,320931,60.15
2026-03-30,7470.0,7509.5,7360.5,7419.0,764508,234912,30.73
2026-04-01,7549.0,7587.0,7250.5,7305.5,618068,361974,58.57
2026-04-02,7150.5,7368.0,7150.5,7317.5,338111,180332,53.34
2026-04-06,7350.0,7397.0,7243.0,7373.0,360086,191094,53.07
2026-04-07,7370.5,7370.5,7220.5,7326.5,311560,162734,52.23
2026-04-08,7385.0,7518.0,7332.5,7401.5,387242,206655,53.37
2026-04-09,7400.0,7512.0,7364.0,7481.5,416753,234067,56.16
2026-04-10,7500.0,7563.0,7461.5,7511.5,437163,259712,59.41
2026-04-13,7420.0,7566.0,7403.5,7516.5,310575,173200,55.77
2026-04-15,7516.5,7686.0,7500.0,7642.0,464570,252440,54.34
2026-04-16,7678.0,7678.0,7510.0,7553.0,400487,234105,58.46
2026-04-17,7553.0,7710.0,7515.0,7699.0,343875,207716,60.4
2026-04-20,7705.0,7730.5,7622.0,7657.0,344019,186789,54.3
2026-04-21,7686.5,7765.0,7667.5,7744.0,312758,186242,59.55
2026-04-22,7702.0,7801.5,7615.0,7662.0,608446,366555,60.24
2026-04-23,7685.0,7815.0,7601.0,7781.0,304110,154106,50.67
2026-04-24,7814.0,7845.0,7684.5,7732.5,407458,236559,58.06
2026-04-27,7759.0,7850.0,7735.0,7825.0,289661,182242,62.92
2026-04-28,7840.0,7878.5,7711.0,7753.0,353826,214467,60.61
2026-04-29,7745.0,7799.0,7681.0,7709.0,321242,189347,58.94
2026-04-30,7634.5,7680.0,7561.5,7636.5,392016,258845,66.03
2026-05-01,7636.5,7636.5,7636.5,7636.5,0,0,0.0
2026-05-04,7699.5,7790.0,7673.0,7737.5,328426,206438,62.86
2026-05-05,7724.5,7780.5,7678.0,7772.0,254331,171849,67.57
2026-05-06,7810.5,7815.0,7742.5,7760.5,437084,353686,80.92
2026-05-07,7760.5,7855.0,7744.0,7837.0,405862,268956,66.27
2026-05-08,7837.0,8115.0,7812.5,8097.0,922866,467835,50.69
2026-05-11,8046.0,8144.0,8022.5,8082.0,466135,247641,53.13
2026-05-12,8050.0,8078.0,7995.0,8022.5,390002,268612,68.87
2026-05-13,7981.0,8112.0,7981.0,8004.5,329337,182143,55.31
2026-05-14,8011.0,8180.0,8011.0,8119.0,431011,230814,53.55
2026-05-15,8170.0,8170.0,8028.5,8082.5,300134,192277,64.06
2026-05-18,8062.5,8099.0,8006.0,8020.5,323387,203753,63.01
2026-05-19,8030.0,8093.5,7983.0,8026.0,396261,271247,68.45
2026-05-20,7924.0,8140.0,7814.5,8078.5,492013,251846,51.19
2026-05-21,8198.5,8388.0,8051.5,8308.5,1425124,391712,27.49
2026-05-22,8308.5,8440.5,8255.0,8362.5,564876,309142,54.73
2026-05-25,8430.0,8443.0,8375.0,8404.0,364945,248504,68.09
2026-05-26,8404.0,8434.0,8228.0,8258.5,310581,168511,54.26
2026-05-27,8243.0,8305.0,8170.0,8272.5,293786,145161,49.41
2026-05-28,8272.5,8272.5,8272.5,8272.5,0,0,0.0
2026-05-29,8176.5,8325.0,8146.0,8176.5,1042419,714104,68.5
2026-06-01,8221.5,8249.5,8081.0,8108.5,217401,110259,50.72
2026-06-02,7816.0,8120.0,7816.0,8089.5,556161,311609,56.03
2026-06-03,8109.5,8317.5,8109.5,8290.5,724687,367169,50.67
2026-06-04,8270.0,8301.5,8225.0,8249.0,345278,212978,61.68
2026-06-05,8265.0,8341.0,8240.0,8304.5,187969,82828,44.06
2026-06-08,8211.0,8490.0,8211.0,8358.5,539009,237472,44.06
2026-06-09,8420.0,8538.5,8365.5,8524.0,818210,571715,69.87
2026-06-10,8527.0,8624.0,8470.5,8488.5,487815,266493,54.63
2026-06-11,8478.0,8531.0,8425.0,8493.0,314597,184948,58.79
2026-06-12,8535.0,8558.0,8440.0,8498.0,276444,161482,58.41
2026-06-15,8526.0,8534.0,8391.0,8468.5,358223,211708,59.1
2026-06-16,8468.5,8517.0,8382.0,8390.5,263172,184990,70.29
2026-06-17,8390.5,8464.5,8385.0,8427.5,185437,111354,60.05
2026-06-18,8438.5,8464.5,8387.0,8411.5,304242,219918,72.28
2026-06-19,8404.0,8521.0,8400.0,8489.5,333583,205749,61.68
2026-06-22,8538.0,8538.0,8434.5,8469.0,208982,134786,64.5
2026-06-23,8498.0,8559.0,8457.0,8487.5,248581,138432,55.69
