date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,418.95001220703125,419.1499938964844,408.0,412.45001220703125,657592,353432,53.75
2026-03-30,405.1000061035156,415.0,402.25,412.29998779296875,1038467,551411,53.1
2026-04-01,419.0,421.75,414.1000061035156,415.25,430083,189698,44.11
2026-04-02,413.04998779296875,413.04998779296875,402.6499938964844,409.45001220703125,438417,173656,39.61
2026-04-06,409.45001220703125,412.0,401.5,410.8999938964844,471337,155333,32.96
2026-04-07,408.5,414.6000061035156,402.20001220703125,412.8500061035156,352606,146162,41.45
2026-04-08,425.04998779296875,444.0,425.0,436.1000061035156,2409572,775950,32.2
2026-04-09,429.25,442.0,427.04998779296875,440.3500061035156,732691,260315,35.53
2026-04-10,440.3500061035156,446.0,435.5,438.1499938964844,1052640,511632,48.6
2026-04-13,432.5,435.0,426.0,432.3999938964844,669776,297729,44.45
2026-04-15,436.45001220703125,444.95001220703125,435.20001220703125,441.6000061035156,1120750,614717,54.85
2026-04-16,443.5,445.5,437.45001220703125,443.6499938964844,910188,478674,52.59
2026-04-17,445.0,449.25,441.3999938964844,445.3999938964844,738259,301400,40.83
2026-04-20,446.04998779296875,447.5,439.0,441.3999938964844,579772,214468,36.99
2026-04-21,443.5,445.3999938964844,441.0,441.95001220703125,620322,392136,63.21
2026-04-22,442.0,444.54998779296875,432.75,434.0,552891,290680,52.57
2026-04-23,432.0,437.45001220703125,431.20001220703125,432.45001220703125,527424,317262,60.15
2026-04-24,432.45001220703125,434.20001220703125,421.8999938964844,423.8500061035156,337070,178233,52.88
2026-04-27,426.20001220703125,430.25,424.70001220703125,428.54998779296875,501556,267524,53.34
2026-04-28,429.6000061035156,432.45001220703125,422.25,423.6499938964844,484706,232052,47.87
2026-04-29,428.25,439.45001220703125,422.0,424.1499938964844,1251084,563574,45.05
2026-04-30,420.0,420.79998779296875,406.95001220703125,408.3999938964844,1211183,721753,59.59
2026-05-01,408.3999938964844,408.3999938964844,408.3999938964844,408.3999938964844,0,0,0.0
2026-05-04,411.25,417.8500061035156,408.0,409.45001220703125,728402,374005,51.35
