date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,1721.0,1739.0,1684.300048828125,1725.0999755859375,2212093,1340828,60.61
2026-03-30,1690.0,1707.800048828125,1653.699951171875,1674.5999755859375,1836256,794201,43.25
2026-04-01,1710.0,1730.5,1661.699951171875,1668.4000244140625,957975,414885,43.31
2026-04-02,1644.699951171875,1657.4000244140625,1613.4000244140625,1642.5999755859375,1002002,512979,51.2
2026-04-06,1637.0,1680.0,1616.5999755859375,1670.5999755859375,1211548,532305,43.94
2026-04-07,1667.9000244140625,1675.5999755859375,1610.199951171875,1671.300048828125,1247449,413027,33.11
2026-04-08,1716.5,1791.4000244140625,1716.5,1781.4000244140625,1961222,876211,44.68
2026-04-09,1778.0,1781.0,1724.0999755859375,1739.4000244140625,1861562,910647,48.92
2026-04-10,1751.0,1805.0,1751.0,1798.800048828125,1462504,596881,40.81
2026-04-13,1770.0,1822.5,1739.199951171875,1801.300048828125,1138866,438096,38.47
2026-04-15,1830.0,1849.300048828125,1811.5,1831.5999755859375,1709299,1002736,58.66
2026-04-16,1847.9000244140625,1860.0,1830.0,1855.800048828125,1279566,738850,57.74
2026-04-17,1855.800048828125,1876.0,1821.0,1860.5,1036045,481746,46.5
2026-04-20,1864.0,1881.9000244140625,1831.699951171875,1866.199951171875,742005,324365,43.71
2026-04-21,1875.0,1915.0,1873.0,1895.800048828125,971441,525168,54.06
2026-04-22,1888.0999755859375,1925.0,1888.0999755859375,1903.199951171875,1054785,540242,51.22
2026-04-23,1899.0,1912.4000244140625,1846.4000244140625,1874.0999755859375,1398269,652813,46.69
2026-04-24,1884.0,1892.0999755859375,1836.0,1856.0,680205,200538,29.48
2026-04-27,1865.4000244140625,1919.4000244140625,1865.4000244140625,1901.0999755859375,890710,335485,37.66
2026-04-28,1910.0,1915.0,1890.0,1894.800048828125,546155,236935,43.38
2026-04-29,1905.699951171875,1949.9000244140625,1897.199951171875,1907.800048828125,1752427,709962,40.51
2026-04-30,1904.0999755859375,1906.5,1846.699951171875,1881.5999755859375,2076179,1155828,55.67
2026-05-01,1881.5999755859375,1881.5999755859375,1881.5999755859375,1881.5999755859375,0,0,0.0
2026-05-04,1912.300048828125,1916.0999755859375,1837.5,1845.800048828125,1030440,484476,47.02
2026-05-05,1845.800048828125,1878.300048828125,1818.300048828125,1866.5999755859375,1019363,368698,36.17
2026-05-06,1885.0,1905.0,1831.199951171875,1873.800048828125,1389306,555024,39.95
2026-05-07,1887.4000244140625,2026.5999755859375,1856.0999755859375,1992.9000244140625,7055670,2209596,31.32
2026-05-08,2009.4000244140625,2044.0,1975.0999755859375,1989.699951171875,3399059,1623490,47.76
2026-05-11,1983.0,2007.4000244140625,1952.4000244140625,1987.0,1307321,548199,41.93
2026-05-12,1999.0,1999.0,1907.199951171875,1913.0,1099257,572858,52.11
2026-05-13,1912.9000244140625,1986.9000244140625,1911.800048828125,1945.9000244140625,1225143,507233,41.4
2026-05-14,1972.0,1976.699951171875,1938.800048828125,1948.9000244140625,1194716,585722,49.03
2026-05-15,1959.699951171875,1959.699951171875,1905.0999755859375,1913.0999755859375,822275,411953,50.1
2026-05-18,1910.0,1910.0,1865.4000244140625,1891.0,472953,202781,42.88
2026-05-19,1885.0,1902.800048828125,1848.0,1857.300048828125,1020594,559868,54.86
2026-05-20,1845.0,1905.699951171875,1827.5999755859375,1888.199951171875,953954,411265,43.11
2026-05-21,1902.0,1931.9000244140625,1892.199951171875,1898.800048828125,589383,228418,38.76
2026-05-22,1900.0,1916.9000244140625,1892.0,1897.699951171875,636410,340825,53.55
2026-05-25,1914.800048828125,1942.9000244140625,1896.300048828125,1918.300048828125,831690,389890,46.88
2026-05-26,1926.5999755859375,1939.9000244140625,1908.300048828125,1930.4000244140625,1012118,486968,48.11
2026-05-27,1938.9000244140625,1961.0,1916.0,1938.5999755859375,561943,265855,47.31
2026-05-28,1938.5999755859375,1938.5999755859375,1938.5999755859375,1938.5999755859375,0,0,0.0
2026-05-29,1956.4000244140625,1967.800048828125,1920.0,1957.199951171875,3127027,2117651,67.72
2026-06-01,1970.0999755859375,1970.0999755859375,1915.300048828125,1922.699951171875,758736,286499,37.76
2026-06-02,1913.9000244140625,1918.800048828125,1870.5,1902.9000244140625,1291251,680263,52.68
2026-06-03,1908.0999755859375,1948.9000244140625,1893.9000244140625,1936.5,808066,310561,38.43
2026-06-04,1936.5,1988.5,1931.5,1937.5,1347808,674408,50.04
2026-06-05,1928.0999755859375,1952.0,1917.0999755859375,1929.800048828125,380703,135086,35.48
2026-06-08,1909.9000244140625,1931.0,1882.199951171875,1893.0999755859375,402580,173659,43.14
2026-06-09,1908.0,1954.5999755859375,1903.4000244140625,1925.4000244140625,1005803,448728,44.61
2026-06-10,1925.4000244140625,1975.4000244140625,1877.0,1949.199951171875,1923743,841711,43.75
2026-06-11,1947.199951171875,1965.0,1928.800048828125,1942.9000244140625,801831,335828,41.88
2026-06-12,1952.0,1982.699951171875,1912.199951171875,1945.0999755859375,893592,356149,39.86
2026-06-15,1971.5,2036.0,1954.800048828125,2020.5,1665028,627092,37.66
2026-06-16,2040.0,2040.0,2005.5,2012.300048828125,925881,474817,51.28
2026-06-17,2022.0,2039.0,2001.0999755859375,2034.5,670471,298632,44.54
2026-06-18,2040.0,2049.10009765625,2005.9000244140625,2019.9000244140625,840631,446016,53.06
2026-06-19,2031.0999755859375,2059.5,2019.9000244140625,2041.4000244140625,1726725,861380,49.89
2026-06-22,2060.0,2113.60009765625,2041.699951171875,2103.800048828125,1846475,793951,43.0
2026-06-23,2115.0,2158.5,2103.800048828125,2152.300048828125,1891131,1017916,53.83
2026-06-24,2145.0,2167.5,2099.300048828125,2122.800048828125,1303397,612000,46.95
2026-06-25,2139.800048828125,2166.0,2122.89990234375,2145.300048828125,1291528,739130,57.22
2026-06-25,2139.800048828125,2166.0,2122.89990234375,2145.0,1291528,0,0.0
2026-06-29,2145.300048828125,2238.0,2096.10009765625,2170.89990234375,7497172,5057194,67.38
2026-06-30,2114.10009765625,2166.10009765625,2056.10009765625,2144.10009765625,2138503,907660,42.44
2026-07-01,2151.0,2167.89990234375,2088.300048828125,2108.800048828125,1124765,0,0.0
2026-07-02,2135.0,2153.699951171875,2098.199951171875,2148.89990234375,772992,399490,51.67
2026-07-03,2160.0,2175.0,2129.60009765625,2136.699951171875,537379,266877,49.64
2026-07-06,2139.89990234375,2176.10009765625,2134.0,2138.699951171875,648463,344424,53.1
2026-07-07,2136.0,2143.89990234375,2096.60009765625,2111.60009765625,773389,453732,58.67
2026-07-13,2108.0,2153.0,2096.300048828125,2145.60009765625,628222,291190,46.34
2026-07-15,2124.0,2152.39990234375,2095.5,2100.39990234375,719753,436089,60.58
