date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,1896.3450949848136,1896.3450949848136,1850.28805773163,1855.32861328125,492401,286085,58.1
2026-03-30,1828.445580879859,1836.1547510476603,1761.237851420491,1767.8597412109375,907544,373002,41.1
2026-04-01,1800.771785999339,1823.5038118379696,1789.2081515493487,1798.49853515625,407513,226836,55.66
2026-04-02,1795.830086065075,1814.608716574286,1761.3366827369632,1808.1844482421875,273131,131341,48.09
2026-04-06,1814.312173956916,1823.5038677282698,1789.9988131834862,1808.382080078125,349804,174897,50.0
2026-04-07,1800.7718077482323,1833.0907705281754,1779.7199266102805,1828.8409423828125,295165,139132,47.14
2026-04-08,1863.0378167042884,1893.4790133743868,1847.8172183692393,1884.781494140625,453684,226175,49.85
2026-04-09,1884.3860525175107,1905.635554588167,1859.9738821188193,1884.48486328125,604795,316771,52.38
2026-04-10,1903.3624774956177,1919.4724931722847,1881.7176111184829,1916.5074462890625,434312,255912,58.92
2026-04-13,1888.2406503820025,1905.5367568366926,1856.2181205877068,1893.5777587890625,419082,222427,53.07
2026-04-15,1912.4552860328156,1928.7630442858087,1894.4673827644997,1924.0189208984375,336213,167786,49.9
2026-04-16,1933.309325503056,1973.7328210298242,1917.3969317966246,1954.3612060546875,374401,159787,42.68
2026-04-17,1954.3612396670655,2097.1775424260813,1946.256705880731,2081.462890625,2100901,655019,31.18
2026-04-20,2094.3113351430397,2122.9734534626,2064.8584894381984,2104.19482421875,582891,270058,46.33
2026-04-21,2104.1948272461204,2113.3865203589794,2046.3764160700293,2082.055908203125,450952,151446,33.58
2026-04-22,2090.358029112239,2112.1017060108056,2069.503769750161,2093.61962890625,450554,241236,53.54
2026-04-23,2085.7129210514227,2129.8920726281476,2033.626977557749,2125.14794921875,649058,175142,26.98
2026-04-24,2125.147937184311,2152.426465661766,2114.0784768224953,2146.002197265625,738058,340242,46.1
2026-04-27,2154.600786176144,2164.5832074378927,2110.5203249496813,2116.05517578125,371678,179616,48.33
2026-04-28,2107.8518263518354,2111.5086693272215,2080.4746078005755,2100.439208984375,364158,136769,37.56
2026-04-29,2110.1249250119067,2150.449608840445,2080.0792146355716,2107.654052734375,391370,148893,38.04
2026-04-30,2090.555730374332,2115.2644550650657,2065.649384145301,2071.777099609375,366494,153432,41.86
2026-05-01,2071.777099609375,2071.777099609375,2071.777099609375,2071.777099609375,0,0,0.0
2026-05-04,2085.6138234995838,2154.600625738888,2074.7419854798004,2147.583251953125,509820,242622,47.59
2026-05-05,2158.554103891034,2159.542452839702,2133.8453801743326,2153.513427734375,303160,129941,42.86
2026-05-06,2172.3909031787966,2172.3909031787966,2126.827921930347,2131.967529296875,216927,113381,52.27
2026-05-07,2146.693942067807,2159.5424785534797,2119.909588721528,2141.752197265625,209531,95524,45.59
2026-05-08,2136.019668402534,2180.1988175034703,2132.1652040774807,2171.7978515625,273342,128710,47.09
2026-05-11,2171.3036758822223,2178.5186713573084,2107.555169659889,2114.078369140625,588255,284167,48.31
2026-05-12,2114.9678907653697,2132.066376418873,2093.3231445708407,2100.439208984375,299031,136154,45.53
2026-05-13,2103.0089695888705,2121.985221399918,2086.9977646638035,2109.630859375,310715,146378,47.11
2026-05-14,2109.729899734254,2138.2930896923895,2099.9450997275603,2121.590087890625,144948,48351,33.36
2026-05-15,2117.636564956495,2140.763833957248,2110.3226379206058,2134.833740234375,287530,138256,48.08
2026-05-18,2124.950259978221,2133.74646918712,2088.974454420764,2126.13623046875,357195,217727,60.95
2026-05-19,2126.9270816912162,2197.7916578545055,2126.9270816912162,2162.80419921875,334394,160893,48.11
2026-05-20,2161.519199012266,2166.955118351346,2137.8977551299918,2159.937744140625,205812,102372,49.74
2026-05-21,2169.4259131450713,2184.251147175675,2128.4094323270665,2139.676513671875,329867,150132,45.51
2026-05-22,2144.025447272794,2148.1764646457327,2105.6774593640366,2131.769775390625,204566,73080,35.72
2026-05-25,2160.23437989986,2170.117869986144,2056.359043870702,2072.56787109375,1433773,457748,31.93
2026-05-26,2075.4338207612423,2082.3522632684844,2027.3012761486536,2052.899658203125,932673,433184,46.45
2026-05-27,2056.062456776665,2074.841087628865,2046.0800354367761,2063.07958984375,199944,74049,37.03
2026-05-28,2063.07958984375,2063.07958984375,2063.07958984375,2063.07958984375,0,0,0.0
2026-05-29,2075.5327916940746,2084.329000816612,2026.5105873337054,2035.89990234375,1193673,784218,65.7
2026-06-01,2049.699951171875,2053.0,1979.0,1990.0999755859375,689578,243409,35.3
2026-06-02,1985.0,2004.800048828125,1976.5,1998.800048828125,299055,175353,58.64
2026-06-03,1997.0,2022.800048828125,1984.5999755859375,2018.5999755859375,308158,170017,55.17
2026-06-04,2018.300048828125,2032.300048828125,1995.0,2004.4000244140625,321958,170903,53.08
2026-06-05,2016.0,2020.9000244140625,1991.0,1999.5,174541,83928,48.08
2026-06-08,1986.199951171875,2020.0,1972.800048828125,2005.5,313988,153369,48.85
2026-06-09,2005.0999755859375,2028.800048828125,2001.0,2023.4000244140625,138499,75894,54.8
2026-06-10,2024.300048828125,2100.0,2024.300048828125,2056.300048828125,1111107,339841,30.59
2026-06-11,2050.0,2064.800048828125,2022.4000244140625,2028.5999755859375,397135,208783,52.57
2026-06-12,2042.0,2082.5,2042.0,2079.0,262833,114601,43.6
2026-06-15,2100.0,2136.5,2052.0,2057.699951171875,420009,199688,47.54
2026-06-16,2067.5,2103.699951171875,2065.0,2096.89990234375,711308,393638,55.34
2026-06-17,2080.0,2092.60009765625,2028.0,2034.199951171875,603600,292626,48.48
2026-06-18,2032.5,2043.800048828125,2015.300048828125,2027.300048828125,376697,201091,53.38
2026-06-19,2020.0,2026.0,1990.0,1997.800048828125,417545,234506,56.16
2026-06-22,2005.5,2019.9000244140625,1975.300048828125,1982.0,640289,410762,64.15
2026-06-23,1982.0,2003.4000244140625,1975.300048828125,1980.5,330176,189053,57.26
2026-06-24,1985.5,1995.0,1957.800048828125,1965.300048828125,672675,269567,40.07
2026-06-25,1970.0999755859375,2001.4000244140625,1970.0999755859375,1993.0,685313,333381,48.65
2026-06-25,1970.0999755859375,2001.4000244140625,1970.0999755859375,1990.0999755859375,685313,0,0.0
2026-06-29,1993.0,2029.0,1990.0,1999.199951171875,551277,232111,42.1
