date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,426.29998779296875,430.1000061035156,420.70001220703125,428.75,5301114,3312168,62.48
2026-03-30,423.70001220703125,423.70001220703125,411.45001220703125,416.70001220703125,1313323,485917,37.0
2026-04-01,427.0,441.0,427.0,431.3999938964844,2796488,1502523,53.73
2026-04-02,425.0,428.6499938964844,415.54998779296875,426.25,1423697,722666,50.76
2026-04-06,426.70001220703125,437.45001220703125,422.3999938964844,435.8999938964844,3332882,1863610,55.92
2026-04-07,432.0,447.70001220703125,430.20001220703125,442.0,3268452,1415567,43.31
2026-04-08,452.0,465.0,449.1499938964844,459.8500061035156,4701999,2216961,47.15
2026-04-09,459.8500061035156,474.95001220703125,457.04998779296875,469.8500061035156,4080774,1663052,40.75
2026-04-10,473.04998779296875,474.95001220703125,467.0,470.1499938964844,1862603,1013191,54.4
2026-04-13,458.0,473.5,453.8500061035156,465.29998779296875,1821873,903518,49.59
2026-04-15,470.0,473.0,456.0,459.79998779296875,4332147,2305479,53.22
2026-04-16,463.8999938964844,466.6000061035156,454.8500061035156,459.75,3828989,2086580,54.49
2026-04-17,461.79998779296875,468.45001220703125,458.8500061035156,463.0,4967474,2898998,58.36
2026-04-20,465.79998779296875,474.5,458.25,464.5,3554997,1399168,39.36
2026-04-21,467.8999938964844,478.3999938964844,460.0,472.04998779296875,3772093,1901697,50.41
2026-04-22,472.0,474.1499938964844,452.45001220703125,462.70001220703125,4525910,2058587,45.48
2026-04-23,460.0,460.0,447.8500061035156,449.3999938964844,3195024,1819253,56.94
2026-04-24,445.0,451.8500061035156,441.6499938964844,449.70001220703125,4832080,2721305,56.32
2026-04-27,453.6000061035156,468.45001220703125,452.20001220703125,462.70001220703125,3708315,1721242,46.42
2026-04-28,462.70001220703125,468.79998779296875,461.1000061035156,465.3999938964844,1430648,686458,47.98
2026-04-29,467.8999938964844,472.45001220703125,463.3500061035156,466.29998779296875,2507318,1481148,59.07
2026-04-30,463.45001220703125,468.6000061035156,454.1499938964844,467.04998779296875,2562642,1358616,53.02
2026-05-01,467.04998779296875,467.04998779296875,467.04998779296875,467.04998779296875,0,0,0.0
2026-05-04,472.0,476.79998779296875,461.70001220703125,467.3500061035156,1639132,758251,46.26
2026-05-05,464.5,465.95001220703125,447.95001220703125,459.5,4055880,1425475,35.15
2026-05-06,464.3500061035156,472.45001220703125,459.8999938964844,471.0,2296060,900950,39.24
2026-05-07,472.95001220703125,484.5,472.3999938964844,481.75,5056967,2158988,42.69
2026-05-08,484.95001220703125,487.5,475.8500061035156,479.1000061035156,2827517,953166,33.71
2026-05-11,473.54998779296875,484.45001220703125,468.3500061035156,479.1499938964844,3138394,1405444,44.78
2026-05-12,475.0,482.6000061035156,462.79998779296875,464.70001220703125,2990954,1547409,51.74
2026-05-13,464.70001220703125,470.5,460.95001220703125,465.20001220703125,1668515,687670,41.21
2026-05-14,469.79998779296875,472.5,464.75,470.29998779296875,1428941,676607,47.35
2026-05-15,470.8999938964844,483.5,470.3500061035156,475.75,5854422,2767180,47.27
2026-05-18,472.95001220703125,472.95001220703125,446.1000061035156,455.75,7347316,2984461,40.62
2026-05-19,460.0,464.54998779296875,449.04998779296875,459.3999938964844,3324538,2011664,60.51
2026-05-20,456.04998779296875,459.0,452.1000061035156,456.79998779296875,1487135,662038,44.52
2026-05-21,459.6499938964844,464.29998779296875,451.45001220703125,452.75,2471320,1292357,52.29
2026-05-22,452.95001220703125,456.6000061035156,445.8500061035156,447.6000061035156,1584002,895973,56.56
2026-05-25,449.1000061035156,460.20001220703125,449.1000061035156,455.45001220703125,3126164,1814785,58.05
2026-05-26,458.0,465.95001220703125,453.3500061035156,463.5,2650245,1509219,56.95
2026-05-27,463.6000061035156,469.3999938964844,458.75,459.75,1037299,542923,52.34
2026-05-28,459.75,459.75,459.75,459.75,0,0,0.0
2026-05-29,462.8999938964844,464.0,450.1000061035156,452.3500061035156,1986258,1107692,55.77
2026-06-01,453.0,453.25,435.25,437.25,5570313,555656,9.98
2026-06-02,434.0,439.79998779296875,430.29998779296875,437.95001220703125,1686360,777691,46.12
2026-06-03,438.1000061035156,442.3500061035156,432.8999938964844,437.8999938964844,1724002,728295,42.24
2026-06-04,437.8999938964844,444.3999938964844,434.20001220703125,438.3500061035156,1413713,548826,38.82
2026-06-05,439.20001220703125,448.6499938964844,439.20001220703125,445.25,1117852,431619,38.61
2026-06-08,443.0,445.0,437.0,439.3500061035156,1726858,1012740,58.65
2026-06-09,439.45001220703125,444.5,431.04998779296875,439.3999938964844,1930620,1004207,52.01
2026-06-10,438.79998779296875,441.45001220703125,429.29998779296875,431.1000061035156,2213551,1164910,52.63
2026-06-11,430.8999938964844,436.75,428.1000061035156,432.25,2390549,1159704,48.51
2026-06-12,435.29998779296875,442.8500061035156,434.0,440.5,4390515,3078727,70.12
2026-06-15,445.1499938964844,458.54998779296875,444.75,453.54998779296875,3720497,2147565,57.72
2026-06-16,455.54998779296875,455.8500061035156,449.6499938964844,451.29998779296875,1166133,672272,57.65
2026-06-17,451.45001220703125,453.6000061035156,449.25,451.54998779296875,923455,527865,57.16
2026-06-18,454.0,463.45001220703125,452.5,459.20001220703125,2089503,750939,35.94
2026-06-19,458.95001220703125,463.5,454.3500061035156,461.1000061035156,1719497,927368,53.93
2026-06-22,466.5,491.70001220703125,465.29998779296875,483.79998779296875,12506879,4297024,34.36
2026-06-23,483.95001220703125,486.95001220703125,473.6000061035156,476.45001220703125,4586355,2421857,52.81
2026-06-24,476.45001220703125,486.3999938964844,459.8500061035156,481.04998779296875,16204247,11737253,72.43
2026-06-25,481.04998779296875,482.70001220703125,464.04998779296875,464.79998779296875,2796772,1517756,54.26
