date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,10301.0,10310.0,9999.0,10019.0,572310,158073,27.62
2026-03-30,9900.0,9989.0,9600.0,9673.0,689714,213071,30.89
2026-04-01,10100.0,10390.0,9904.0,10254.0,670532,156950,23.41
2026-04-02,10010.0,10345.5,9732.0,9920.5,1215237,238669,19.64
2026-04-06,9970.0,10074.0,9734.0,10008.0,752942,106986,14.21
2026-04-07,9950.0,10145.0,9840.5,10116.5,624630,106966,17.12
2026-04-08,10572.5,10710.0,10430.0,10636.0,979189,336659,34.38
2026-04-09,10669.5,10698.0,10420.0,10625.5,657395,133067,20.24
2026-04-10,10611.0,10890.0,10600.0,10676.0,794189,184259,23.2
2026-04-13,10400.0,10590.0,10288.0,10503.5,570575,138849,24.33
2026-04-15,10714.5,11099.0,10714.5,11068.5,852184,230908,27.1
2026-04-16,11250.0,11407.5,11121.0,11287.0,1071854,286217,26.7
2026-04-17,11320.0,11410.0,11270.0,11371.5,733121,169808,23.16
2026-04-20,11400.0,11410.0,11150.0,11211.0,630673,144075,22.84
2026-04-21,11211.0,11440.0,11211.0,11265.0,403154,101393,25.15
2026-04-22,11265.0,11364.5,11215.5,11267.0,474026,136892,28.88
2026-04-23,11249.0,11249.0,10820.0,10866.5,733524,257795,35.14
2026-04-24,10857.0,11086.0,10765.5,10815.5,709864,197753,27.86
2026-04-27,10920.0,11350.0,10855.0,11252.0,814270,293320,36.02
2026-04-28,11284.0,11595.0,11254.5,11370.0,891315,244002,27.38
2026-04-29,11375.5,11575.0,11259.5,11325.0,677475,323172,47.7
2026-04-30,11300.0,11300.0,11006.0,11166.5,459389,107425,23.38
2026-05-01,11166.5,11166.5,11166.5,11166.5,0,0,0.0
2026-05-04,11299.0,11492.0,11159.0,11408.0,380919,88740,23.3
2026-05-05,11400.0,11674.0,11200.0,11253.0,552400,134292,24.31
2026-05-06,11400.0,11405.0,11152.0,11299.0,366954,102884,28.04
2026-05-07,11350.0,11395.0,11006.0,11048.0,619219,215616,34.82
2026-05-08,11040.0,11265.0,10580.0,10803.0,817765,251210,30.72
2026-05-11,10773.0,10956.0,10537.0,10772.0,605961,178777,29.5
2026-05-12,10744.0,10744.0,10100.0,10138.0,830155,258700,31.16
2026-05-13,10255.0,11232.0,10158.0,11124.0,2690187,658499,24.48
2026-05-14,11150.0,11191.0,10834.0,11103.0,857111,186650,21.78
2026-05-15,11103.0,11360.0,10932.0,10979.0,647788,127965,19.75
2026-05-18,10871.0,10900.0,10570.0,10780.0,571332,152493,26.69
2026-05-19,10820.0,11140.0,10783.0,11048.0,586228,204163,34.83
2026-05-20,10870.0,11080.0,10850.0,10997.0,379965,101580,26.73
2026-05-21,11010.0,11325.0,10911.0,11258.0,705488,172344,24.43
2026-05-22,11285.0,11860.0,11261.0,11722.0,1362732,374137,27.45
2026-05-25,11850.0,11888.0,11602.0,11824.0,578594,149726,25.88
2026-05-26,11798.0,11829.0,11620.0,11673.0,311771,79716,25.57
2026-05-27,11675.0,11925.0,11641.0,11756.0,371444,99022,26.66
2026-05-28,11756.0,11756.0,11756.0,11756.0,0,0,0.0
2026-05-29,11770.0,11831.0,11480.0,11524.0,498590,232764,46.68
2026-06-01,11600.0,11648.0,11406.0,11463.0,303579,89443,29.46
2026-06-02,11422.0,11656.0,11361.0,11604.0,317648,77841,24.51
2026-06-03,11620.0,11640.0,11153.0,11227.0,524162,193190,36.86
2026-06-04,11202.0,11560.0,11155.0,11488.0,518693,196393,37.86
2026-06-05,11524.0,11683.0,11403.0,11432.0,378237,114304,30.22
2026-06-08,11319.0,11568.0,11235.0,11392.0,292194,78304,26.8
2026-06-09,11450.0,11660.0,11403.0,11611.0,298170,79328,26.6
2026-06-10,11670.0,11944.0,11438.0,11487.0,659488,123552,18.73
2026-06-11,11470.0,11535.0,11285.0,11371.0,387928,108119,27.87
2026-06-12,11545.0,11571.0,11389.0,11546.0,304468,104770,34.41
2026-06-15,11702.0,12075.0,11656.0,11957.0,719320,275530,38.3
2026-06-16,11933.0,12290.0,11822.0,12235.0,1091429,303706,27.83
2026-06-17,12325.0,12888.0,12325.0,12833.0,1686325,455911,27.04
2026-06-18,12860.0,12930.0,12596.0,12666.0,465864,157665,33.84
2026-06-19,12515.0,12600.0,12351.0,12517.0,507450,128779,25.38
2026-06-22,12599.0,12650.0,12262.0,12336.0,502986,136166,27.07
2026-06-23,12340.0,12340.0,11878.0,11932.0,646642,284298,43.97
2026-06-24,11916.0,12139.0,11716.0,12086.0,526816,128150,24.33
2026-06-25,12130.0,12284.0,11965.0,12013.0,413055,154256,37.34
2026-06-25,12130.0,12284.0,11965.0,12030.0,413055,0,0.0
2026-06-29,12017.0,12071.0,11787.0,11805.0,369764,132801,35.91
2026-06-30,11894.0,12210.0,11800.0,11920.0,548928,141684,25.8
