date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,1543.199951171875,1548.0,1496.699951171875,1505.199951171875,1684671,906880,53.83
2026-03-30,1489.0,1512.5999755859375,1466.0,1471.300048828125,1403012,639402,45.57
2026-04-01,1516.800048828125,1538.4000244140625,1499.0999755859375,1508.0999755859375,1101747,488374,44.33
2026-04-02,1480.0,1516.800048828125,1434.0,1508.300048828125,1187230,343762,28.95
2026-04-06,1517.0,1592.0,1493.800048828125,1584.699951171875,2223294,980459,44.1
2026-04-07,1564.199951171875,1611.800048828125,1545.9000244140625,1605.0,893011,264684,29.64
2026-04-08,1698.0,1723.0,1673.5,1702.199951171875,1332784,618274,46.39
2026-04-09,1702.199951171875,1717.5999755859375,1670.800048828125,1695.5,784426,336498,42.9
2026-04-10,1738.0,1751.0999755859375,1705.5999755859375,1716.5,2202543,675818,30.68
2026-04-13,1695.9000244140625,1722.9000244140625,1641.0,1706.800048828125,915224,330127,36.07
2026-04-15,1738.0,1754.199951171875,1719.9000244140625,1739.9000244140625,986674,476670,48.31
2026-04-16,1750.0,1777.4000244140625,1726.0,1747.4000244140625,968573,468424,48.36
2026-04-17,1747.0,1769.0,1734.5,1758.800048828125,676260,274888,40.65
2026-04-20,1764.9000244140625,1774.699951171875,1731.5999755859375,1759.699951171875,768843,311977,40.58
2026-04-21,1770.199951171875,1836.9000244140625,1770.199951171875,1805.0,1578436,426111,27.0
2026-04-22,1810.4000244140625,1849.0,1795.5999755859375,1832.199951171875,1104833,521462,47.2
2026-04-23,1829.0999755859375,1833.0999755859375,1780.4000244140625,1791.0,760833,303554,39.9
2026-04-24,1795.5999755859375,1832.0,1759.800048828125,1769.4000244140625,811597,299085,36.85
2026-04-27,1784.0,1842.4000244140625,1778.0999755859375,1828.199951171875,1096981,525716,47.92
2026-04-28,1829.300048828125,1845.199951171875,1820.0,1824.5999755859375,558117,202290,36.25
2026-04-29,1831.0,1883.800048828125,1831.0,1862.300048828125,860344,313799,36.47
2026-04-30,1863.199951171875,1863.199951171875,1815.5,1835.199951171875,1161254,594078,51.16
2026-05-01,1835.199951171875,1835.199951171875,1835.199951171875,1835.199951171875,0,0,0.0
2026-05-04,1854.9000244140625,1951.9000244140625,1850.199951171875,1899.800048828125,2895216,816335,28.2
2026-05-05,1920.0,1920.0,1805.4000244140625,1809.5,2804012,861654,30.73
2026-05-06,1819.0999755859375,1870.0,1812.699951171875,1867.199951171875,895277,386432,43.16
2026-05-07,1870.0,1890.0,1835.5999755859375,1878.5999755859375,923911,369709,40.02
2026-05-08,1869.9000244140625,1889.199951171875,1847.0,1873.5999755859375,760692,277250,36.45
2026-05-11,1862.0999755859375,1862.0999755859375,1784.0,1794.300048828125,859489,312343,36.34
2026-05-12,1788.0,1791.800048828125,1710.0,1712.4000244140625,844360,369934,43.81
2026-05-13,1710.0,1756.4000244140625,1696.0,1730.5999755859375,741800,283220,38.18
2026-05-14,1740.0,1748.5,1688.199951171875,1733.5,748162,332901,44.5
2026-05-15,1740.0,1740.9000244140625,1705.0,1714.0999755859375,399861,148336,37.1
2026-05-18,1682.199951171875,1696.9000244140625,1644.300048828125,1686.300048828125,642157,226226,35.23
2026-05-19,1689.9000244140625,1744.0,1686.4000244140625,1715.4000244140625,497935,155252,31.18
2026-05-20,1683.9000244140625,1735.0,1676.300048828125,1719.4000244140625,430897,140059,32.5
2026-05-21,1740.0,1762.9000244140625,1717.199951171875,1736.9000244140625,760318,340290,44.76
2026-05-22,1743.300048828125,1751.9000244140625,1710.0999755859375,1732.9000244140625,414841,110658,26.67
2026-05-25,1759.800048828125,1770.5,1750.0,1767.300048828125,352723,137647,39.02
2026-05-26,1777.0,1790.800048828125,1752.0999755859375,1760.199951171875,393643,124594,31.65
2026-05-27,1758.0,1812.300048828125,1752.699951171875,1788.5999755859375,556467,227310,40.85
2026-05-28,1788.5999755859375,1788.5999755859375,1788.5999755859375,1788.5999755859375,0,0,0.0
2026-05-29,1812.5,1834.800048828125,1750.0,1762.699951171875,2150631,1414345,65.76
2026-06-01,1785.0,1793.5999755859375,1708.800048828125,1714.199951171875,539239,219417,40.69
2026-06-02,1701.0,1737.0,1673.5999755859375,1720.5,831566,409703,49.27
2026-06-03,1730.0,1730.0,1665.5,1704.800048828125,689274,257299,37.33
2026-06-04,1698.0999755859375,1722.199951171875,1683.0,1694.300048828125,419328,115720,27.6
2026-06-05,1705.0,1739.0,1695.199951171875,1708.300048828125,639417,178471,27.91
2026-06-08,1691.0,1695.0,1638.0,1654.5999755859375,506107,132322,26.15
2026-06-09,1657.5,1688.0,1656.0,1684.300048828125,351928,116533,33.11
2026-06-10,1684.300048828125,1687.800048828125,1632.9000244140625,1641.5,371125,109897,29.61
2026-06-11,1635.9000244140625,1639.0,1610.0999755859375,1618.0,418358,163488,39.08
2026-06-12,1650.5999755859375,1696.9000244140625,1637.4000244140625,1691.4000244140625,520499,119654,22.99
2026-06-15,1727.0,1795.300048828125,1723.199951171875,1766.199951171875,1093214,393932,36.03
2026-06-16,1780.0,1797.5999755859375,1763.300048828125,1794.5,375321,171433,45.68
2026-06-17,1750.0,1794.800048828125,1739.199951171875,1788.300048828125,662046,181339,27.39
2026-06-18,1780.0,1824.699951171875,1778.0999755859375,1810.199951171875,493124,211273,42.84
2026-06-19,1798.0,1800.5999755859375,1778.0999755859375,1795.9000244140625,462447,200606,43.38
2026-06-22,1799.9000244140625,1818.4000244140625,1793.0,1798.9000244140625,254946,110529,43.35
2026-06-23,1798.9000244140625,1832.0,1785.0,1789.699951171875,830797,350092,42.14
2026-06-24,1788.800048828125,1829.0,1779.0,1820.5999755859375,619976,239074,38.56
2026-06-25,1835.0,1885.0,1832.0,1850.5999755859375,1139451,412946,36.24
2026-06-25,1835.0,1885.0,1832.0,1850.0999755859375,1139451,0,0.0
2026-06-29,1850.0999755859375,1869.300048828125,1825.4000244140625,1830.0999755859375,630680,301535,47.81
2026-06-30,1845.0,1887.5999755859375,1830.199951171875,1866.5999755859375,844270,420229,49.74
2026-07-01,1884.9000244140625,1971.0,1873.800048828125,1959.5999755859375,1012950,0,0.0
2026-07-02,1962.0,1983.4000244140625,1946.5999755859375,1968.699951171875,572960,262904,45.89
2026-07-03,1980.0,2002.5999755859375,1970.5,1996.4000244140625,1001474,524628,52.37
