date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,28185.0,28185.0,26970.0,27030.0,5996,3755,62.63
2026-03-30,26990.0,27030.0,26220.0,26325.0,6607,3470,52.52
2026-04-01,27245.0,27695.0,26615.0,27290.0,3613,1368,37.86
2026-04-02,27000.0,27350.0,26545.0,26885.0,8397,4977,59.27
2026-04-06,27250.0,27555.0,26575.0,27485.0,4654,1677,36.03
2026-04-07,27650.0,27650.0,27000.0,27215.0,6000,3101,51.68
2026-04-08,28000.0,28395.0,27000.0,27150.0,24216,14610,60.33
2026-04-09,27550.0,28250.0,27300.0,27760.0,10484,4865,46.4
2026-04-10,27760.0,28670.0,27760.0,28585.0,9288,4855,52.27
2026-04-13,28105.0,29450.0,27780.0,29300.0,10714,4230,39.48
2026-04-15,29325.0,30565.0,29325.0,30500.0,13368,7621,57.01
2026-04-16,30655.0,31955.0,30655.0,31840.0,13916,5807,41.73
2026-04-17,31895.0,32900.0,31800.0,32785.0,11733,4759,40.56
2026-04-20,33085.0,33100.0,32225.0,32555.0,5496,2283,41.54
2026-04-21,32395.0,32695.0,32235.0,32620.0,3850,1767,45.9
2026-04-22,32500.0,32795.0,32205.0,32705.0,3502,1478,42.2
2026-04-23,32700.0,32850.0,32400.0,32650.0,3571,1611,45.11
2026-04-24,32805.0,32880.0,31215.0,31365.0,5020,2377,47.35
2026-04-27,31365.0,31895.0,31295.0,31850.0,2578,1194,46.31
2026-04-28,31900.0,32005.0,31150.0,31255.0,1921,957,49.82
2026-04-29,31415.0,31695.0,31075.0,31575.0,2497,1266,50.7
2026-04-30,31550.0,31550.0,30855.0,31030.0,2138,991,46.35
2026-05-04,31400.0,31400.0,30945.0,31190.0,2058,901,43.78
2026-05-05,31495.0,31495.0,30560.0,30685.0,2469,1049,42.49
2026-05-06,31210.0,31210.0,30000.0,30180.0,6660,4285,64.34
2026-05-07,30310.0,30970.0,30255.0,30605.0,12743,7829,61.44
2026-05-08,30650.0,30885.0,30110.0,30170.0,2514,1339,53.26
2026-05-11,30155.0,30155.0,29250.0,29340.0,4926,3014,61.19
2026-05-12,29340.0,29540.0,28100.0,28455.0,5037,2892,57.42
2026-05-13,28450.0,28860.0,28000.0,28215.0,4851,2391,49.29
2026-05-14,28455.0,28810.0,28260.0,28720.0,2111,981,46.47
2026-05-15,28725.0,29435.0,28540.0,28975.0,2989,1634,54.67
2026-05-18,28950.0,28950.0,28150.0,28685.0,2886,1201,41.61
2026-05-19,28685.0,29265.0,28685.0,29075.0,2128,1289,60.57
2026-05-20,29075.0,30380.0,28540.0,30180.0,15569,8597,55.22
2026-05-21,31500.0,35735.0,31385.0,34965.0,190673,24373,12.78
2026-05-22,34900.0,36550.0,34605.0,35405.0,61734,10026,16.24
2026-05-25,35245.0,35540.0,34000.0,34405.0,21296,6995,32.85
2026-05-26,34550.0,35895.0,34550.0,35570.0,21366,6702,31.37
2026-05-27,36000.0,36400.0,35635.0,36180.0,11755,4054,34.49
2026-05-28,36180.0,36180.0,36180.0,36180.0,0,0,0.0
2026-05-29,36300.0,36500.0,35300.0,35520.0,11346,4430,39.04
2026-06-01,35700.0,36195.0,34970.0,35070.0,4667,1494,32.01
2026-06-02,35070.0,36035.0,34740.0,34895.0,29968,23779,79.35
2026-06-03,35180.0,35295.0,34260.0,34750.0,4528,1496,33.04
2026-06-04,34910.0,35180.0,34355.0,34485.0,3125,1062,33.98
2026-06-05,34800.0,34970.0,34240.0,34700.0,4364,1408,32.26
2026-06-08,34300.0,35840.0,34300.0,34540.0,10161,3184,31.34
2026-06-09,34800.0,35250.0,34780.0,35125.0,3132,1127,35.98
2026-06-10,35250.0,36700.0,34950.0,36130.0,13857,5548,40.04
2026-06-11,36130.0,36420.0,35025.0,35230.0,5455,1906,34.94
2026-06-12,35455.0,36400.0,35455.0,36160.0,5576,1615,28.96
2026-06-15,36395.0,37095.0,35770.0,35905.0,4789,2093,43.7
2026-06-16,36260.0,36720.0,35905.0,36620.0,4462,1626,36.44
2026-06-17,36700.0,37150.0,36065.0,36380.0,5052,1725,34.14
2026-06-18,36740.0,37490.0,36500.0,37170.0,6140,2589,42.17
2026-06-19,37170.0,37750.0,36955.0,37460.0,6229,3394,54.49
2026-06-22,37800.0,38450.0,37500.0,38355.0,5678,2354,41.46
2026-06-23,38300.0,39280.0,38100.0,38205.0,7134,2561,35.9
2026-06-24,38500.0,39535.0,38400.0,39015.0,9009,3643,40.44
2026-06-25,39015.0,39650.0,39000.0,39405.0,4985,1973,39.58
2026-06-25,39015.0,39650.0,39000.0,39410.0,4985,0,0.0
2026-06-29,39600.0,39840.0,38780.0,39020.0,6541,3537,54.07
2026-06-30,39000.0,39900.0,39000.0,39735.0,4430,2380,53.71
2026-07-01,39850.0,40480.0,39450.0,39655.0,7055,0,0.0
2026-07-02,39955.0,39995.0,39280.0,39545.0,3824,2380,62.22
2026-07-03,39700.0,39700.0,39465.0,39515.0,2550,1426,55.92
2026-07-06,39515.0,39600.0,38385.0,38515.0,2880,1388,48.19
2026-07-07,38700.0,38895.0,37875.0,38140.0,2824,1039,36.79
2026-07-13,38165.0,38300.0,37580.0,38215.0,6739,4270,63.36
2026-07-15,38450.0,39705.0,38125.0,39540.0,4486,2254,50.25
2026-07-20,39120.0,39120.0,38090.0,38215.0,2962,1334,45.02
2026-07-21,38300.0,38950.0,38170.0,38575.0,5192,3173,61.11
2026-07-23,38100.0,38200.0,37670.0,37905.0,4808,3308,68.8
2026-07-27,37650.0,38155.0,37325.0,37525.0,2166,1019,47.05
2026-07-28,37525.0,37735.0,37280.0,37510.0,861,409,47.5
2026-07-29,37530.0,41495.0,37480.0,40105.0,55504,12466,22.46
2026-07-30,40050.0,40280.0,39300.0,39505.0,14731,7597,51.57
2026-07-31,39750.0,39865.0,38000.0,38155.0,10140,4229,41.71
2026-08-03,38355.0,38945.0,38255.0,38570.0,3671,1397,38.04
2026-08-04,38720.0,38720.0,38055.0,38190.0,3043,1516,49.7
2026-08-06,38325.0,38695.0,38235.0,38340.0,1591,1372,53.03
