date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,2859.896409012596,2895.757179031563,2809.7908955968132,2863.083984375,689368,491585,71.31
2026-03-30,2807.101469950529,2862.884891638687,2727.4108675388743,2790.665283203125,331535,147924,44.62
2026-04-01,2864.777245676722,2882.8073404890947,2748.1302804780207,2845.950439453125,557898,247093,44.29
2026-04-02,2830.410874431661,2860.394560873485,2731.395398194357,2833.2998046875,531617,303665,57.12
2026-04-06,2820.5491354539745,2922.6527153176626,2785.9833868125734,2894.262939453125,439271,194114,44.19
2026-04-07,2891.772648902624,3043.184788976065,2871.152754781905,2998.65771484375,460850,241142,52.33
2026-04-08,3161.425767209888,3176.666643584147,3083.030185604558,3111.619140625,1032494,632081,61.22
2026-04-09,3147.1808252246838,3262.3338359176196,3118.0938057696762,3238.5263671875,1193723,796039,66.69
2026-04-10,3262.333855652207,3416.7343892784947,3179.6548602265175,3372.406494140625,902003,467372,51.81
2026-04-13,3335.6493215614946,3387.049611638693,3262.33387371636,3340.5302734375,544470,306167,56.23
2026-04-15,3366.927789251688,3383.8620414461493,3162.8203409628927,3208.542724609375,2401037,1244722,51.84
2026-04-16,3234.4421511377595,3296.202364679657,3199.6772249870924,3281.858154296875,816006,484940,59.43
2026-04-17,3291.221646702204,3366.927713636032,3247.3918184773565,3325.986572265625,647654,365767,56.48
2026-04-20,3325.986733120925,3375.99277957121,3259.4452761548932,3282.953857421875,381441,175453,46.0
2026-04-21,3307.1598365653203,3527.205404316059,3295.903490891946,3496.225830078125,794016,418045,52.65
2026-04-22,3510.2711211982833,3583.5865684243167,3396.0147752862736,3419.125,445062,210916,47.39
2026-04-23,3416.634658130398,3441.6376803807557,3309.152062004304,3331.46533203125,261332,132990,50.89
2026-04-24,3347.304006187544,3385.8542843515597,3266.41809781319,3280.66259765625,291192,135467,46.52
2026-04-27,3317.0214636720475,3336.0476914092296,3242.5109483702868,3264.82421875,174794,83454,47.74
2026-04-28,3287.237263799054,3311.9413985420383,3265.8204149591506,3287.0380859375,157056,94324,60.06
2026-04-29,3282.2566463339354,3322.99836903566,3255.560246216124,3289.6279296875,264976,169751,64.06
2026-04-30,3296.2024372657943,3296.999391903811,3252.173429474992,3277.47509765625,192827,113007,58.61
2026-05-01,3277.47509765625,3277.47509765625,3277.47509765625,3277.47509765625,0,0,0.0
2026-05-04,3284.2488000312974,3311.044666574646,3247.889964362161,3263.62890625,186708,94187,50.45
2026-05-05,3264.3261758827807,3289.2294881797197,3209.7380666886083,3276.77783203125,366824,236543,64.48
2026-05-06,3288.3330736248513,3316.6231391793535,3267.3145807203123,3280.364013671875,125479,69364,55.28
2026-05-07,3295.6047032492165,3304.171540125333,3230.158845893252,3288.9306640625,313853,155495,49.54
2026-05-08,3288.930487967163,3293.2139061758794,3203.5619849551204,3220.595947265625,187466,105153,56.09
2026-05-11,3198.681237762716,3223.4848402748926,3138.813575928982,3190.214111328125,220777,119202,53.99
2026-05-12,3187.6240122307254,3265.3223475288496,3143.495293672124,3171.586181640625,335673,220495,65.69
2026-05-13,3171.5862527400454,3271.199505355348,3154.851420857809,3261.337890625,133849,66836,49.93
2026-05-14,3261.337750133865,3272.1954969226385,3179.256530793298,3231.055419921875,199836,96913,48.5
2026-05-15,3221.0940903175488,3276.5786209126413,3179.1568155566315,3187.2255859375,233237,121557,52.12
2026-05-18,3137.817391003526,3151.6635355455796,3078.049440698697,3121.281494140625,735848,567554,77.13
2026-05-19,3132.9365177306513,3160.728518042181,3080.0417831031905,3087.9111328125,264398,154014,58.25
2026-05-20,3068.087963463725,3136.7213923808304,3031.5299509799142,3125.265869140625,208375,101109,48.52
2026-05-21,3142.7981200324643,3237.330999486411,3139.8097224539865,3187.3251953125,262149,130666,49.84
2026-05-22,3187.5243298455193,3242.411328569298,3177.6627152491737,3217.308837890625,233815,148050,63.32
2026-05-25,3247.3918090607403,3350.9895845645187,3247.3918090607403,3331.26611328125,432773,268768,62.1
2026-05-26,3342.0245879809236,3393.5245903695436,3328.1784433003436,3347.60302734375,229982,141094,61.35
2026-05-27,3330.0708636428562,3491.145436197428,3251.8744643619816,3423.906494140625,672004,408267,60.75
2026-05-28,3423.906494140625,3423.906494140625,3423.906494140625,3423.906494140625,0,0,0.0
2026-05-29,3436.6572129013884,3597.034549503453,3372.7055534049414,3524.81494140625,680397,439350,64.57
2026-06-01,3486.463657313732,3523.220848307992,3279.9653469141263,3318.515625,381969,234171,61.31
2026-06-02,3311.1445076408127,3375.8931216590595,3287.237327080229,3309.251953125,261473,154285,59.01
2026-06-03,3315.1289146379067,3361.847430970076,3217.5079309736893,3329.97119140625,329221,171613,52.13
2026-06-04,3324.9906161252206,3361.3494528307056,3289.6279119322144,3301.38232421875,172335,89504,51.94
2026-06-05,3332.0632926116687,3366.9279309499075,3227.4693775969527,3236.4345703125,451485,295729,65.5
2026-06-08,3227.4692459071052,3276.18002706214,3213.2245027565673,3220.994384765625,290247,187950,64.76
2026-06-09,3257.353146557737,3296.999267133714,3225.4769078146646,3235.438232421875,319892,202606,63.34
2026-06-10,3232.450035110741,3325.4887154221105,3182.643408991931,3191.409423828125,355234,203725,57.35
2026-06-11,3217.2091631349317,3253.767178115215,3183.6395457257304,3193.800048828125,320686,192388,59.99
2026-06-12,3290.0,3330.199951171875,3210.0,3238.800048828125,721491,472275,65.46
2026-06-15,3294.39990234375,3313.800048828125,3250.300048828125,3269.199951171875,558862,393296,70.37
2026-06-16,3296.0,3296.0,3227.60009765625,3245.39990234375,731743,498295,68.1
2026-06-17,3246.0,3316.89990234375,3218.39990234375,3250.5,2889650,2523963,87.34
2026-06-18,3277.89990234375,3455.0,3271.699951171875,3431.699951171875,723666,376306,52.0
2026-06-19,3430.0,3568.0,3332.0,3429.0,4005867,2730232,68.16
2026-06-22,3418.0,3465.39990234375,3403.60009765625,3416.699951171875,341853,197631,57.81
2026-06-23,3486.0,3486.0,3380.89990234375,3399.199951171875,251843,171178,67.97
2026-06-24,3390.10009765625,3404.800048828125,3350.10009765625,3359.60009765625,118238,58041,49.09
2026-06-25,3364.89990234375,3381.0,3315.0,3326.89990234375,271772,140989,51.87
2026-06-25,3364.89990234375,3381.0,3315.0,3315.0,271772,0,0.0
2026-06-29,3329.89990234375,3380.0,3255.5,3282.300048828125,526820,325616,61.81
2026-06-30,3295.0,3347.0,3255.0,3319.60009765625,449632,254613,56.62
2026-07-01,3313.89990234375,3428.300048828125,3312.0,3406.0,233973,0,0.0
2026-07-02,3406.199951171875,3418.10009765625,3355.0,3360.39990234375,78778,40186,50.99
2026-07-03,3370.89990234375,3381.89990234375,3326.0,3334.800048828125,127414,89468,70.08
2026-07-06,3344.800048828125,3360.800048828125,3276.0,3295.199951171875,218121,122640,56.22
2026-07-07,3299.199951171875,3309.89990234375,3194.0,3201.89990234375,320013,199492,62.3
