date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,423.6000061035156,429.5,419.25,426.29998779296875,6160559,3899897,63.3
2026-03-30,425.04998779296875,429.0,415.5,418.1499938964844,8737012,4649952,53.22
2026-04-01,436.79998779296875,436.79998779296875,420.8500061035156,423.25,4689273,2724044,58.09
2026-04-02,417.70001220703125,426.3500061035156,409.54998779296875,424.8500061035156,3693968,1882045,50.95
2026-04-06,422.0,432.54998779296875,420.79998779296875,425.5,3868647,1744781,45.1
2026-04-07,422.0,426.79998779296875,419.3999938964844,423.1499938964844,3134435,1692887,54.01
2026-04-08,433.0,442.95001220703125,430.6000061035156,440.95001220703125,3295745,1534435,46.56
2026-04-09,442.70001220703125,442.70001220703125,432.8500061035156,438.45001220703125,3485937,1449470,41.58
2026-04-10,438.0,443.20001220703125,433.8500061035156,437.8500061035156,4687274,2500321,53.34
2026-04-13,430.0,440.5,425.6000061035156,438.45001220703125,2764767,1641333,59.37
2026-04-15,434.5,436.8999938964844,419.1499938964844,420.25,10073376,4423130,43.91
2026-04-16,421.5,424.70001220703125,412.25,413.1499938964844,9807849,6499375,66.27
2026-04-17,413.1499938964844,416.6000061035156,409.0,412.25,10614267,7193416,67.77
2026-04-20,412.5,413.8500061035156,403.6000061035156,405.79998779296875,8774694,5933109,67.62
2026-04-21,403.1000061035156,419.6000061035156,403.1000061035156,414.75,7884039,4552087,57.74
2026-04-22,414.75,418.6000061035156,406.5,408.1499938964844,5628398,3150734,55.98
2026-04-23,405.1499938964844,408.29998779296875,400.95001220703125,404.70001220703125,7560920,4659578,61.63
2026-04-24,405.8999938964844,406.6000061035156,395.6499938964844,402.20001220703125,5743207,2880287,50.15
2026-04-27,403.45001220703125,407.5,399.5,402.29998779296875,3382004,1927580,57.0
2026-04-28,411.0,419.04998779296875,409.6000061035156,413.95001220703125,9680019,3011025,31.11
2026-04-29,419.0,421.8500061035156,411.54998779296875,413.8999938964844,10438131,5706610,54.67
2026-04-30,413.0,413.8999938964844,407.0,409.95001220703125,4414903,2404490,54.46
2026-05-01,409.95001220703125,409.95001220703125,409.95001220703125,409.95001220703125,0,0,0.0
2026-05-04,414.54998779296875,415.0,390.79998779296875,400.25,12554778,4504816,35.88
2026-05-05,400.3999938964844,407.54998779296875,396.45001220703125,402.70001220703125,4591107,1873999,40.82
2026-05-06,406.1499938964844,412.8999938964844,404.45001220703125,408.29998779296875,5652180,2910554,51.49
2026-05-07,410.45001220703125,411.79998779296875,399.6000061035156,402.8999938964844,10362390,6564130,63.35
2026-05-08,403.8999938964844,406.54998779296875,397.6000061035156,404.29998779296875,11930810,7720673,64.71
2026-05-11,402.79998779296875,415.45001220703125,396.5,410.6499938964844,8534318,3671148,43.02
2026-05-12,411.79998779296875,411.8500061035156,400.0,400.79998779296875,6090311,3694710,60.67
2026-05-13,402.0,416.70001220703125,399.6499938964844,413.20001220703125,6032427,2538803,42.09
2026-05-14,415.95001220703125,425.1000061035156,415.0,422.3500061035156,9290441,4879085,52.52
2026-05-15,424.70001220703125,434.20001220703125,420.95001220703125,430.1499938964844,7749990,3741649,48.28
2026-05-18,425.0,434.54998779296875,421.8999938964844,430.8999938964844,12099517,6469536,53.47
2026-05-19,432.0,439.3999938964844,427.25,430.70001220703125,5642333,2527542,44.8
2026-05-20,427.5,431.0,424.25,427.8500061035156,4234164,2418734,57.12
2026-05-21,431.0,439.1000061035156,429.29998779296875,431.79998779296875,7212754,4389567,60.86
2026-05-22,433.0,434.6499938964844,430.1000061035156,432.04998779296875,3905979,2490909,63.77
2026-05-25,435.0,442.0,430.04998779296875,438.8500061035156,4332999,2661293,61.42
2026-05-26,441.3999938964844,443.04998779296875,430.54998779296875,433.25,10396696,5368685,51.64
2026-05-27,433.8500061035156,439.79998779296875,432.5,436.25,4909748,3222776,65.64
2026-05-28,436.25,436.25,436.25,436.25,0,0,0.0
2026-05-29,438.0,449.3999938964844,432.1000061035156,442.04998779296875,14310382,9323664,65.15
2026-06-01,443.70001220703125,446.3999938964844,429.45001220703125,431.45001220703125,9802918,3862947,39.41
