date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,1594.699951171875,1619.5,1548.199951171875,1586.0,327103,165503,50.6
2026-03-30,1594.0,1613.9000244140625,1553.699951171875,1601.199951171875,450008,218334,48.52
2026-04-01,1602.0,1620.0,1500.300048828125,1508.199951171875,527064,260214,49.37
2026-04-02,1504.9000244140625,1509.0,1432.5,1488.300048828125,196356,52400,26.69
2026-04-06,1466.0,1485.699951171875,1426.0,1456.0,234598,95409,40.67
2026-04-07,1439.0,1475.5999755859375,1414.0,1442.199951171875,83654,28265,33.79
2026-04-08,1463.5,1466.0,1427.199951171875,1445.0,375454,246263,65.59
2026-04-09,1443.699951171875,1464.9000244140625,1442.5,1449.9000244140625,82607,30454,36.87
2026-04-10,1456.0,1466.0,1450.300048828125,1456.199951171875,79984,35229,44.05
2026-04-13,1436.0,1468.0,1431.4000244140625,1451.0,96475,44686,46.32
2026-04-15,1471.699951171875,1473.699951171875,1444.0999755859375,1470.9000244140625,191431,85864,44.85
2026-04-16,1474.5,1490.0,1453.4000244140625,1461.4000244140625,187941,98652,52.49
2026-04-17,1461.0,1475.0,1456.199951171875,1468.300048828125,114570,68677,59.94
2026-04-20,1460.0,1488.9000244140625,1447.699951171875,1468.5999755859375,168951,91354,54.07
2026-04-21,1469.9000244140625,1491.0,1462.0999755859375,1476.5,199229,129504,65.0
2026-04-22,1476.5,1514.0,1466.5,1494.800048828125,310159,185067,59.67
2026-04-23,1494.5999755859375,1541.0999755859375,1486.300048828125,1526.0999755859375,248305,92679,37.32
2026-04-24,1535.0,1573.199951171875,1516.0,1555.9000244140625,230855,72914,31.58
2026-04-27,1557.0999755859375,1585.9000244140625,1528.5,1541.300048828125,240783,137678,57.18
2026-04-28,1548.0,1573.9000244140625,1530.199951171875,1537.0,99425,49061,49.34
2026-04-29,1542.800048828125,1552.0999755859375,1522.5999755859375,1542.0999755859375,128566,61413,47.77
2026-04-30,1542.0999755859375,1590.0,1524.300048828125,1530.9000244140625,348783,151909,43.55
2026-05-01,1530.9000244140625,1530.9000244140625,1530.9000244140625,1530.9000244140625,0,0,0.0
2026-05-04,1538.0,1574.0999755859375,1525.0,1530.0,127756,52075,40.76
2026-05-05,1535.0,1559.0,1513.5999755859375,1541.800048828125,183380,99240,54.12
2026-05-06,1548.0,1581.0,1542.0,1564.4000244140625,241418,173295,71.78
2026-05-07,1572.199951171875,1590.4000244140625,1555.0999755859375,1560.0999755859375,97347,42955,44.13
2026-05-08,1560.0999755859375,1610.5,1545.5999755859375,1552.5999755859375,247633,114326,46.17
2026-05-11,1557.199951171875,1569.0,1525.199951171875,1535.0,533066,376034,70.54
2026-05-12,1535.0,1544.800048828125,1499.0,1509.0999755859375,507486,317366,62.54
2026-05-13,1518.0,1538.9000244140625,1494.0,1506.300048828125,251461,127092,50.54
2026-05-14,1510.0,1593.800048828125,1510.0,1583.9000244140625,543561,305752,56.25
2026-05-15,1592.699951171875,1654.699951171875,1584.800048828125,1605.0,1114457,481975,43.25
2026-05-18,1585.0,1658.0,1585.0,1646.300048828125,634585,289066,45.55
2026-05-19,1651.0,1662.199951171875,1634.0,1656.199951171875,256508,128875,50.24
2026-05-20,1647.9000244140625,1678.300048828125,1635.300048828125,1646.5999755859375,273088,153285,56.13
2026-05-21,1650.0,1660.0,1619.0,1637.0,220532,124076,56.26
2026-05-22,1648.5,1648.5,1596.5,1602.0999755859375,100242,45067,44.96
2026-05-25,1609.9000244140625,1617.800048828125,1565.199951171875,1571.0,109349,48120,44.01
2026-05-26,1566.199951171875,1599.9000244140625,1565.5999755859375,1578.0,136241,59501,43.67
2026-05-27,1577.0,1592.4000244140625,1567.0,1572.4000244140625,74100,31968,43.14
2026-05-28,1572.4000244140625,1572.4000244140625,1572.4000244140625,1572.4000244140625,0,0,0.0
2026-05-29,1576.9000244140625,1618.699951171875,1482.9000244140625,1524.4000244140625,979166,299751,30.61
2026-06-01,1530.0,1564.199951171875,1477.0999755859375,1490.4000244140625,270268,133681,49.46
2026-06-02,1510.0,1518.0,1470.0,1507.699951171875,383375,232831,60.73
2026-06-03,1507.699951171875,1562.0999755859375,1499.0999755859375,1554.699951171875,274172,134533,49.07
2026-06-04,1554.699951171875,1626.9000244140625,1538.0999755859375,1614.0,396358,231608,58.43
2026-06-05,1614.9000244140625,1650.5999755859375,1610.300048828125,1641.9000244140625,242278,105312,43.47
2026-06-08,1610.0,1668.0,1610.0,1649.4000244140625,924718,744941,80.56
2026-06-09,1649.4000244140625,1670.0,1626.0,1634.0,116776,55350,47.4
2026-06-10,1641.5,1658.9000244140625,1621.0,1630.199951171875,172179,110064,63.92
2026-06-11,1630.199951171875,1642.0,1606.199951171875,1613.5999755859375,86082,40179,46.68
2026-06-12,1629.800048828125,1640.0,1568.5999755859375,1583.0,131987,69645,52.77
2026-06-15,1613.0,1613.0,1566.0,1575.699951171875,118009,58721,49.76
2026-06-16,1575.5999755859375,1583.9000244140625,1545.0,1550.199951171875,83984,38275,45.57
2026-06-17,1554.9000244140625,1558.699951171875,1532.5999755859375,1538.699951171875,94273,44124,46.8
2026-06-18,1546.0,1551.0,1530.0,1543.5999755859375,125608,78803,62.74
2026-06-19,1551.0,1609.0999755859375,1542.5,1585.800048828125,262446,77961,29.71
2026-06-22,1603.0,1604.9000244140625,1582.4000244140625,1597.300048828125,86624,44704,51.61
2026-06-23,1611.0999755859375,1641.4000244140625,1599.9000244140625,1625.0,179904,83411,46.36
2026-06-24,1615.0,1639.0,1602.5999755859375,1621.199951171875,116670,53660,45.99
2026-06-25,1627.300048828125,1655.0,1606.0,1618.300048828125,167145,83869,50.18
2026-06-25,1627.300048828125,1655.0,1606.0,1619.9000244140625,167145,0,0.0
2026-06-29,1618.300048828125,1664.9000244140625,1616.0,1647.199951171875,333842,167936,50.3
2026-06-30,1649.0,1736.0,1635.800048828125,1701.0,918913,441588,48.05
2026-07-01,1719.800048828125,1766.699951171875,1681.699951171875,1696.4000244140625,222137,0,0.0
2026-07-02,1714.9000244140625,1724.699951171875,1691.0999755859375,1719.4000244140625,172457,103584,60.06
2026-07-03,1729.0,1788.300048828125,1719.4000244140625,1778.9000244140625,571444,285966,50.04
2026-07-06,1798.5,1812.5,1760.4000244140625,1782.4000244140625,393646,253758,64.46
2026-07-07,1770.0,1800.0,1767.5,1793.0999755859375,139834,84091,60.13
2026-07-13,1787.9000244140625,1838.5,1760.0,1823.300048828125,341667,169749,49.68
2026-07-15,1840.0,1881.4000244140625,1820.5,1878.0,291470,141780,48.64
2026-07-20,1901.0,1928.300048828125,1821.5,1838.5999755859375,301622,159374,52.82
2026-07-21,1830.0,1844.9000244140625,1785.0999755859375,1799.0,437797,332792,76.01
2026-07-23,1788.0,1797.300048828125,1760.5,1771.199951171875,162964,90418,55.48
2026-07-27,1762.699951171875,1800.0,1749.5999755859375,1777.5999755859375,119637,56917,47.56
2026-07-28,1790.0,1804.199951171875,1725.0,1789.0,238234,110955,46.57
2026-07-29,1780.0999755859375,1808.0,1760.0,1774.5,155849,80032,51.35
