date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,1135.9000244140625,1154.699951171875,1122.4000244140625,1131.4000244140625,1840045,933907,50.75
2026-03-30,1117.0,1133.800048828125,1106.9000244140625,1113.0999755859375,1729076,772189,44.66
2026-04-01,1131.0,1158.300048828125,1126.4000244140625,1137.4000244140625,1544180,804421,52.09
2026-04-02,1131.0,1146.300048828125,1093.800048828125,1137.9000244140625,1485498,633426,42.64
2026-04-06,1131.0,1156.4000244140625,1101.300048828125,1134.0,4716546,2633554,55.84
2026-04-07,1124.0999755859375,1173.9000244140625,1124.0999755859375,1168.199951171875,1729304,746474,43.17
2026-04-08,1190.0,1223.0999755859375,1188.9000244140625,1213.0999755859375,1573122,565668,35.96
2026-04-09,1213.300048828125,1229.699951171875,1194.800048828125,1199.5999755859375,1807078,837378,46.34
2026-04-10,1207.0,1223.0999755859375,1196.5,1219.199951171875,1632332,853816,52.31
2026-04-13,1205.0,1230.300048828125,1185.5,1218.5,1075242,309721,28.8
2026-04-15,1234.0,1249.5,1211.0,1221.300048828125,1190536,489238,41.09
2026-04-16,1226.0,1242.0,1219.5,1228.300048828125,1381465,716258,51.85
2026-04-17,1228.300048828125,1284.0,1207.9000244140625,1270.0,2860655,1226583,42.88
2026-04-20,1274.9000244140625,1297.5,1250.0,1287.699951171875,1852542,811996,43.83
2026-04-21,1290.0,1306.199951171875,1277.300048828125,1288.800048828125,1197265,463752,38.73
2026-04-22,1289.0,1298.4000244140625,1272.300048828125,1278.5999755859375,1550115,766029,49.42
2026-04-23,1278.5999755859375,1279.9000244140625,1251.699951171875,1254.5,843109,395396,46.9
2026-04-24,1252.199951171875,1273.0999755859375,1237.300048828125,1256.0,1161639,431687,37.16
2026-04-27,1257.9000244140625,1293.5999755859375,1257.5999755859375,1278.199951171875,1150764,439259,38.17
2026-04-28,1283.5,1290.5,1262.5,1265.5,858544,402159,46.84
2026-04-29,1270.9000244140625,1270.9000244140625,1224.5,1228.0999755859375,1069141,354076,33.12
2026-04-30,1224.0,1234.4000244140625,1201.0999755859375,1223.0999755859375,878441,311129,35.42
2026-05-01,1223.0999755859375,1223.0999755859375,1223.0999755859375,1223.0999755859375,0,0,0.0
2026-05-04,1245.0,1278.9000244140625,1234.0999755859375,1261.4000244140625,4141121,2202310,53.18
2026-05-05,1263.0999755859375,1283.300048828125,1254.699951171875,1261.199951171875,2181399,909554,41.7
2026-05-06,1272.0,1283.5999755859375,1250.0,1264.300048828125,1985427,1140939,57.47
2026-05-07,1273.0,1284.4000244140625,1254.199951171875,1258.199951171875,992992,416391,41.93
2026-05-08,1258.199951171875,1260.0,1239.199951171875,1248.4000244140625,995187,459271,46.15
2026-05-11,1250.0,1256.0,1230.199951171875,1232.0,699510,257821,36.86
2026-05-12,1233.0999755859375,1242.800048828125,1211.0999755859375,1214.300048828125,1177173,542521,46.09
2026-05-13,1219.0,1258.0,1216.0999755859375,1242.9000244140625,1024817,393777,38.42
2026-05-14,1253.0999755859375,1258.4000244140625,1237.199951171875,1252.800048828125,1111090,522464,47.02
2026-05-15,1255.0,1259.0,1225.699951171875,1232.0,1171259,480906,41.06
2026-05-18,1229.199951171875,1246.300048828125,1200.699951171875,1231.800048828125,923644,307739,33.32
2026-05-19,1237.0,1237.699951171875,1221.199951171875,1226.300048828125,634511,338814,53.4
2026-05-20,1215.0,1244.0,1200.9000244140625,1223.0999755859375,1117681,473793,42.39
2026-05-21,1243.0,1243.0,1194.0,1196.800048828125,963285,378731,39.32
2026-05-22,1198.5999755859375,1212.4000244140625,1192.300048828125,1209.9000244140625,805924,366823,45.52
2026-05-25,1224.4000244140625,1224.4000244140625,1209.0999755859375,1212.300048828125,323348,113487,35.1
2026-05-26,1212.300048828125,1226.300048828125,1205.0,1222.9000244140625,477830,155336,32.51
2026-05-27,1225.0,1254.9000244140625,1211.0,1220.5999755859375,1184467,267728,22.6
2026-05-28,1220.5999755859375,1220.5999755859375,1220.5999755859375,1220.5999755859375,0,0,0.0
2026-05-29,1227.0,1230.5,1191.699951171875,1207.199951171875,4256869,2639963,62.02
2026-06-01,1219.0,1222.9000244140625,1203.0999755859375,1209.800048828125,451079,142505,31.59
2026-06-02,1199.699951171875,1217.5,1196.699951171875,1203.4000244140625,478492,163091,34.08
2026-06-03,1213.199951171875,1218.9000244140625,1190.0,1211.300048828125,489001,144247,29.5
2026-06-04,1210.800048828125,1213.5999755859375,1195.0,1197.199951171875,611274,318657,52.13
2026-06-05,1199.4000244140625,1204.699951171875,1165.4000244140625,1181.300048828125,1034889,343023,33.15
2026-06-08,1165.0,1181.9000244140625,1150.0999755859375,1156.300048828125,610979,220732,36.13
2026-06-09,1157.800048828125,1168.4000244140625,1143.5,1149.9000244140625,745517,352340,47.26
2026-06-10,1147.0,1147.5999755859375,1118.300048828125,1121.0999755859375,1344851,499741,37.16
2026-06-11,1119.0,1137.300048828125,1109.5,1121.300048828125,914820,322602,35.26
2026-06-12,1140.0,1150.9000244140625,1128.0999755859375,1148.5,448591,136909,30.52
2026-06-15,1156.5999755859375,1168.4000244140625,1142.5999755859375,1149.5,2612316,2000083,76.56
2026-06-16,1149.5,1152.9000244140625,1120.5999755859375,1139.800048828125,810919,291292,35.92
2026-06-17,1139.800048828125,1142.300048828125,1123.5999755859375,1135.800048828125,1869441,1305562,69.84
2026-06-18,1136.0,1147.800048828125,1126.4000244140625,1131.9000244140625,1279545,706080,55.18
2026-06-19,1131.9000244140625,1143.0,1122.0999755859375,1137.699951171875,1345823,725410,53.9
2026-06-22,1146.5,1150.0,1125.9000244140625,1132.0,2311665,1312840,56.79
2026-06-23,1131.0,1131.9000244140625,1076.199951171875,1082.5999755859375,2645410,1408753,53.25
2026-06-24,1076.0,1096.5999755859375,1064.5,1089.699951171875,1420573,736069,51.81
2026-06-25,1089.699951171875,1093.0,1056.300048828125,1059.5,3101349,2045411,65.95
2026-06-25,1089.699951171875,1093.0,1056.300048828125,1061.0,3101349,0,0.0
2026-06-29,1059.5999755859375,1081.300048828125,1056.5999755859375,1068.0999755859375,1128905,507333,44.94
2026-06-30,1068.800048828125,1075.0,1054.4000244140625,1060.0999755859375,1062130,541276,50.96
2026-07-01,1045.5,1049.300048828125,1024.199951171875,1028.800048828125,3331171,0,0.0
2026-07-02,1034.0,1049.9000244140625,1033.0,1043.800048828125,816265,392711,48.11
2026-07-03,1052.4000244140625,1073.800048828125,1051.0,1054.0,932823,234529,25.14
2026-07-06,1058.5,1065.5,1045.9000244140625,1059.5,1284321,775547,60.38
2026-07-07,1053.9000244140625,1053.9000244140625,1027.300048828125,1035.4000244140625,1217564,553568,45.46
