date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,722.7999877929688,727.7000122070312,698.5,711.3499755859375,1187748,674305,56.77
2026-03-30,708.0999755859375,737.5,697.0499877929688,710.9500122070312,1444365,555283,38.44
2026-04-01,734.9500122070312,734.9500122070312,701.0,704.8499755859375,1200897,676088,56.3
2026-04-02,704.8499755859375,722.8499755859375,690.1500244140625,717.7999877929688,841259,343421,40.82
2026-04-06,717.7999877929688,730.75,713.3499755859375,725.0,885053,434564,49.1
2026-04-07,720.0,736.9000244140625,716.0,720.5,565074,314279,55.62
2026-04-08,739.5,764.6500244140625,735.0,753.4000244140625,582752,246137,42.24
2026-04-09,757.0,764.7000122070312,748.0,757.0999755859375,823506,429086,52.1
2026-04-10,764.0,784.9000244140625,762.0,780.8499755859375,787124,534686,67.93
2026-04-13,769.0,783.9500122070312,760.7000122070312,765.2000122070312,965953,553805,57.33
2026-04-15,780.0,788.0,768.25,781.5999755859375,770504,380929,49.44
2026-04-16,785.0,793.7999877929688,778.2000122070312,789.4500122070312,841147,396031,47.08
2026-04-17,792.0,793.9500122070312,784.0499877929688,788.2000122070312,495365,251231,50.72
2026-04-20,791.0,794.4000244140625,778.4500122070312,789.9000244140625,587141,258141,43.97
2026-04-21,792.2000122070312,801.7999877929688,788.0,789.4000244140625,340443,184345,54.15
2026-04-22,791.0,793.4500122070312,782.0499877929688,784.5,572829,350281,61.15
2026-04-23,789.0,789.0,770.5,775.7999877929688,574833,319446,55.57
2026-04-24,777.2999877929688,784.75,763.5499877929688,766.2999877929688,945281,752430,79.6
2026-04-27,769.5,787.9000244140625,765.1500244140625,770.4000244140625,662158,375523,56.71
2026-04-28,776.6500244140625,788.0,770.6500244140625,773.8499755859375,682722,302332,44.28
2026-04-29,776.1500244140625,788.0999755859375,768.5499877929688,782.4000244140625,469987,214578,45.66
2026-04-30,782.4000244140625,784.2999877929688,763.7000122070312,767.4000244140625,392091,219604,56.01
2026-05-01,767.4000244140625,767.4000244140625,767.4000244140625,767.4000244140625,0,0,0.0
2026-05-04,774.0,789.3499755859375,772.0,778.4000244140625,363179,182650,50.29
2026-05-05,788.0,788.0,754.8499755859375,779.4000244140625,903965,285040,31.53
2026-05-06,781.9500122070312,787.4000244140625,760.0499877929688,766.2999877929688,795050,443274,55.75
2026-05-07,767.1500244140625,773.75,763.0,766.5999755859375,483323,297582,61.57
2026-05-08,771.7000122070312,773.7999877929688,750.2999877929688,754.7999877929688,409968,245678,59.93
2026-05-11,754.7999877929688,757.0,727.5,741.2999877929688,753623,414380,54.99
2026-05-12,741.25,745.25,724.2999877929688,732.0999755859375,497367,265705,53.42
2026-05-13,732.0999755859375,743.7000122070312,722.4500122070312,725.25,350097,154403,44.1
2026-05-14,730.4000244140625,751.5,725.5999755859375,748.7000122070312,820264,563830,68.74
2026-05-15,749.5499877929688,759.25,742.9000244140625,749.5,336372,170015,50.54
2026-05-18,747.9500122070312,751.5999755859375,726.0,748.6500244140625,322526,155918,48.34
2026-05-19,748.5,748.5,736.0999755859375,739.2000122070312,500400,308314,61.61
2026-05-20,735.0,745.0,725.25,736.9500122070312,409839,262299,64.0
2026-05-21,742.0,743.75,732.0999755859375,736.75,296812,169573,57.13
2026-05-22,739.0,745.0,735.0,736.6500244140625,276313,148804,53.85
2026-05-25,739.5,743.5499877929688,729.0,731.9000244140625,422483,256049,60.61
2026-05-26,731.4000244140625,734.3499755859375,722.5499877929688,727.75,658402,350328,53.21
2026-05-27,728.0999755859375,736.0999755859375,720.0,722.2000122070312,466816,242817,52.02
2026-05-28,722.2000122070312,722.2000122070312,722.2000122070312,722.2000122070312,0,0,0.0
2026-05-29,727.0,727.2000122070312,676.0499877929688,685.0999755859375,3368094,2455821,72.91
2026-06-01,688.0,708.25,688.0,695.9000244140625,649897,342203,52.65
2026-06-02,696.0,696.0,672.1500244140625,686.2999877929688,760710,363378,47.77
2026-06-03,686.75,689.8499755859375,662.9000244140625,681.6500244140625,1058062,450228,42.55
2026-06-04,681.6500244140625,705.9000244140625,674.5499877929688,696.75,819006,405379,49.5
2026-06-05,696.0,709.7999877929688,687.0,690.6500244140625,701459,314273,44.8
2026-06-08,685.5499877929688,685.5499877929688,654.0499877929688,665.7000122070312,425699,176089,41.36
2026-06-09,668.0,672.5499877929688,662.0999755859375,665.5499877929688,540517,292154,54.05
2026-06-10,667.75,671.25,659.7999877929688,661.9000244140625,410281,248231,60.5
2026-06-11,661.5,683.8499755859375,652.25,679.3499755859375,658450,272225,41.34
2026-06-12,685.0,698.0,678.0,694.5499877929688,528913,270039,51.06
2026-06-15,702.0,714.5,697.2999877929688,701.1500244140625,646299,364044,56.33
2026-06-16,707.0,716.4500122070312,698.9500122070312,709.8499755859375,547760,316872,57.85
2026-06-17,709.8499755859375,732.4000244140625,707.8499755859375,727.9000244140625,699561,391148,55.91
2026-06-18,727.9000244140625,728.9000244140625,704.0,707.0,881575,497140,56.39
2026-06-19,709.0,709.0,690.4500122070312,696.7000122070312,1001225,523645,52.3
2026-06-22,696.7000122070312,711.2000122070312,696.7000122070312,708.7999877929688,574126,350697,61.08
2026-06-23,709.0,709.9000244140625,689.7999877929688,691.4000244140625,392523,241724,61.58
2026-06-24,692.9500122070312,699.7999877929688,684.0,695.0,395997,223317,56.39
2026-06-25,699.9000244140625,699.9000244140625,689.0,695.0499877929688,525015,289689,55.18
2026-06-25,699.9000244140625,699.9000244140625,689.0,694.0999755859375,525015,0,0.0
2026-06-29,694.9500122070312,704.5,674.3499755859375,683.1500244140625,1431876,811277,56.64
2026-06-30,684.0,706.5,683.1500244140625,692.6500244140625,918486,569801,62.04
2026-07-01,693.0,695.7000122070312,678.5,681.9000244140625,705199,0,0.0
