date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,4196.0,4230.5,4101.5,4124.0,598658,327889,54.77
2026-03-30,4074.0,4135.5,3962.0,4038.0,740360,443218,59.87
2026-04-01,4131.2001953125,4217.7998046875,4092.300048828125,4134.7998046875,639264,343726,53.77
2026-04-02,4100.0,4109.5,3953.300048828125,4048.10009765625,559572,237232,42.4
2026-04-06,4058.199951171875,4150.89990234375,4009.300048828125,4123.10009765625,257078,76492,29.75
2026-04-07,4137.0,4246.0,4031.0,4236.60009765625,400852,154054,38.43
2026-04-08,4450.0,4580.5,4427.60009765625,4507.2001953125,758851,349348,46.04
2026-04-09,4507.7998046875,4529.89990234375,4385.10009765625,4416.89990234375,476450,206122,43.26
2026-04-10,4440.2998046875,4565.0,4419.39990234375,4459.0,312000,99720,31.96
2026-04-13,4362.2001953125,4499.0,4301.0,4458.7001953125,334642,125311,37.45
2026-04-15,4579.2998046875,4640.0,4535.0,4598.5,279299,121338,43.44
2026-04-16,4640.0,4694.0,4587.0,4647.39990234375,340276,137873,40.52
2026-04-17,4689.89990234375,4866.2001953125,4634.5,4839.2998046875,489014,161094,32.94
2026-04-20,4839.2998046875,4954.39990234375,4725.39990234375,4880.60009765625,360940,135999,37.68
2026-04-21,4930.7001953125,4996.89990234375,4807.0,4825.7001953125,411620,168450,40.92
2026-04-22,4825.7998046875,4942.2998046875,4803.5,4909.7001953125,280906,90495,32.22
2026-04-23,4859.0,4984.0,4826.2998046875,4839.5,367334,170552,46.43
2026-04-24,4850.0,4887.39990234375,4750.0,4816.10009765625,262223,120080,45.79
2026-04-27,4884.10009765625,5009.2001953125,4825.0,4888.7001953125,338902,92026,27.15
2026-04-28,4899.0,4998.0,4889.39990234375,4965.10009765625,236667,102301,43.23
2026-04-29,4997.0,5050.0,4917.10009765625,4935.2001953125,354086,145299,41.03
2026-04-30,4935.2001953125,4935.2001953125,4747.60009765625,4857.5,724328,433734,59.88
2026-05-01,4857.5,4857.5,4857.5,4857.5,0,0,0.0
2026-05-04,4900.89990234375,5070.10009765625,4791.89990234375,5058.2998046875,662781,310538,46.85
2026-05-05,4950.0,5136.0,4720.10009765625,5018.2001953125,1875678,420709,22.43
2026-05-06,5049.7998046875,5225.0,5048.10009765625,5148.60009765625,587088,172783,29.43
2026-05-07,5127.89990234375,5245.0,4956.60009765625,5110.2001953125,1118993,229797,20.54
2026-05-08,5126.0,5179.89990234375,5064.2998046875,5099.60009765625,361665,166086,45.92
2026-05-11,5050.0,5221.0,5021.7001953125,5120.0,442843,143685,32.45
2026-05-12,5120.0,5176.10009765625,4964.7998046875,4997.10009765625,236015,67130,28.44
2026-05-13,4991.10009765625,5006.60009765625,4822.60009765625,4919.5,593722,229284,38.62
2026-05-14,4942.7998046875,5180.0,4871.0,5144.7001953125,387925,151395,39.03
2026-05-15,5228.89990234375,5247.7998046875,5073.0,5117.5,357710,145778,40.75
2026-05-18,5074.89990234375,5115.7001953125,4950.0,5088.10009765625,374326,164294,43.89
2026-05-19,5080.0,5180.0,5028.2998046875,5082.39990234375,324895,155123,47.75
2026-05-20,5050.0,5139.0,5040.10009765625,5119.7998046875,266512,109618,41.13
