date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,673.5999755859375,682.0,658.0,660.0499877929688,1598377,590961,36.97
2026-03-30,648.8499755859375,655.7999877929688,633.0,634.75,1656577,718311,43.36
2026-04-01,650.7000122070312,683.0999755859375,648.7999877929688,674.2999877929688,1880678,593782,31.57
2026-04-02,654.2999877929688,698.9000244140625,652.0499877929688,696.7999877929688,1767842,444243,25.13
2026-04-06,696.7999877929688,704.4000244140625,684.3499755859375,694.8499755859375,1473246,453266,30.77
2026-04-07,695.0499877929688,710.0,685.5,707.8499755859375,1906465,611457,32.07
2026-04-08,740.0,740.0,711.0999755859375,721.1500244140625,2595624,1076891,41.49
2026-04-09,721.1500244140625,725.0,705.9500122070312,716.0499877929688,1769446,600296,33.93
2026-04-10,723.0,723.0,706.0,716.4500122070312,1512797,475750,31.45
2026-04-13,709.6500244140625,719.2999877929688,695.25,709.8499755859375,1240536,447367,36.06
2026-04-15,723.9500122070312,736.0,720.0,728.6500244140625,1576485,646086,40.98
2026-04-16,738.9000244140625,755.3499755859375,730.0499877929688,746.25,2570211,669950,26.07
2026-04-17,749.9000244140625,762.7999877929688,740.0,747.7999877929688,1541544,547542,35.52
2026-04-20,748.6500244140625,750.4500122070312,724.3499755859375,734.4000244140625,1674776,606654,36.22
2026-04-21,734.0,749.2999877929688,730.0499877929688,744.7000122070312,745302,275662,36.99
2026-04-22,743.9000244140625,743.9000244140625,721.25,735.9500122070312,1703203,480300,28.2
2026-04-23,735.0,743.9500122070312,728.0,733.6500244140625,1046359,302945,28.95
2026-04-24,733.5,733.9500122070312,690.1500244140625,709.5999755859375,2240743,686273,30.63
2026-04-27,713.0999755859375,740.0,713.0999755859375,735.2999877929688,1703717,508283,29.83
2026-04-28,736.0,739.7999877929688,722.9000244140625,734.4500122070312,1438774,640778,44.54
2026-04-29,737.0,758.9000244140625,737.0,740.0499877929688,1272977,420739,33.05
2026-04-30,738.0499877929688,767.2000122070312,727.6500244140625,759.0499877929688,2877480,965486,33.55
2026-05-01,759.0499877929688,759.0499877929688,759.0499877929688,759.0499877929688,0,0,0.0
2026-05-04,767.0,777.1500244140625,756.5499877929688,768.5499877929688,2376007,976335,41.09
2026-05-05,768.4500122070312,784.5999755859375,764.25,772.5,1260326,433901,34.43
2026-05-06,783.9500122070312,795.2999877929688,722.5,748.5999755859375,11996230,1970908,16.43
2026-05-07,748.5499877929688,748.5499877929688,709.2000122070312,722.6500244140625,8691588,2664222,30.65
2026-05-08,722.5999755859375,735.7999877929688,704.0,729.1500244140625,4551374,1091169,23.97
2026-05-11,728.0,737.2000122070312,715.0,733.4500122070312,1990591,694780,34.9
2026-05-12,733.0,733.0,703.25,712.0499877929688,2937642,1149199,39.12
2026-05-13,711.0,718.0499877929688,705.0,710.6500244140625,1300856,388721,29.88
2026-05-14,711.0,716.7000122070312,693.0,709.0,1986342,495315,24.94
2026-05-15,708.2000122070312,726.4500122070312,702.0,703.7000122070312,1215690,281665,23.17
2026-05-18,702.0,711.7000122070312,690.4500122070312,707.75,1166215,328427,28.16
2026-05-19,712.0,750.9000244140625,710.0,743.7000122070312,3215754,970596,30.18
2026-05-20,745.0499877929688,760.9000244140625,741.5,750.7999877929688,3194714,1195172,37.41
2026-05-21,755.5999755859375,756.9500122070312,742.5,750.9000244140625,2354499,1402229,59.56
2026-05-22,752.0,764.5,744.4000244140625,751.0499877929688,1465191,539903,36.85
2026-05-25,753.9500122070312,772.6500244140625,753.9500122070312,756.5999755859375,1495776,528454,35.33
2026-05-26,756.4000244140625,797.5,753.9500122070312,784.7000122070312,2237901,966863,43.2
2026-05-27,783.5,795.0,766.25,771.7999877929688,1268829,536253,42.26
2026-05-28,771.7999877929688,771.7999877929688,771.7999877929688,771.7999877929688,0,0,0.0
2026-05-29,778.0,793.9500122070312,764.3499755859375,771.9500122070312,1432401,435908,30.43
2026-06-01,776.0499877929688,805.8499755859375,776.0499877929688,786.0999755859375,2194206,523093,23.84
2026-06-02,789.0499877929688,826.0,783.0,809.25,3897702,1048746,26.91
2026-06-03,800.7999877929688,800.7999877929688,770.5999755859375,774.25,2235273,608781,27.24
2026-06-04,770.0,779.4500122070312,758.0,773.0,758769,174596,23.01
2026-06-05,780.0499877929688,784.2999877929688,767.25,777.7999877929688,848126,258479,30.48
2026-06-08,770.0,770.0,751.2000122070312,755.2999877929688,901646,199059,22.08
2026-06-09,756.0,773.0,746.0499877929688,756.1500244140625,683944,187125,27.36
2026-06-10,751.5,760.4000244140625,730.0,732.9500122070312,700519,231208,33.01
2026-06-11,726.0,742.4500122070312,718.2000122070312,736.9000244140625,764143,205040,26.83
2026-06-12,742.0999755859375,752.0,736.2999877929688,749.0,675160,226619,33.57
2026-06-15,763.0,774.0,754.0499877929688,757.0,991468,350045,35.31
2026-06-16,765.0,767.3499755859375,751.2000122070312,756.5499877929688,1065809,428617,40.22
2026-06-17,760.0499877929688,767.7000122070312,748.2999877929688,752.0,981294,338493,34.49
2026-06-18,752.0,758.7000122070312,741.4000244140625,745.9500122070312,724879,244283,33.7
2026-06-19,729.9000244140625,769.8499755859375,711.0999755859375,760.0499877929688,2632393,768351,29.19
2026-06-22,763.7999877929688,770.9500122070312,753.0,756.4000244140625,868628,302535,34.83
2026-06-23,753.5,756.0,738.2000122070312,741.1500244140625,1050698,371239,35.33
2026-06-24,740.1500244140625,753.7000122070312,733.0,736.0499877929688,1624553,720885,44.37
2026-06-25,741.7000122070312,749.5,733.2000122070312,742.5999755859375,1108108,338250,30.52
2026-06-25,741.7000122070312,749.5,733.2000122070312,738.4000244140625,1108108,0,0.0
2026-06-29,738.9000244140625,743.7999877929688,708.0499877929688,712.2000122070312,1859356,634862,34.11
2026-06-30,712.5,716.0,669.3499755859375,671.5499877929688,5463099,1754729,32.1
