date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,500.0,512.0,498.29998779296875,506.04998779296875,5161239,2297770,44.52
2026-03-30,500.0,510.95001220703125,492.20001220703125,495.25,3244305,1823794,56.22
2026-04-01,511.0,517.7999877929688,504.25,515.5499877929688,1766925,839565,47.52
2026-04-02,510.0,518.8499755859375,501.75,517.4000244140625,1731934,807378,46.62
2026-04-06,517.4000244140625,520.1500244140625,508.75,517.5499877929688,1102363,477687,43.33
2026-04-07,515.9500122070312,517.5499877929688,509.25,512.8499755859375,1053633,562845,53.42
2026-04-08,527.0,530.5,520.0,529.5999755859375,1834856,880965,48.01
2026-04-09,529.8499755859375,533.5499877929688,524.75,532.2999877929688,1029751,488394,47.43
2026-04-10,533.0,538.4500122070312,529.0999755859375,531.6500244140625,1006830,394127,39.15
2026-04-13,522.0,524.75,513.2000122070312,520.3499755859375,1218384,464374,38.11
2026-04-15,528.7999877929688,532.3499755859375,524.6500244140625,529.5,1256635,595337,47.38
2026-04-16,532.0,536.7999877929688,529.5499877929688,534.8499755859375,1509312,834642,55.3
2026-04-17,536.5499877929688,541.2000122070312,532.5999755859375,540.0,1144342,596975,52.17
2026-04-20,540.0999755859375,545.2000122070312,530.3499755859375,536.7000122070312,1115177,498204,44.67
2026-04-21,542.0499877929688,566.5,538.4000244140625,565.1500244140625,5519886,1838076,33.3
2026-04-22,567.4000244140625,568.5499877929688,556.25,559.0499877929688,1433675,627716,43.78
2026-04-23,555.0,563.9500122070312,544.9500122070312,545.5499877929688,1322221,602462,45.56
2026-04-24,545.5499877929688,549.9000244140625,533.2999877929688,540.75,1046981,436571,41.7
2026-04-27,544.0,545.4000244140625,534.4000244140625,543.0999755859375,1595904,850301,53.28
2026-04-28,543.1500244140625,552.9500122070312,540.2999877929688,550.0,982947,387587,39.43
2026-04-29,552.9000244140625,567.7000122070312,545.7999877929688,562.1500244140625,2435923,1409341,57.86
2026-04-30,562.1500244140625,562.1500244140625,549.5999755859375,554.7000122070312,716565,243953,34.04
