date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,362.6933201792427,373.14127590457065,360.2057116732122,369.1611022949219,15922058,8323704,52.28
2026-03-30,378.11647818775697,392.6441173703388,374.1860447548062,384.1862487792969,31797909,7119319,22.39
2026-04-01,394.4849626147675,404.4851364997863,390.3555082688892,397.4700927734375,17296757,7149050,41.33
2026-04-02,393.9874312707636,401.4004860967529,383.29071513088337,399.80841064453125,9890441,2593415,26.22
2026-04-06,399.9079402594984,413.7390375801776,399.9079402594984,405.8284606933594,13020935,3385325,26.0
2026-04-07,405.97769381830597,415.28135537490493,405.48017213470513,409.7091064453125,12271888,4038665,32.91
2026-04-08,412.94299546640644,415.28135344170784,395.0322149401527,398.1665954589844,21398906,8925521,41.71
2026-04-09,398.21638109874834,411.45044618126934,396.3257743444042,410.30615234375,14640678,5290773,36.14
2026-04-10,412.4454969227743,416.4256705963354,403.1916052782707,414.93310546875,11970802,4316938,36.06
2026-04-13,410.0076144486849,419.6098074024419,406.52496260283306,415.9778747558594,13025046,3739701,28.71
2026-04-15,423.0426934041803,427.8686599442563,417.5202147072395,421.79888916015625,11012606,4373835,39.72
2026-04-16,427.12238592301105,434.83397238987965,423.88849482400167,430.5552978515625,13525794,4911971,36.32
2026-04-17,429.8587439903846,437.81909110131767,420.4555718190692,436.5752868652344,8471986,3400758,40.14
2026-04-20,430.8537792764719,430.8537792764719,421.6993681245341,424.5352478027344,8191733,3236738,39.51
2026-04-21,424.3362589867171,428.0676716391985,420.35608549073686,420.8536071777344,6184964,2659359,43.0
2026-04-22,419.6595560723294,435.1822392640946,416.4754050297004,433.7891845703125,12617478,5827897,46.19
2026-04-23,432.843880476976,440.9534781413851,430.2070215312413,437.07281494140625,8807600,3533968,40.12
2026-04-24,433.88865412878795,437.7693476076522,426.07758788116456,434.8836975097656,11786646,5921666,50.24
2026-04-27,440.7544947635475,442.9435720664075,437.2220724049381,438.81414794921875,5256456,2251876,42.84
2026-04-28,435.82899373141987,441.9982747389837,433.8886470237614,439.3116455078125,8617924,4375216,50.77
2026-04-29,437.8190854811966,439.56041138936047,427.86865172026035,431.15228271484375,7885901,2707864,34.34
2026-04-30,428.8637203229345,430.3065454496656,392.29587410050334,397.3208312988281,17624227,6398451,36.3
2026-05-01,397.3208312988281,397.3208312988281,397.3208312988281,397.3208312988281,0,0,0.0
2026-05-04,397.02231674672726,409.9578809515079,386.6738714561657,405.7786865234375,14684723,6133309,41.77
2026-05-05,407.7687741267621,416.52517428702174,404.1866421714395,411.5499572753906,7788814,2730119,35.05
2026-05-06,415.9281406533487,418.8635308260166,402.9925764703498,404.5348815917969,8363596,3065495,36.65
2026-05-07,407.7687610876752,410.00760867131834,400.6542070618054,401.5,6473906,2817794,43.53
2026-05-08,403.20001220703125,403.8999938964844,396.1499938964844,401.95001220703125,5777370,2543817,44.03
2026-05-11,401.75,402.5,391.70001220703125,393.04998779296875,6172326,2742325,44.43
2026-05-12,395.0,403.20001220703125,392.29998779296875,394.04998779296875,6771421,2788581,41.18
2026-05-13,398.0,411.25,397.0,408.25,11456661,4750002,41.46
2026-05-14,414.6000061035156,420.70001220703125,410.70001220703125,416.45001220703125,8909084,3645637,40.92
2026-05-15,416.45001220703125,416.5,401.0,403.6000061035156,8511752,4130117,48.52
2026-05-18,400.0,403.95001220703125,395.1000061035156,400.45001220703125,6239458,3159959,50.64
2026-05-19,402.0,403.5,391.45001220703125,398.95001220703125,7293845,3841048,52.66
2026-05-20,399.29998779296875,403.3999938964844,393.20001220703125,402.3999938964844,7425703,3539566,47.67
2026-05-21,407.0,410.95001220703125,404.3500061035156,406.3999938964844,5309235,2095134,39.46
2026-05-22,407.0,409.75,403.25,409.25,4550854,1759320,38.66
2026-05-25,412.0,413.29998779296875,400.25,403.0,6636144,3186821,48.02
2026-05-26,406.25,417.8999938964844,405.1000061035156,416.20001220703125,7524355,3022137,40.16
2026-05-27,421.20001220703125,437.75,420.25,433.04998779296875,15519448,5492158,35.39
2026-05-28,433.04998779296875,433.04998779296875,433.04998779296875,433.04998779296875,0,0,0.0
2026-05-29,438.20001220703125,441.5,416.79998779296875,424.45001220703125,107733950,63287458,58.74
2026-06-01,425.45001220703125,436.75,421.3999938964844,434.20001220703125,9695414,2647907,27.31
2026-06-02,436.0,444.5,431.3999938964844,434.3999938964844,10368957,3033415,29.25
2026-06-03,437.20001220703125,441.95001220703125,431.29998779296875,436.8999938964844,7827914,3406684,43.52
2026-06-04,434.0,436.8500061035156,412.54998779296875,414.0,13706598,6050328,44.14
2026-06-05,412.5,412.5,391.5,395.70001220703125,14357059,5466905,38.08
2026-06-08,385.5,389.79998779296875,375.1499938964844,378.20001220703125,8633380,3629024,42.03
2026-06-09,378.45001220703125,385.29998779296875,370.20001220703125,383.8999938964844,12056098,5087360,42.2
2026-06-10,383.1000061035156,383.8999938964844,372.1000061035156,376.1499938964844,10055912,4421948,43.97
2026-06-11,369.0,382.75,368.1000061035156,370.6000061035156,7008922,2948174,42.06
2026-06-12,380.0,384.70001220703125,375.20001220703125,376.8500061035156,7674222,3454339,45.01
2026-06-15,381.70001220703125,387.6000061035156,377.45001220703125,382.3500061035156,9226727,4246294,46.02
2026-06-16,370.0,370.0,357.79998779296875,366.6499938964844,19009227,6775910,35.65
2026-06-17,367.3999938964844,372.0,360.0,370.0,14263211,7279891,51.04
2026-06-18,370.0,371.6000061035156,364.0,367.75,7593089,3525880,46.44
2026-06-19,365.8999938964844,376.75,362.3999938964844,376.0,8824485,5144974,58.3
2026-06-22,379.0,379.70001220703125,374.04998779296875,377.95001220703125,7283264,4089836,56.15
2026-06-23,372.0,372.04998779296875,350.3500061035156,355.3999938964844,19479266,10165177,52.18
2026-06-24,353.0,356.20001220703125,347.5,348.54998779296875,14258769,8064850,56.56
2026-06-25,340.0,342.20001220703125,331.3999938964844,332.1499938964844,27949889,17402485,62.25
2026-06-25,340.0,342.20001220703125,331.3999938964844,333.0,27949889,0,0.0
2026-06-29,334.04998779296875,350.6499938964844,334.04998779296875,347.3999938964844,37701727,24641948,65.32
2026-06-30,342.0,342.54998779296875,333.54998779296875,339.6000061035156,12175069,4819294,39.55
2026-07-01,337.95001220703125,341.5,333.1499938964844,334.6499938964844,6342396,0,0.0
2026-07-02,335.5,340.5,331.5,332.25,7562228,3623864,47.92
2026-07-03,340.0,349.20001220703125,338.8999938964844,347.6000061035156,12207798,2933090,24.02
