date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,6610.614097137253,6865.317169703424,6610.614097137253,6753.52001953125,980855,195865,19.97
2026-03-30,6620.821498600517,6670.401103097783,6494.928189141774,6543.53564453125,272945,80160,29.37
2026-04-01,6756.436235704135,6827.403119906495,6645.611238456614,6691.30224609375,155077,38264,24.67
2026-04-02,6610.614218358955,6824.0009567309835,6518.260049131882,6797.7529296875,157651,46675,29.61
2026-04-06,6804.557703055971,6857.539829610232,6749.631278279535,6821.5703125,97867,25605,26.16
2026-04-07,6793.864422756786,7009.1954622703615,6749.631635858963,6991.69677734375,153224,27957,18.25
2026-04-08,7088.911464408513,7130.7138770483325,6945.03339299704,6980.03076171875,172022,59077,34.34
2026-04-09,6987.80792886214,7044.678652824082,6888.162643287798,7016.486328125,136188,42759,31.4
2026-04-10,7076.759764716226,7076.759764716226,6895.453947542027,7051.48388671875,151932,51270,33.75
2026-04-13,6999.959770825064,7010.653411194355,6879.899353951667,6964.96240234375,68906,18510,26.86
2026-04-15,7094.744588348318,7354.794489332584,7062.177591402625,7332.43505859375,191551,57835,30.19
2026-04-16,7436.940850151909,7574.499952151451,7378.611902307581,7559.431640625,211647,64819,30.63
2026-04-17,7577.902403926044,7796.635956316469,7501.1026233089615,7769.90185546875,175320,59591,33.99
2026-04-20,7838.924673955595,7947.319304221118,7696.990898002532,7857.3955078125,271398,132036,48.65
2026-04-21,7903.572422864983,7940.028015221372,7665.39588613658,7710.11474609375,215428,73627,34.18
2026-04-22,7658.590862552298,7940.514110856457,7618.732748136882,7900.169921875,439033,136422,31.07
2026-04-23,8195.217489682862,8652.127598834812,8030.9242802218405,8546.6494140625,2646355,403140,15.23
2026-04-24,8574.35545565496,8762.46631514127,8508.735388392295,8699.7626953125,590278,199988,33.88
2026-04-27,8797.94921353332,9225.694810655383,8759.063250158588,9099.3154296875,843945,150685,17.85
2026-04-28,9138.201451475967,9356.448922311749,9118.758469664315,9303.466796875,591393,181113,30.62
2026-04-29,9318.535379373565,9536.782856570306,9308.327813624943,9418.1806640625,473232,158815,33.56
2026-04-30,9444.428683577886,9551.365086582886,9343.32517528225,9455.6083984375,360954,119448,33.09
2026-05-01,9455.6083984375,9455.6083984375,9455.6083984375,9455.6083984375,0,0,0.0
2026-05-04,9610.179927224515,9622.33179097347,9376.378068694597,9459.0107421875,347883,184268,52.97
2026-05-05,9497.896760834643,9585.39018033056,9385.613539148215,9436.6513671875,245385,85625,34.89
2026-05-06,9521.228841095466,9530.95033266285,9381.239362525142,9424.5,250721,125011,49.86
2026-05-07,9475.0,9547.5,9410.0,9498.5,310150,159517,51.43
2026-05-08,9500.5,9580.0,9301.0,9345.5,198264,91773,46.29
2026-05-11,9395.0,9401.5,9190.0,9239.5,126412,53943,42.67
2026-05-12,9201.0,9235.0,8985.0,9010.5,165795,68275,41.18
2026-05-13,9000.0,9090.0,8910.0,8928.5,115580,41479,35.89
2026-05-14,8930.0,8960.0,8646.5,8904.5,169127,50153,29.65
2026-05-15,8904.0,9200.0,8904.0,9015.0,309380,67103,21.69
2026-05-18,9015.0,9464.5,8949.5,9408.5,332444,76566,23.03
2026-05-19,9465.0,9999.0,9465.0,9646.0,446973,96321,21.55
2026-05-20,9640.0,9915.0,9597.5,9703.5,306099,88332,28.86
2026-05-21,9808.0,9819.5,9652.0,9730.5,136752,46123,33.73
2026-05-22,9770.0,9770.0,9454.5,9525.0,200614,82637,41.19
2026-05-25,9530.0,9837.5,9500.0,9703.0,184137,60820,33.03
2026-05-26,9711.5,9917.0,9594.0,9882.0,259841,99288,38.21
2026-05-27,9950.0,10380.5,9911.0,10299.5,450281,107590,23.89
2026-05-28,10299.5,10299.5,10299.5,10299.5,0,0,0.0
2026-05-29,10345.5,10584.5,9900.0,9964.0,682054,389433,57.1
2026-06-01,10069.0,10291.0,10063.0,10191.0,362417,159881,44.12
2026-06-02,10290.0,10475.5,10176.5,10344.5,528415,252444,47.77
2026-06-03,10300.0,10300.5,9933.5,9997.5,235347,93590,39.77
2026-06-04,9875.0,10209.0,9775.0,10098.0,277226,104763,37.79
2026-06-05,10175.0,10198.0,9908.5,9936.5,197221,85882,43.55
2026-06-08,9800.0,10000.0,9689.0,9756.0,160714,70664,43.97
2026-06-09,9841.0,9862.0,9434.0,9639.5,252133,111181,44.1
2026-06-10,9701.5,9757.0,9440.0,9470.0,147749,54293,36.75
2026-06-11,9349.5,9439.0,9050.0,9265.5,385982,69195,17.93
2026-06-12,9350.0,9409.0,9226.5,9327.5,149536,41677,27.87
2026-06-15,9500.0,9517.0,9350.5,9373.0,111550,43777,39.24
2026-06-16,9425.0,9580.5,9357.0,9500.5,257188,114595,44.56
2026-06-17,9545.0,9609.0,9380.0,9444.5,151082,62699,41.5
2026-06-18,9480.0,9482.5,9306.5,9399.5,116249,41350,35.57
2026-06-19,9200.0,9695.0,9127.5,9638.5,254329,85840,33.75
2026-06-22,9700.0,9849.5,9668.0,9731.5,253004,88081,34.81
2026-06-23,9720.0,9925.0,9614.0,9862.5,262646,109518,41.7
2026-06-24,9903.0,10510.0,9874.5,10468.5,743926,249614,33.55
2026-06-25,10504.0,11035.0,10411.0,10974.5,1072058,463990,43.28
2026-06-25,10504.0,11035.0,10411.0,10955.0,1072058,0,0.0
2026-06-29,10974.5,11055.0,10770.0,10874.5,468398,189608,40.47
2026-06-30,10874.5,10950.0,10710.0,10775.5,264264,117505,44.46
2026-07-01,10665.0,11130.0,10550.0,10863.0,310210,0,0.0
2026-07-02,10971.0,11275.0,10952.0,10986.0,356680,89349,25.05
2026-07-03,11000.0,11279.0,10936.0,11248.0,307840,113230,36.77
2026-07-06,11260.0,11360.0,11043.0,11071.0,121800,50299,41.29
2026-07-07,11159.0,11230.0,11045.0,11097.0,153683,50509,32.86
2026-07-13,11625.0,11958.0,11549.0,11746.0,475378,153598,32.31
