date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,250.1146173685059,250.8560638626813,242.601286860288,243.3921661376953,8409017,5139314,61.12
2026-03-30,239.33892970980543,250.75719343074266,238.00432001227827,245.6165008544922,6195343,3103018,50.09
2026-04-01,253.1792663885584,260.19829916404296,250.11461487593448,254.93896484375,7092013,3187756,44.95
2026-04-02,253.08039678482837,253.08039678482837,244.2720090420123,251.78533935546875,2681295,1309459,48.84
2026-04-06,251.09332475244608,252.7245009575297,245.70546831948215,251.61727905273438,2365626,846517,35.78
2026-04-07,248.1374276833123,253.57470199509802,246.7534002560375,252.1708984375,3268858,1011917,30.96
2026-04-08,271.86369846046546,275.2150508974086,262.96634105630477,267.3260498046875,8748569,4175451,47.73
2026-04-09,264.9435544561715,269.4910991113413,259.5062800177053,268.2751159667969,9880604,4875517,49.34
2026-04-10,266.9998061944346,271.4188284062018,265.2895556285238,267.65228271484375,3750922,1887976,50.33
2026-04-13,260.54428038733994,262.96635095075277,256.04618382046976,261.52301025390625,3988110,1516409,38.02
2026-04-15,267.9093225378827,269.32300655634276,264.94353667952976,267.958740234375,3073230,1815654,59.08
2026-04-16,267.9587534320901,270.45989842237475,266.6241738657266,268.39373779296875,2465787,1067035,43.27
2026-04-17,268.8781554119489,272.09109007549216,266.9602781530712,270.10400390625,1802511,958424,53.17
2026-04-20,270.6773960878801,271.8044092737771,266.93064141509547,269.0264587402344,2605561,1411364,54.17
2026-04-21,269.20438204771875,275.11619276582,267.9093246263717,274.61199951171875,2120341,996861,47.01
2026-04-22,273.8606713921787,277.3702029658476,272.7336883879372,276.36181640625,1192845,485249,40.68
2026-04-23,274.37473990804875,276.7078102657841,270.29183661247856,272.6644592285156,2244060,1094200,48.76
2026-04-24,272.85229626769313,273.7420259824854,268.008185447572,270.3313903808594,1772320,906654,51.16
2026-04-27,270.33140297924507,277.9930167278777,269.7876574502018,276.70782470703125,3970991,2431115,61.22
2026-04-28,276.8067000654592,278.28959310152413,272.4074386573187,274.5527038574219,1406742,706985,50.26
2026-04-29,277.4888300742203,279.2781852368653,275.2743861534962,276.9253234863281,2957724,1878359,63.51
