date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,1314.5,1314.5999755859375,1250.5999755859375,1253.800048828125,1426042,812683,56.99
2026-03-30,1243.199951171875,1252.9000244140625,1211.5,1218.800048828125,1479878,681080,46.02
2026-04-01,1262.5,1262.5,1228.699951171875,1249.300048828125,3909216,2562127,65.54
2026-04-02,1238.0999755859375,1238.0999755859375,1211.0,1221.199951171875,957515,537614,56.15
2026-04-06,1225.199951171875,1240.9000244140625,1213.4000244140625,1236.300048828125,948501,543321,57.28
2026-04-07,1225.0,1249.4000244140625,1210.800048828125,1238.0999755859375,649429,296977,45.73
2026-04-08,1269.0,1270.5,1246.300048828125,1248.800048828125,713361,453080,63.51
2026-04-09,1241.5,1256.0,1232.5999755859375,1249.699951171875,1159575,777419,67.04
2026-04-10,1256.699951171875,1270.699951171875,1246.9000244140625,1268.199951171875,1592029,995710,62.54
2026-04-13,1245.0,1251.9000244140625,1227.300048828125,1231.5,1370011,878417,64.12
2026-04-15,1231.5999755859375,1259.300048828125,1231.5999755859375,1252.4000244140625,1625397,1119636,68.88
2026-04-16,1256.800048828125,1263.0999755859375,1236.300048828125,1254.5,1707814,1000289,58.57
2026-04-17,1258.0,1306.9000244140625,1254.9000244140625,1302.9000244140625,2825738,1521838,53.86
2026-04-20,1309.0,1318.5,1294.0,1307.699951171875,1189368,592539,49.82
2026-04-21,1315.0,1367.300048828125,1310.199951171875,1363.0,2334336,1283857,55.0
2026-04-22,1376.5999755859375,1400.800048828125,1354.5999755859375,1392.800048828125,1841125,1086299,59.0
2026-04-23,1390.0999755859375,1394.5999755859375,1375.199951171875,1382.300048828125,1008437,583838,57.9
2026-04-24,1383.0,1398.5,1370.0999755859375,1391.9000244140625,967932,322666,33.34
2026-04-27,1393.0,1414.4000244140625,1382.0,1391.5999755859375,821321,423461,51.56
2026-04-28,1397.0,1398.0,1370.199951171875,1374.4000244140625,582625,316321,54.29
2026-04-29,1379.9000244140625,1391.0999755859375,1360.699951171875,1363.4000244140625,769004,532279,69.22
