date,open,high,low,close,volume,delivery_qty,delivery_pct
2026-03-27,399.11919979819044,400.0172119076607,387.14562380424474,388.4427490234375,8968617,5690393,63.45
2026-03-30,385.150052172266,390.68781923966844,380.65996089046496,383.2542419433594,10212880,3730097,36.52
2026-04-01,396.425131190949,403.3598394356086,388.1932977330794,400.91522216796875,6465240,3061155,47.35
2026-04-02,396.7245218266988,404.10822151240484,389.73993528203994,402.81109619140625,3620669,1522532,42.05
2026-04-06,404.10819645831714,406.7523551104995,398.91963459524396,400.11700439453125,4363829,2393559,54.85
2026-04-07,399.11921177630575,401.36425734254743,394.42954885778244,399.96734619140625,3214980,1532415,47.66
2026-04-08,412.5053369740792,423.59473350067003,410.65709913824594,421.4967346191406,6926186,3342783,48.26
2026-04-09,420.9972222653801,429.0894864307906,414.30364437894673,422.49578857421875,5743167,2724670,47.44
2026-04-10,425.3929950085809,433.5851693905867,424.64371188175386,431.1874694824219,5731496,3133865,54.68
2026-04-13,417.60045318532,432.7859364056038,416.7512595632185,430.18841552734375,5357143,2447372,45.68
2026-04-15,436.5822995850212,451.26826098839325,435.6831659352738,445.1241149902344,7797798,4410933,56.57
2026-04-16,446.1231625481984,465.55458387750497,445.57370044928587,459.9599304199219,7114657,3517577,49.44
2026-04-17,452.8667056838228,474.7457971858535,452.8667056838228,473.447021484375,11968336,6410692,53.56
2026-04-20,475.94465652788296,476.49414913756203,463.8562154642704,466.10406494140625,6027104,3590870,59.58
2026-04-21,466.10406414400137,486.58447045620153,466.10406414400137,484.6363525390625,7932444,2687470,33.88
2026-04-22,486.4845752770056,498.2233443830931,483.887054313296,494.4769287109375,11943145,7185955,60.17
2026-04-23,489.5316438768473,490.3808375200296,475.9446370511551,483.7871398925781,10692659,5641275,52.76
2026-04-24,483.93699608997645,492.4288716444667,480.83995302536295,489.9812316894531,13173088,7824538,59.4
2026-04-27,494.4269743600094,521.2013775313461,479.39137116663164,518.3540649414062,36094833,12542839,34.75
2026-04-28,521.0015136672025,528.8939866829924,514.5576668349203,518.0543212890625,14074482,5554304,39.46
2026-04-29,520.4021272158925,534.188924425381,518.95350098886,522.5999755859375,9973200,5405102,54.2
2026-04-30,523.0999755859375,523.9000244140625,509.25,513.7000122070312,7127837,4210589,59.07
2026-05-01,513.7000122070312,513.7000122070312,513.7000122070312,513.7000122070312,0,0,0.0
